id,type,boxnum,dialog,reward_a,reward_b,true_times,chance,chance_add
int,int,string,string,string,string,int,int,int
1,1,1;1,First box,2100005;1|1900003;1|2100002;1,39200148;10|1800001;30|1700013;3|1700011;10|1900002;5|1000003;5|910003;5|920003;5|2400002;5,40,50,5
2,1,2;2,Second box,2300003;2|39200140;1|1900003;2|2100002;1,39200148;20|1800001;50|1700013;20|1900002;10|1000003;10|910003;5|920003;5|2400002;20,40,50,5
3,1,3;3,Third box,2300003;2|4200004;1|1900003;2|2100002;2,39200148;20|1800001;70|1700013;25|1900002;10|1000003;20|910003;5|920003;5|2400002;20,40,50,5
4,1,4;8,Fourth to eighth boxes,2300003;2|2100005;1|1900003;2|2100002;2,39200148;30|1800001;70|1700013;25|1900002;10|1000003;20|910003;5|920003;5|2400002;20,40,50,5
5,1,9;-1,After the ninth box,,39200148;30|2100005;1|1900003;2|2100002;2|1800001;70|1700013;15|1900002;15|1000003;20|910003;5|920003;5|2400002;30,40,50,5
6,2,1;1,First box,2300003;2|1900003;1|2100002;1,39200017;10|1800001;30|1700013;3|1700011;10|1900002;5|1000003;5|910003;5|920003;5|2400002;5,40,50,5
7,2,2;2,Second box,2300003;2|4200004;1|1900003;2|2100002;1,39200017;20|1800001;30|1700013;20|1900002;10|1000003;10|910003;5|920003;5|2400002;20,40,50,5
8,2,3;3,Third box,2300003;2|4200004;1|1900003;2|2100002;2,39200017;20|1800001;40|1700013;25|1900002;10|1000003;20|910003;5|920003;5|2400002;20,40,50,5
9,2,4;8,Fourth to eighth boxes,2300003;2|2100005;1|1900003;2|2100002;2,39200017;30|1800001;40|1700013;25|1900002;10|1000003;20|910003;5|920003;5|2400002;20,40,50,5
10,2,9;-1,After the ninth box,,39200017;30|2100005;1|1900003;2|2100002;2|1800001;40|1700013;15|1900002;15|1000003;20|910003;5|920003;5|2400002;30,40,50,5
