id,score,normal_reward,super_reward
int,int,int,int
1,100,9002501,9002601
2,200,9002502,9002602
3,300,9002503,9002603
4,500,9002504,9002604
5,600,9002505,9002605
6,900,9002506,9002606
7,1400,9002507,9002607
8,1800,9002508,9002608
9,2200,9002509,9002609
10,2650,9002510,9002610
11,3100,9002511,9002611
12,3550,9002512,9002612
13,4000,9002513,9002613
14,4450,9002514,9002614
15,4900,9002515,9002615
16,5350,9002516,9002616
17,5800,9002517,9002617
18,6250,9002518,9002618
19,6700,9002519,9002619
20,7200,9002520,9002620
