id,type,note,next_id,m_width,m_height,offsetx,offsety,m_pointAngle,framex,framey,leadFrameContent,condition,para,adaptation_y,mask,delay_time,art,art_position,guide_shape,finger_offset
int,int,string,int,int,int,int,int,int,int,int,string,string,string,int,int,int,string,int,int,string
100,0,104557,110,0,0,0,0,4,70,280,104558,,,0,1,0,Tutorial_1,1,1,0,0
110,1,104559,120,110,110,115,74,3,70,280,104560,BaseUIOpen,BuildBuildingPanel,2,1,0,Tutorial_1,1,1,0,0
120,1,104561,130,590,165,320,915,4,70,280,104562,BaseUIClose,BuildBuildingPanel,0,1,0,Tutorial_1,1,2,0,0
130,1,104563,140,50,50,506,666,3,70,280,104564,BuildBuilding,1041,3,0,0,Tutorial_1,1,1,0,0
140,1,104565,150,110,110,450,550,3,70,280,104566,BuildingStateUp,1041,3,0,300,Tutorial_1,1,1,0,0
150,1,104565,160,110,110,450,550,3,70,280,104567,BuildingStateUp,1041,3,0,1000,Tutorial_1,1,1,0,0
160,1,104565,170,110,110,450,550,3,70,280,104568,BuildingStateUp,1041,3,0,1000,Tutorial_1,1,1,0,0
170,0,104569,180,0,0,0,0,4,70,280,104570,,,0,1,1000,Tutorial_1,2,1,0,0
180,1,104571,190,110,110,450,550,4,70,280,104572,BuildingFunctionBtnShow,,3,0,0,Tutorial_1,1,1,0,0
190,1,104573,200,110,110,395,430,4,70,780,104574,BaseUIOpen,ProductionPanel,1,1,0,Tutorial_1,1,1,0,0
200,1,104575,210,590,165,320,915,4,70,280,104576,BaseUIClose,ProductionPanel,0,1,0,Tutorial_1,1,2,200,0
210,0,104577,220,0,0,0,0,4,70,280,104578,,,0,1,0,Tutorial_1,1,1,0,0
220,0,104577,230,0,0,0,0,4,70,280,104579,,,0,1,0,Tutorial_2,2,1,0,0
230,1,104580,240,110,110,56,404,1,70,280,104581,BaseUIOpen,QuestPanel,1,0,0,Tutorial_1,1,1,0,0
240,1,104582,250,220,70,407,505,4,70,280,,BaseUIClose,QuestPanel,1,0,0,Tutorial_1,1,2,50,0
250,1,104583,260,110,110,522,68,4,70,280,104584,StartChangeScene,,2,0,0,Tutorial_1,1,1,0,0
260,1,104585,270,0,0,0,0,4,70,280,,SceneOpen,World,0,0,0,Tutorial_1,1,1,0,0
270,1,104586,280,100,100,455,195,4,70,700,104587,BaseUIOpen,ChapterNode,4,0,0,Tutorial_1,1,1,0,0
280,1,104588,290,200,70,320,397,4,80,200,104589,StartChangeScene,,1,0,0,Tutorial_1,2,2,50,0
290,1,104585,300,0,0,0,0,4,70,280,,SceneOpen,Battle,0,0,0,Tutorial_1,1,1,0,0
300,1,104590,310,124,160,82,100,4,70,880,104591,ArmyToBattle,,2,0,0,Tutorial_1,1,2,0,0
310,1,104592,320,124,160,82,100,4,70,880,104593,ArmyToBattle,,2,0,0,Tutorial_1,1,2,0,0
320,1,104594,330,110,100,320,675,4,70,880,104595,BattleStart,,1,0,0,Tutorial_1,1,1,0,0
330,1,104596,340,0,0,0,0,4,70,280,,BaseUIOpen,BattleWinPanel,1,0,0,Tutorial_1,1,1,0,0
340,1,104597,350,200,65,320,341,4,120,260,104598,BaseUIClose,BattleWinPanel,1,1,0,Tutorial_1,1,2,50,0
350,1,104585,360,0,0,0,0,4,70,280,,SceneOpen,World,0,0,0,Tutorial_1,1,1,0,0
360,1,104599,370,200,65,320,424,4,70,220,104600,BaseUIClose,QuestComplete,1,0,800,Tutorial_1,1,2,50,0
370,1,104601,380,200,65,320,484,4,70,220,104602,BaseUIClose,RewardItemPanel,1,0,800,Tutorial_1,1,2,50,0
380,1,104603,390,110,110,522,68,4,70,280,104604,StartChangeScene,,2,0,0,Tutorial_1,1,1,0,0
390,1,104585,0,0,0,0,0,4,70,280,,SceneOpen,Home,0,0,0,Tutorial_1,1,1,0,0
