id,name,desc,label,labelDesc,hero_type,skillDesc,fragmentsNumber,quality,type,war,warAdd,def,defAdd,command,upStar1,upStar2,upStar3,upStar4,skill,source,hero_icon,icon_harmony,hero_tachie,black_hero_icon,black_hero_name,backGround,recommendedSkill,is_show,show_hero_id,exclude,plat,jp_des,get_show,time,endtime,timeType,skin,active_skill,skin_use,exclude_item,bg_img,is_link_hero,cn_idle_name,idle_name,skintime,skinendtime,skinitemid,idle_action_control,new_active_skill,hero_ui_effect,land_fight_scale,exclusive,upgrade,hero_cap_skill_group_id,hero_cap_skill_des,can_show,hero_cap_sp_type,hero_cap_sp_parma
int,string,string,string,string,int,string,int,int,int,int,int,int,int,int,string,string,string,string,int,string,string,int,string,string,string,int,string,int,int,int,string,string,int,string,string,int,string,string,int,int,string,int,string,string,string,string,int,string,string,string,double,int,string,int,string,int,int,string
101,Black Widow,She is an excellent agent; maybe you have heard her name; Natasha. But that is just a name. As a teenager; she was selected by the "Shadowscale" to train on the secret base "SaND (Security and National Defence)"; away from her beloved family. She grew up into a beautiful woman; like a snowflake; pretty but cold. She has taken countless lives while completing tasks. The Black Widow has become her new name.,Agent,,0,At the beginning of the battle; randomly attack 1 target 2 times. This hero can increase the gathering speed of troops when gathering.,10,3,2,60,12,90,18,200,48|72|0;48|72|0;48|72|0;48|72|0;144|216|100,96|144|0;96|144|0;96|144|0;96|144|0;288|432|200,144|216|0;144|216|0;144|216|0;144|216|0;432|648|200,192|288|0;192|288|0;192|288|0;192|288|0;576|864|300,10101,1,image/hero_icon/hero_icon001,1,hero_tachie001,image/hero_icon/black_hero_icon001,No. 101,1,,1,,,,,,,,2,101|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,Idle2,Idle1,,,,,,,,,,101,At the beginning of the battle; randomly attack 1 target 2 times. This hero can increase the gathering speed of troops when gathering.,1,,
102,Reichstein,Reichstein; or the "Molecular Shield"; is known as a material scientist who developed the polymer armor. Many has forgotten that he was an architect - he is the designer of layered trenches as well. Of course; he is also a nice professor; and he has been helping many newcomers for past years. Recently; he is fascinated by the newly discovered element 115#.,Molecular Shield,,0,When using this hero in battle; the Dodge Chance of all Army Units will increase. This hero is the only purple hero that can increase Army HP.,10,4,2,102,20,198,39,300,80|156|0;80|156|0;80|156|0;80|156|0;240|468|200,160|312|0;160|312|0;160|312|0;160|312|0;480|936|300,240|468|0;240|468|0;240|468|0;240|468|0;720|1404|300,320|624|0;320|624|0;320|624|0;320|624|0;960|1872|400,10102,1,image/hero_icon/hero_icon002,,hero_tachie002,image/hero_icon/black_hero_icon002,No. 102,1,,1,,,,,,,,2,102|2002|2003|2004|2005|2006|2008|2009|2010|10201|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,,,,,,1|1;4|1,,,,,,102,When using this hero in battle; the Dodge Chance of all Army Units will increase. This hero is the only purple hero that can increase Army HP.,1,,
103,Rambo,Rambo is the captain of the Brotherhood Army; and he is an experienced combat elite; the best of the best. In the great landing operation; Brotherhood; as one of the first strike forces; attacked on the rear and destroyed many 88mm FlaK and saved more soldiers. Rambo infiltrated the enemy's camp; eliminated a couple of enemies without firing a shot and returned to the base.,The Patriot,,0,When using this hero in battle; your Army Units can ignore the opponent's Dodge Chance so that each of your units' attacks will count as hits or Crits; which greatly increases the overall damage dealt.,10,4,1,218,43,82,16,300,172|64|0;172|64|0;172|64|0;172|64|0;516|192|200,344|128|0;344|128|0;344|128|0;344|128|0;1032|384|300,516|192|0;516|192|0;516|192|0;516|192|0;1548|576|300,688|256|0;688|256|0;688|256|0;688|256|0;2064|768|400,10103,1,image/hero_icon/hero_icon003,,hero_tachie003,image/hero_icon/black_hero_icon003,No. 103,1,,1,,,,,,,,2,103|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,Idle2,Idle1,,,,,,,,,,103,When using this hero in battle; your Army Units can ignore the opponent's Dodge Chance so that each of your units' attacks will count as hits or Crits; which greatly increases the overall damage dealt.,1,,
104,Tywin,General Tywin served as the commander of the Artillery of the Freedom League. He loves to use cannon in battle and could handle that well; supplemented by infantry and motorized troops for coordinated operations. In the early days; his army was an important force against the Dark Legion. Tywin cooperated closely with Marines; and he trusts Captain Rambo as a partner that he can always count on.,True Grit,,0,When using this hero in battle; your Army Units have a chance to attack twice which can hit directly and kill the enemy.,10,5,1,346,69,254,50,400,276|200|0;276|200|0;276|200|0;276|200|0;828|600|300,552|400|0;552|400|0;552|400|0;552|400|0;1656|1200|400,828|600|0;828|600|0;828|600|0;828|600|0;2484|1800|400,1104|800|0;1104|800|0;1104|800|0;1104|800|0;3312|2400|500,10104,2,image/hero_icon/hero_icon004,,hero_tachie004,image/hero_icon/black_hero_icon004,No. 104,1,,1,,1104,,jp_activityhero104,,,,2,104|2002|2003|2004|2005|2006|2008|2009|2010|10401|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055|2072,,1,2211104,,,,,,,,,,,,,,104,When using this hero in battle; your Army Units have a chance to attack twice which can hit directly and kill the enemy.,1,,
105,Alex,Before Natasha arrived to the concentration camp to rescue him; Alex was tortured and his left arm was severely damaged. He had to cut off his arm and wear the prosthesis. After the military department confirmed that he didn't leak the top secrets; he was assigned to be the commander of the resistance organization; carrying out operations behind the enemy line. executing the war strategy for the Freedom League. This lead to Alex being on the Dark Legion's most wanted list.,Hand of Freedom,,0,When using this hero in battle; your Army Units are given an additional Burn attribute; which adds debuffs to the enemy and causes high damage.,10,5,1,449,89,151,30,400,356|120|0;356|120|0;356|120|0;356|120|0;1068|360|300,712|240|0;712|240|0;712|240|0;712|240|0;2136|720|400,1068|360|0;1068|360|0;1068|360|0;1068|360|0;3204|1080|400,1424|480|0;1424|480|0;1424|480|0;1424|480|0;4272|1440|500,10105,1,image/hero_icon/hero_icon005,,hero_tachie005,image/hero_icon/black_hero_icon005,No. 105,1,,1,,1105,,jp_activityhero105,,,,2,105|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|10501|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,2211105,,,,,,,,,,,,,,105,When using this hero in battle; your Army Units are given an additional Burn attribute; which adds debuffs to the enemy and causes high damage.,1,,
106,Sam,General Sam; the man with a bleeding eye; delivered a crushing blow with his soldiers against the enemy’s camp; that's when he got the name the "Cyclops". During the defense of the capital; his anti-aircraft artillery crew made his reputation spread throughout the Freedom League. It is said that Sam refused to get treatment from Dr. Gero because he kinda liked the name Cyclops.,The Cyclops,,0,When using this hero in battle; your army unit has a chance to make the enemy skip their next attack; which may reduce your losses during battle,10,5,2,186,37,414,82,400,148|328|0;148|328|0;148|328|0;148|328|0;444|984|300,296|656|0;296|656|0;296|656|0;296|656|0;888|1968|400,444|984|0;444|984|0;444|984|0;444|984|0;1332|2952|400,592|1312|0;592|1312|0;592|1312|0;592|1312|0;1776|3936|500,10106,1,image/hero_icon/hero_icon006,,hero_tachie006,image/hero_icon/black_hero_icon006,No. 106,1,,1,,1106,,jp_activityhero106,,,,2,106|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|10601|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,2211106,,,,,,,,,,,,,,106,When using this hero in battle; your Army victory rate in the face of the enemy's Air Force will be greatly increased. It can make the enemy’s Air Force lose a turn.,1,,
107,Wade,They call Wade the mechanical maniac. Before he joined the League; "Touchdown" was the superstar member of another League - the Rugby League. When the war was on; "Touchdown" took the lead and joined the army. It didn't take too long for the general to notice Wade's talent and passion for machines; so now he is working at the Repair Station; a perfect place for him to get his job done.,Touchdown,黑金,0,Allows you to repair certain combat units quickly.,10,4,2,130,26,170,34,300,104|136|0;104|136|0;104|136|0;104|136|0;312|408|200,208|272|0;208|272|0;208|272|0;208|272|0;624|816|300,312|408|0;312|408|0;312|408|0;312|408|0;936|1224|300,416|544|0;416|544|0;416|544|0;416|544|0;1248|1632|400,10107,2,image/hero_icon/hero_icon019,,hero_tachie019,image/hero_icon/black_hero_icon019,No. 107,1,,1,,,,,,,,2,107|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,,,,,,1|1;4|1,,,,,,107,Allows you to repair certain combat units quickly.,1,,
108,Li Hongyu,What you need to know about Hongyu - she's a young beautiful lady with a brave soul. She is the outstanding talent who graduated early; topped her class and recommended by all instructors. Li Hongyu likes to command in frontline; and her practical experience and achievements also made her the youngest female general in history.,Raining Fire,金锤大将,0,When using this hero in battle; your Army will deal DMG to multiple enemy targets and will also have increased group DMG ability.,10,5,1,311,62,289,57,400,248|228|0;248|228|0;248|228|0;248|228|0;744|684|300,496|456|0;496|456|0;496|456|0;496|456|0;1488|1368|400,744|684|0;744|684|0;744|684|0;744|684|0;2232|2052|400,992|912|0;992|912|0;992|912|0;992|912|0;2976|2736|500,10108,1,image/hero_icon/hero_icon108,,hero_tachie108,image/hero_icon/black_hero_icon108,No. 108,1,,1,,,,,,,,2,108|2108|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,,,,,,,,,,,,108,When using this hero in battle; your Army will deal DMG to multiple enemy targets and will also have increased group DMG ability.,1,,
109,Katyusha,Katyusha was selected to join the army when she was a teenager; and became Natasha's good friend; but soon the "SaND" found that this straightforward girl was not the one they expected. So she was; in a way; abandoned by the "SaND". Katyusha hated this memory. From then on; she vowed never to allow herself to fail anyone; and grew up as the commander that the Dark Legion didn't want to encounter.,Battlefield Tyrant,金锤大将,0,Covering the battlefield with powerful artillery fire; Katyusha can wound multiple enemy units at the same time,10,5,1,311,62,289,57,400,251|225|0;251|225|0;251|225|0;251|225|0;753|675|300,502|450|0;502|450|0;502|450|0;502|450|0;1506|1350|400,753|675|0;753|675|0;753|675|0;753|675|0;2259|2025|400,1004|900|0;1004|900|0;1004|900|0;1004|900|0;3012|2700|500,10109,1,image/hero_icon/hero_icon109,,hero_tachie109,image/hero_icon/black_hero_icon109,No. 109,1,,1,,1109,,,,2019-10-17-0-0-0,2019-10-30-23-59-59,2,2056|2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055|2087|2177,,1,2200026,,,,,,,,,,,,,,109,Covering the battlefield with powerful artillery fire; Katyusha can wound multiple enemy units at the same time,1,,
