id,heroId,star,skill_show,choose_type,target_side,target_count,trigger_type,att_times,cap_buff_type,buff_id,buff_sub,buff_continue,buff_priority,buff_overlying_same_source,playback,player_opportunity,spell_effect,reset_sustained_buff,replace_effect,add_effect,skill_show_id,attack_effect,hit_effect,effect_new,para_equip_skill_new,para_new,skill_replace,fight_type,active_skill_frequency,newactive_skill_time,active_skill_status,heroskill_tips,effect_new_level,effect_new_exhibition,delay,is_show_hero_bust
int,int,int,int,int,int,int,int,int,int,int,string,int,int,int,int,int,string,int,int,int,int,string,string,string,string,string,string,string,int,int,int,string,string,int,int,int
11001100,101,1,1,3,2,1,11,2,1,3000001,,1,1,1,,,B_20211009_H_X|B_20211009_H_X|2.3|0,,,10000001,,,,,,,,,,,,,,,,1
11001101,101,1,1,1,1,1,10,1,2,3000030,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11001200,101,2,1,3,2,1,11,3,1,3000001,,1,1,1,,,B_20211009_H_X|B_20211009_H_X|2.3|0,,,10000001,,,,,,,,,,,,,,,,1
11001300,101,3,1,3,2,1,11,3,1,3000001,,1,1,1,,,B_20211009_H_X|B_20211009_H_X|2.3|0,,,10000001,,,,,,,,,,,,,,,,1
11001400,101,4,1,3,2,1,11,3,1,3000001,,1,1,1,,,B_20211009_H_X|B_20211009_H_X|2.3|0,,,10000001,,,,,,,,,,,,,,,,1
11001500,101,5,1,3,2,1,11,3,1,3000001,,1,1,1,,,B_20211009_H_X|B_20211009_H_X|2.3|0,,,10000001,,,,,,,,,,,,,,,,1
11002100,107,1,1,4,1,1,6,1,2,3000002,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1
11002200,107,2,1,4,1,1,6,1,2,3000002,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1
11002300,107,3,1,4,1,1,6,1,2,3000002,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1
11002400,107,4,1,4,1,1,6,1,2,3000002,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1
11002500,107,5,1,4,1,2,6,1,2,3000002,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1
11003101,103,1,1,1,1,1,11,1,2,3000004,,9999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11003102,103,1,1,1,1,1,11,1,2,3000005,,9999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11003100,103,1,1,1,1,1,11,1,2,3000003,,9999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11003200,103,2,1,1,1,1,11,1,2,3000003,,9999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11003300,103,3,1,1,1,1,11,1,2,3000003,,9999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11003400,103,4,1,1,1,1,11,1,2,3000003,,9999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11003500,103,5,1,1,1,1,11,1,2,3000003,,9999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11004100,104,1,1,1,1,1,11,1,2,3000007,,9999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11004101,104,1,1,1,1,1,11,1,2,3000008,,9999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11004102,104,1,1,3,2,2,6,1,1,3000006,,1,1,1,,,,,,10000002,,,,,,,,,,,,,,,,1
11004103,101,1,1,1,1,1,10,1,2,3000030,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11004200,104,2,1,3,2,2,6,1,1,3000006,,1,1,1,,,,,,10000002,,,,,,,,,,,,,,,,1
11004300,104,2,1,3,2,2,6,1,1,3000006,,1,1,1,,,,,,10000002,,,,,,,,,,,,,,,,1
11004400,104,3,1,1,1,1,11,1,2,3000007,,9999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11004500,104,5,1,3,2,2,6,1,1,3000006,,1,1,1,,,,,,10000002,,,,,,,,,,,,,,,,1
11005100,105,1,1,4,2,1,6,1,1,3000011,11005101,1,1,1,,,,,,10000003,,,,,,,,,,,,,,,,1
11005101,105,1,1,2,2,1,3,1,2,3000012,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
11005102,101,1,1,1,1,1,10,1,2,3000030,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11005200,105,2,1,4,2,1,6,1,1,3000006,11005201,1,1,1,,,,,,10000003,,,,,,,,,,,,,,,,1
11005201,105,2,1,2,2,1,3,1,2,3000012,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
11005300,105,3,1,4,2,2,6,1,1,3000006,11005301,1,1,1,,,,,,10000003,,,,,,,,,,,,,,,,1
11005301,105,3,1,2,2,1,3,1,2,3000012,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
11005400,105,4,1,4,2,2,6,1,1,3000006,11005401,1,1,1,,,,,,10000003,,,,,,,,,,,,,,,,1
11005401,105,4,1,2,2,1,3,1,2,3000012,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
11005500,105,5,1,4,2,2,6,1,1,3000006,11005501,1,1,1,,,,,,10000003,,,,,,,,,,,,,,,,1
11005501,105,5,1,2,2,1,3,1,2,3000012,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
11006100,115,1,1,1,1,1,11,1,2,3000010,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11006101,115,1,1,1,1,1,11,1,2,3000009,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11006102,115,1,1,1,1,1,11,1,2,3000031,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11006200,115,2,1,1,1,1,11,1,2,3000010,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11006300,115,3,1,1,1,1,11,1,2,3000010,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11006400,115,4,1,1,1,1,11,1,2,3000010,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11006500,115,5,1,1,1,1,11,1,2,3000006,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11007100,107,1,1,4,1,1,6,1,2,3000002,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1
11007200,107,2,1,4,1,1,6,1,2,3000002,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1
11007300,107,3,1,4,1,1,6,1,2,3000002,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1
11007400,107,4,1,4,1,1,6,1,2,3000002,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1
11007500,107,5,1,4,1,2,6,1,2,3000002,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1
11009100,109,1,1,3,2,1,6,3,1,3000025,,1,1,1,,,,,,10000002,,,,,,,,,,,,,,,,0
11009101,203,1,1,1,1,1,11,1,2,3000026,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
11009200,109,2,1,3,2,1,6,3,1,3000025,,1,1,1,,,,,,10000002,,,,,,,,,,,,,,,,0
11009300,109,3,1,3,2,1,6,3,1,3000025,,1,1,1,,,,,,10000002,,,,,,,,,,,,,,,,0
11009400,109,4,1,3,2,1,6,3,1,3000025,,1,1,1,,,,,,10000002,,,,,,,,,,,,,,,,0
11009500,109,5,1,3,2,1,6,3,1,3000025,,1,1,1,,,,,,10000002,,,,,,,,,,,,,,,,0
12001100,201,1,2,1,1,1,11,1,2,3000013,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12001200,201,2,2,1,1,1,11,1,2,3000013,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12001300,201,3,2,1,1,1,11,1,2,3000013,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12001400,201,4,2,1,1,1,11,1,2,3000013,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12001500,201,5,2,1,1,1,11,1,2,3000013,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12002100,202,1,2,1,1,1,11,1,2,3000014,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12002101,202,1,2,1,1,1,11,1,2,3000021,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12002200,202,2,2,1,1,1,11,1,2,3000014,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12002300,202,3,2,1,1,1,11,1,2,3000014,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12002400,202,4,2,1,1,1,11,1,2,3000014,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12002500,202,5,2,1,1,1,11,1,2,3000014,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12003100,203,1,2,1,1,1,11,1,2,3000015,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12003101,203,1,2,1,1,1,11,1,2,3000016,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12003200,203,2,2,1,1,1,11,1,2,3000015,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12003300,203,3,2,1,1,1,11,1,2,3000015,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12003400,203,4,2,1,1,1,11,1,2,3000015,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12003500,203,5,2,1,1,1,11,1,2,3000015,,99999,1,1,,,,,,,,,,,,,,,,,,,,,,0
12004100,204,1,2,4,2,2,6,1,1,3000017,,1,1,1,,,,,,10000003,,,,,,,,,,,,,,,,0
12004101,204,1,2,4,2,2,6,1,2,3000022,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
12004200,204,2,2,4,2,2,6,1,1,3000017,,1,1,1,,,,,,10000003,,,,,,,,,,,,,,,,0
12004300,204,3,2,4,2,2,6,1,1,3000017,,1,1,1,,,,,,10000003,,,,,,,,,,,,,,,,0
12004400,204,4,2,4,2,2,6,1,1,3000017,,1,1,1,,,,,,10000003,,,,,,,,,,,,,,,,0
12004500,204,5,2,4,2,2,6,1,1,3000017,,1,1,1,,,,,,10000003,,,,,,,,,,,,,,,,0
12005100,205,1,2,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
12005200,205,2,2,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
12005300,205,3,2,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
12005400,205,4,2,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
12005500,205,5,2,4,1,3,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
12006100,206,1,2,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
12006200,206,2,2,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
12006300,206,3,2,4,1,2,6,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
12006400,206,4,2,4,1,2,11,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
12006500,206,5,2,4,1,3,11,1,2,3000006,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13001100,301,1,3,1,1,1,11,1,2,3000018,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13001200,301,2,3,1,1,1,11,1,2,3000018,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13001300,301,3,3,1,1,1,11,1,2,3000018,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13001400,301,4,3,1,1,1,11,1,2,3000018,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13001500,301,5,3,1,1,1,11,1,2,3000018,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13002100,302,1,3,1,1,1,11,1,2,3000023,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13002101,302,1,3,1,1,1,11,1,2,3000024,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13002200,302,2,3,1,1,1,11,1,2,3000023,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13002300,302,3,3,1,1,1,11,1,2,3000023,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13002400,302,4,3,1,1,1,11,1,2,3000023,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13002500,302,5,3,1,1,1,11,1,2,3000023,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13003100,303,1,3,1,1,1,11,1,2,3000027,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13003101,303,1,3,1,1,1,11,1,2,3000028,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13003102,303,1,3,1,1,1,11,1,2,3000029,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13003200,303,2,3,1,1,1,11,1,2,3000027,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13003202,303,2,3,1,1,1,11,1,2,3000029,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13003300,303,3,3,1,1,1,11,1,2,3000027,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13003302,303,3,3,1,1,1,11,1,2,3000029,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
13003400,303,4,3,1,1,1,11,1,2,3000027,,1,1,1,,,,,,10000001,,,,,,,,,,,,,,,,0
13003402,303,4,3,1,1,1,11,1,2,3000029,,1,1,1,,,,,,,,,,,,,,,,,,,,,,0
