id,skill_name_key,icon,skill_group_1,skill_group_2,skill_group_3,skill_group_4,skill_group_5,type,desc_key,desc_para,desc_star_key,power,is_show,plat,desc_star_key_para
int,string,string,string,string,string,string,string,int,string,string,string,string,int,string,string
101,Human-guided Missile,cap_skill_icon046_1,11001101|11001100,11001101|11001200,11001101|11001300,11001101|11001400,11001101|11001500,1,After the battle begins, units under the hero's command will randomly attack {0} targets {1} times, each attack dealing {2}% damage. Triggers once per battle.,1|2|30,Increase the number of skill attacks by {0}|Damage of each attack increases by {0}%|Damage of each attack increases by {0}%|Damage of each attack increases by {0}%,0|0|0|0|0,1,all,1|5|5|10
102,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
103,Storm of Bullets,cap_skill_icon003,11003101|11003102|11003100,11003101|11003102|11003200,11003101|11003102|11003300,11003101|11003102|11003400,11003101|11003102|11003500,1,The ATK of the unit under the hero's command is increased by {0}%. And each time the unit launches a regular attack the damage of this unit is increased by {1}%, the ATK of an Army unit under this hero's command is increased by an extra {2}%.,5|15|5,Damage of each attack increases by {0}%|Damage of each attack increases by {0}%|Damage of each attack increases by {0}%|Damage of each attack increases by {0}%,0|0|0|0|0,1,all,8|8|8|12
104,Oversized Tank Muzzle,cap_skill_icon004,11004101|11004102|11004100|11004103,11004101|11004200|11004100|11004103,11004101|11004300|11004100|11004103,11004101|11004300|11004400|11004103,11004101|11004500|11004400|11004103,1,Increase the ATK of unit under the hero's command by {0}%. Each time when the unit under the hero's command launches a regular attack, there's a {1}% chance to randomly fire {2} Super Bombs, each of which deals {3}% damage. The ATK of the army unit under the hero's command is increased by {4}%.,5|50|2|55|5,Increase the damage of High-explosive Bomb by {0}%|Increase the probability of firing High-explosive Bomb by {0}%|Increase ATK of the unit under the hero's command by {0}%|Increase the damage of High-explosive Bomb by {0}%,0|0|0|0|0,1,all,15|20|10|20
105,Flame Pursuit,cap_skill_icon005,11005100|11005102,11005200|11005102,11005300|11005102,11005400|11005102,11005500|11005102,2,Each time when the unit under the hero's command launches a regular attack, there's a {0}% chance to randomly fire {1} Fire Bombs, each of which deals {2}% damage and Ignites the target for 1 round, causing {3}% damage to the ignited unit before start of next round (Ignition: the damage is calculated based on the ATK value at the time the Ignition is added),50|1|60|80,Damage of Ignite increases by {0}%|Number of Fire Bombs increases by {0}|Damage of Fire Bomb increases by {0}%|Damage of Ignite increases by {0}%,0|0|0|0|0,1,all,10|1|15|15
106,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
107,Smoke Screening,cap_skill_icon022,11007100,11007200,11007300,11007400,11007500,2,Each time the unit under the hero's command launches a regular attack, shields will randomly be added to {0} units. Reduce damage taken by units that are shielded by {1}%. The shields last for 1 round only.,1|35,Shield effect increases by {0}%|Shield effect increases by {0}%|Shield effect increases by {0}%|Shield effect increases by {0}%,0|0|0|0|0,1,all,10|10|10|15
108,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
109,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),20,,,1,all,
201,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),35,,,1,all,
202,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),35,,,1,all,
203,Target Locked,skill_icon009,12003101|12003100,12003101|12003200,12003101|12003300,12003101|12003400,12003101|12003500,2,Increase the ATK of the units under the hero's command by {0}%. If the unit is a naval unit, gain an extra {1}% ATK.,16|5,Increase ATK of the unit under the hero's command by {0}%|Increase ATK of the unit under the hero's command by {0}%|Increase ATK of the unit under the hero's command by {0}%|Increase ATK of the unit under the hero's command by {0}%,0|0|0|0|0,1,all,8|8|8|12
204,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
205,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
206,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
207,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
208,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
301,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),50,,,1,all,
302,,cap_skill_icon_none,,,,,,2,(In training to learn new skills...),20,,,1,all,
