id,level,exp5,exp4,exp3,exp2,exp1,star5,star4,star3,star2,star1,SkillExp,power5,power4,power3,power2,power1
int,int,int,int,int,int,int,int,int,int,int,int,string,int,int,int,int,int
1,1,350,300,250,200,200,4,4,4,4,4,,20,10,5,5,5
2,2,700,600,500,400,400,12,12,12,12,12,,40,20,10,10,10
3,3,1050,900,750,600,600,36,24,20,16,16,,60,30,15,15,15
4,4,1400,1200,1000,800,800,72,48,24,20,20,,80,40,20,20,20
5,5,1750,1500,1250,1000,1000,,,,,,,100,50,25,25,25
6,6,2100,1800,1500,1200,1200,,,,,,,120,60,30,30,30
7,7,2450,2100,1750,1400,1400,,,,,,,140,70,35,35,35
8,8,2800,2400,2000,1600,1600,,,,,,,160,80,40,40,40
9,9,3150,2700,2250,1800,1800,,,,,,,180,90,45,45,45
10,10,3500,3000,2500,2000,2000,,,,,,,200,100,50,50,50
11,11,4200,3600,3000,2400,2400,,,,,,,220,110,55,55,55
12,12,4900,4200,3500,2800,2800,,,,,,,240,120,60,60,60
13,13,5600,4800,4000,3200,3200,,,,,,,260,130,65,65,65
14,14,6300,5400,4500,3600,3600,,,,,,,280,140,70,70,70
15,15,7000,6000,5000,4000,4000,,,,,,,300,150,75,75,75
16,16,7700,6600,5500,4400,4400,,,,,,,320,160,80,80,80
17,17,8400,7200,6000,4800,4800,,,,,,,340,170,85,85,85
18,18,9100,7800,6500,5200,5200,,,,,,,360,180,90,90,90
19,19,9800,8400,7000,5600,5600,,,,,,,380,190,95,95,95
20,20,10500,9000,7500,6000,6000,,,,,,,400,200,100,100,100
21,21,11200,9600,8000,6400,6400,,,,,,,420,210,105,105,105
22,22,11900,10200,8500,6800,6800,,,,,,,440,220,110,110,110
23,23,12950,11100,9250,7400,7400,,,,,,,460,230,115,115,115
24,24,14000,12000,10000,8000,8000,,,,,,,480,240,120,120,120
25,25,15050,12900,10750,8600,8600,,,,,,,500,250,125,125,125
26,26,16100,13800,11500,9200,9200,,,,,,,520,260,130,130,130
27,27,17150,14700,12250,9800,9800,,,,,,,540,270,135,135,135
28,28,18200,15600,13000,10400,10400,,,,,,,560,280,140,140,140
29,29,19250,16500,13750,11000,11000,,,,,,,580,290,145,145,145
30,30,20300,17400,14500,11600,11600,,,,,,,600,300,150,150,150
31,31,21350,18300,15250,12200,12200,,,,,,,620,310,155,155,155
32,32,22400,19200,16000,12800,12800,,,,,,,640,320,160,160,160
33,33,23450,20100,16750,13400,13400,,,,,,,660,330,165,165,165
34,34,24500,21000,17500,14000,14000,,,,,,,680,340,170,170,170
35,35,25550,21900,18250,14600,14600,,,,,,,700,350,175,175,175
36,36,26600,22800,19000,15200,15200,,,,,,,720,360,180,180,180
37,37,27650,23700,19750,15800,15800,,,,,,,740,370,185,185,185
38,38,28700,24600,20500,16400,16400,,,,,,,760,380,190,190,190
39,39,29750,25500,21250,17000,17000,,,,,,,780,390,195,195,195
40,40,30800,26400,22000,17600,17600,,,,,,,800,400,200,200,200
41,41,32550,27900,23250,18600,18600,,,,,,,840,420,210,210,210
42,42,34300,29400,24500,19600,19600,,,,,,,880,440,220,220,220
43,43,36050,30900,25750,20600,20600,,,,,,,920,460,230,230,230
44,44,37800,32400,27000,21600,21600,,,,,,,960,480,240,240,240
45,45,39550,33900,28250,22600,22600,,,,,,,1000,500,250,250,250
46,46,41300,35400,29500,23600,23600,,,,,,,1040,520,260,260,260
47,47,43050,36900,30750,24600,24600,,,,,,,1080,540,270,270,270
48,48,44800,38400,32000,25600,25600,,,,,,,1120,560,280,280,280
49,49,46550,39900,33250,26600,26600,,,,,,,1160,580,290,290,290
50,50,48300,41400,34500,27600,27600,,,,,,,1200,600,300,300,300
51,51,50050,42900,35750,28600,28600,,,,,,,1240,620,310,310,310
52,52,51800,44400,37000,29600,29600,,,,,,,1280,640,320,320,320
53,53,53550,45900,38250,30600,30600,,,,,,,1320,660,330,330,330
54,54,55300,47400,39500,31600,31600,,,,,,,1360,680,340,340,340
55,55,57050,48900,40750,32600,32600,,,,,,,1400,700,350,350,350
56,56,58800,50400,42000,33600,33600,,,,,,,1440,720,360,360,360
57,57,60550,51900,43250,34600,34600,,,,,,,1480,740,370,370,370
58,58,62300,53400,44500,35600,35600,,,,,,,1520,760,380,380,380
59,59,64050,54900,45750,36600,36600,,,,,,,1560,780,390,390,390
60,60,65800,56400,47000,37600,37600,,,,,,,1600,800,400,400,400
61,61,71400,61200,51000,40800,40800,,,,,,,1650,825,413,413,413
