id,type,item_id,item_num,power,group,index
int,int,int,int,int,int,int
0,1,,,1550,1,0
1,0,323001,50,500,1,1
2,0,2540002,1,200,1,2
3,0,2400005,1,600,1,3
4,2,,,500,1,4
5,0,2100002,1,600,1,5
6,0,2400004,1,500,1,6
7,0,4200003,1,300,1,7
8,3,,,1200,1,8
9,0,3300001,1,1000,1,9
10,0,500001,1,1600,1,10
11,0,3610009,10,1450,1,11
12,1,,,1550,2,0
13,0,2100005,1,200,2,1
14,0,2540002,1,200,2,2
15,0,2400005,1,600,2,3
16,2,,,500,2,4
17,0,2100002,1,600,2,5
18,0,2400004,1,500,2,6
19,0,4200003,1,500,2,7
20,3,,,1200,2,8
21,0,3300001,1,1300,2,9
22,0,500001,1,1400,2,10
23,0,3610009,10,1450,2,11
