id,name,use_type,changeDesc,title,desc,hero_id,type,group,order,group_name,hero_icon,hero_tachie,anim,get_type,get_param,item,equip_buff,own_buff,is_show,is_temporarily,unlock_lv,plat,time,endtime,timeType,bg_img,language,limit_sign,give_auto_use
int,string,int,int,string,string,int,int,int,int,string,string,string,string,int,int,int,string,string,int,int,int,string,string,string,int,string,string,string,int
107,Wade Skin,,,,,107,1,1,1,hero_skin_group000,image/hero_icon/hero_icon019_summer,hero_tachie019_summer,,8,800001,14101007,,,1,0,1,G123|g123,,,,,,,
203,Simon Skin,,,,,203,1,1,2,hero_skin_group000,image/hero_icon/hero_icon009_summer,hero_tachie009_summer,,8,800002,14101010,,,1,0,1,G123|g123,,,,,,,
101,Black Widow Skin,,,,,101,1,1,3,hero_skin_group000,image/hero_icon/hero_icon001_summer,hero_tachie001_summer,,8,800003,14101001,,,1,0,1,G123|g123,,,,,,,
102,Reichstein Skin,,,,,102,1,1,4,hero_skin_group000,image/hero_icon/hero_icon002_summer,hero_tachie002_summer,,8,800004,14101002,,,1,0,1,G123|g123,,,,,,,
104,Tywin Skin,,,,,104,1,1,5,hero_skin_group000,image/hero_icon/hero_icon004_summer,hero_tachie004_summer,,8,800005,14101004,,,1,0,1,G123|g123,,,,,,,
201,Bob skin,,,,,201,1,1,6,hero_skin_group000,image/hero_icon/hero_icon007_summer,hero_tachie007_summer,,8,800006,14101008,,,1,0,1,G123|g123,,,,,,,
202,Hammer Skin,,,,,202,1,1,7,hero_skin_group000,image/hero_icon/hero_icon008_summer,hero_tachie008_summer,,8,800007,14101009,,,1,0,1,G123|g123,,,,,,,
205,Ganso Skin,,,,,205,1,1,8,hero_skin_group000,image/hero_icon/hero_icon011_summer,hero_tachie011_summer,,8,800008,14101012,,,1,0,1,G123|g123,,,,,,,
1104,Simon Skin4,,,,,1104,1,1,9,hero_skin_group000,image/hero_icon/hero_icon1104_date2,hero_tachie1104_date2,,7,200009,14101022,,,1,0,1,G123|g123,,,,,,,
1105,Simon Skin5,,,,,1105,1,1,10,hero_skin_group000,image/hero_icon/hero_icon1105_date2,hero_tachie1105_date2,,7,200010,14101023,,,1,0,1,G123|g123,,,,,,,
