id,star,step,power5,power4,power3,power2,power1
int,int,int,int,int,int,int,int
1,1,0,710,110,30,30,30
2,1,1,990,150,40,40,40
3,1,2,1270,190,50,50,50
4,1,3,1550,230,60,60,60
5,1,4,1830,270,70,70,70
6,2,0,2110,310,80,80,80
7,2,1,3010,450,110,110,110
8,2,2,3910,590,140,140,140
9,2,3,4810,730,170,170,170
10,2,4,5710,870,200,200,200
11,3,0,6610,1010,230,230,230
12,3,1,9430,1430,340,340,340
13,3,2,12250,1850,450,450,450
14,3,3,15070,2270,560,560,560
15,3,4,17890,2690,670,670,670
16,4,0,20710,3110,780,780,780
17,4,1,26970,4050,1010,1010,1010
18,4,2,33230,4990,1240,1240,1240
19,4,3,39490,5930,1470,1470,1470
20,4,4,45750,6870,1700,1700,1700
21,5,0,52010,7810,1930,1930,1930
