id,hero_id,line_file_name,line_key,unlock_star,order,platform,skin_id
int,int,string,string,int,int,string,int
10401,111,1,hero_voice_pack_0101,2,5,G123|g123,
10402,111,2,hero_voice_pack_0102,3,6,G123|g123,
10403,111,3,hero_voice_pack_0103,4,7,G123|g123,
10404,111,hero_get,hero_voice_pack_0104,1,1,G123|g123,
10405,111,hero_lvup,hero_voice_pack_0105,1,3,G123|g123,
10406,111,hero_skill,hero_voice_pack_0106,1,4,G123|g123,
10407,111,hero_welcome,hero_voice_pack_0107,1,2,G123|g123,
11201,102,1,hero_voice_pack_0301,2,5,G123|g123,
11202,102,2,hero_voice_pack_0302,3,6,G123|g123,
11203,102,3,hero_voice_pack_0303,4,7,G123|g123,
11204,102,hero_get,hero_voice_pack_0304,1,1,G123|g123,
11205,102,hero_lvup,hero_voice_pack_0305,1,3,G123|g123,
11206,102,hero_skill,hero_voice_pack_0306,1,4,G123|g123,
11207,102,hero_welcome,hero_voice_pack_0307,1,2,G123|g123,
10601,1212,1,hero_voice_pack_4001,2,5,G123|g123,
10602,1212,2,hero_voice_pack_4002,3,6,G123|g123,
10603,1212,3,hero_voice_pack_4003,4,7,G123|g123,
10604,1212,hero_get,hero_voice_pack_4004,1,1,G123|g123,
10605,1212,hero_lvup,hero_voice_pack_4005,1,8,G123|g123,
10606,1212,hero_skill,hero_voice_pack_4006,1,9,G123|g123,
10607,1212,hero_welcome1,hero_voice_pack_4007,1,2,G123|g123,
10608,1212,hero_welcome2,hero_voice_pack_4008,1,3,G123|g123,
10609,1212,hero_welcome3,hero_voice_pack_4009,1,4,G123|g123,
10610,1212,add_exp1,hero_voice_pack_4010,1,10,G123|g123,
10611,1212,add_exp2,hero_voice_pack_4011,1,11,G123|g123,
10612,1212,on_defence,hero_voice_pack_4012,1,12,G123|g123,
10701,,1,hero_voice_pack_4101,2,5,G123|g123,2026
10702,,2,hero_voice_pack_4102,3,6,G123|g123,2026
10703,,3,hero_voice_pack_4103,4,7,G123|g123,2026
10704,,hero_get,hero_voice_pack_4104,1,1,G123|g123,2026
10705,,hero_lvup,hero_voice_pack_4105,1,8,G123|g123,2026
10706,,hero_skill,hero_voice_pack_4106,1,9,G123|g123,2026
10707,,hero_welcome1,hero_voice_pack_4107,1,2,G123|g123,2026
10708,,hero_welcome2,hero_voice_pack_4108,1,3,G123|g123,2026
10709,,hero_welcome3,hero_voice_pack_4109,1,4,G123|g123,2026
10710,,add_exp1,hero_voice_pack_4110,1,10,G123|g123,2026
10711,,add_exp2,hero_voice_pack_4111,1,11,G123|g123,2026
10712,,on_defence,hero_voice_pack_4112,1,12,G123|g123,2026
10801,,1,hero_voice_pack_4201,2,5,G123|g123,2027
10802,,2,hero_voice_pack_4202,3,6,G123|g123,2027
10803,,3,hero_voice_pack_4203,4,7,G123|g123,2027
10804,,hero_skill,hero_voice_pack_4204,1,4,G123|g123,2027
10805,,hero_welcome1,hero_voice_pack_4205,1,1,G123|g123,2027
10806,,hero_welcome2,hero_voice_pack_4206,1,2,G123|g123,2027
10807,,hero_welcome3,hero_voice_pack_4207,1,3,G123|g123,2027
10901,,1,hero_voice_pack_4301,2,5,G123|g123,2028
10902,,2,hero_voice_pack_4302,3,6,G123|g123,2028
10903,,3,hero_voice_pack_4303,4,7,G123|g123,2028
10904,,hero_skill,hero_voice_pack_4304,1,4,G123|g123,2028
10905,,hero_welcome1,hero_voice_pack_4305,1,1,G123|g123,2028
10906,,hero_welcome2,hero_voice_pack_4306,1,2,G123|g123,2028
10907,,hero_welcome3,hero_voice_pack_4307,1,3,G123|g123,2028
11001,,1,hero_voice_pack_4401,2,5,G123|g123,2029
11002,,2,hero_voice_pack_4402,3,6,G123|g123,2029
11003,,3,hero_voice_pack_4403,4,7,G123|g123,2029
11004,,hero_skill,hero_voice_pack_4404,1,4,G123|g123,2029
11005,,hero_welcome1,hero_voice_pack_4405,1,1,G123|g123,2029
11006,,hero_welcome2,hero_voice_pack_4406,1,2,G123|g123,2029
11007,,hero_welcome3,hero_voice_pack_4407,1,3,G123|g123,2029
11101,,1,hero_voice_pack_4501,2,5,G123|g123,2030
11102,,2,hero_voice_pack_4502,3,6,G123|g123,2030
11103,,3,hero_voice_pack_4503,4,7,G123|g123,2030
11104,,hero_skill,hero_voice_pack_4504,1,4,G123|g123,2030
11105,,hero_welcome1,hero_voice_pack_4505,1,1,G123|g123,2030
11106,,hero_welcome2,hero_voice_pack_4506,1,2,G123|g123,2030
11107,,hero_welcome3,hero_voice_pack_4507,1,3,G123|g123,2030
11301,,1,hero_voice_pack_203101,2,5,G123|g123,2031
11302,,2,hero_voice_pack_203102,3,6,G123|g123,2031
11303,,3,hero_voice_pack_203103,4,7,G123|g123,2031
11304,,hero_get,hero_voice_pack_203104,1,1,G123|g123,2031
11305,,hero_lvup,hero_voice_pack_203105,1,3,G123|g123,2031
11306,,hero_skill,hero_voice_pack_203106,1,4,G123|g123,2031
11307,,hero_welcome,hero_voice_pack_203107,1,2,G123|g123,2031
11401,,1,hero_voice_pack_203201,2,5,G123|g123,2032
11402,,2,hero_voice_pack_203202,3,6,G123|g123,2032
11403,,3,hero_voice_pack_203203,4,7,G123|g123,2032
11404,,hero_get,hero_voice_pack_203204,1,1,G123|g123,2032
11405,,hero_lvup,hero_voice_pack_203205,1,3,G123|g123,2032
