id,type,level,upgrade,reward,item
int,int,int,int,int,string
1,68,0,100,0,1700104|1
2,68,1,90,9016001,1700104|1
3,68,2,70,9016002,1700104|1
4,68,3,60,9016003,1700104|1
5,68,4,50,9016004,1700104|1
6,68,5,-1,9016005,
7,45,0,100,0,1700104|1
8,45,1,90,9016301,1700104|1
9,45,2,70,9016302,1700104|1
10,45,3,60,9016303,1700104|1
11,45,4,50,9016304,1700104|1
12,45,5,-1,9016305,
13,84,0,100,0,1700104|1
14,84,1,90,9016001,1700104|1
15,84,2,70,9016002,1700104|1
16,84,3,60,9016003,1700104|1
17,84,4,50,9016004,1700104|1
18,84,5,-1,9016005,
19,91,0,100,0,1700104|1
20,91,1,90,9016001,1700104|1
21,91,2,70,9016002,1700104|1
22,91,3,60,9016003,1700104|1
23,91,4,50,9016004,1700104|1
24,91,5,-1,9016005,
25,92,0,100,0,1700104|1
26,92,1,90,9016001,1700104|1
27,92,2,70,9016002,1700104|1
28,92,3,60,9016003,1700104|1
29,92,4,50,9016004,1700104|1
30,92,5,-1,9016005,
31,121,0,100,0,1700104|1
32,121,1,90,9016001,1700104|1
33,121,2,70,9016002,1700104|1
34,121,3,60,9016003,1700104|1
35,121,4,50,9016004,1700104|1
36,121,5,-1,9016005,
