id,purpose,para,image,dialog_title,dialog_des,reward_preview_resource,reward_preview_item,open_level,switch,order,fast_jump,jump_icon,number_reddot
int,int,int,string,string,string,string,string,int,string,int,int,string,int
2,7,3101,bg5_openBuilding,Island Battle,Remaining lives: {0},,2560001|2550001|2540002,42,,17,,,1
4,3,59,bg1_openBuilding,Refugee Rescue,Participant rewards claimed: {0}/10,,2560001|1700040,21,,15,,,1
5,8,,bg4_openBuilding,Reward Quest,Completed: {0}/10,1|12,1700039,10,,11,,,1
6,3,77,bg6_openBuilding,Warhammer Raid,Participant rewards claimed: {0}/{1},,1800001|323001|520001,6,,10,,,1
8,7,3801,bg8_openBuilding,Expedition Base,Time passed: {0},,2300003|1700015|2100005,18,adventure_function,13,,,1
10,11,,bg7_openBuilding,Hunting Guild,Current quest: {0}/{1},,1700063,35,treasure_map_s2,16,,,1
11,12,,bg11_openBuilding,Sandtable Exercise,Limit today: {0},,1800001|5200007|323001,15,pve_arena_function,12,,,1
12,13,,bg12_openBuilding,Warzone Exercise,Limit today: {0},10,3300001|5200007,20,pvp_arena_function,14,,,1
13,14,,bg13_openBuilding,Warzone Exercise (SvS),Limit today: {0},10,3300001|5200007,45,cross_server_pvp_arena_function,18,,,1
