id,type,group,team,exchange,reward,reward2,value,exhibition,effect
int,int,int,int,int,int,int,string,string,string
1,1,1,1,,2131000,,2000|2000000|2000,1|1|1,0|0|0
2,1,2,1,2131010,2131011,2131012,20000|200000|20000,1|2;1|3,0|3|1
3,1,2,2,2131020,2131021,2131022,2000|2000|2000,1|2;1|3,0|3|2
4,1,2,3,2131030,2131031,2131032,2000|2000|2000,1|2;1|3,0|3|2
5,1,3,1,2131040,2131041,2131042,3000|3000|3000,3|2|1,0|3|2
6,1,3,2,2131050,2131051,2131052,3000|3000|3000,3|2|1,0|3|2
7,1,3,3,2131060,2131061,2131062,3000|3000|3000,3|2|1,0|3|2
8,2,1,1,,2132000,,2000|2000000|2000,1|2;1|3,0|3|2
9,2,2,1,2132010,2132011,2132012,20000|200000|20000,1|2;1|3,0|3|2
10,2,2,2,2132020,2132021,2132022,2000|2000|2000,1|2;1|3,0|3|2
11,2,2,3,2132030,2132031,2132032,2000|2000|2000,3|2|1,0|3|2
12,2,3,1,2132040,2132041,2132042,3000|3000|3000,3|2|1,0|3|2
13,2,3,2,2132050,2132051,2132052,3000|3000|3000,3|2|1,0|3|2
14,2,3,3,2132060,2132061,2132062,3000|3000|3000,1|2;1|3,0|3|2
15,3,1,1,,2141001,,120|200|100,2|1|1,2|1|1
16,3,2,1,2140002,2142002,2141002,120|300|200,2|1|2,0|1|2
17,3,3,1,2140003,2142003,2141003,500|300|200,2|1|2,0|1|2
18,3,4,1,2140004,2142004,2141004,250|300|200,2|1|2,0|1|2
19,3,5,1,2140005,2142005,2141005,600|150|200,2|1|2,0|1|2
20,3,6,1,2140006,2142006,2141006,400|300|200,2|1|2,0|1|2
21,3,7,1,2140007,2142007,2141007,600|150|200,2|1|2,0|1|2
22,3,8,1,2140008,2142008,2141008,3000|900|200,3;1|2|2,0|2|2
23,3,9,1,2140009,2142009,2141009,1500|300|200,2|1|2,0|1|2
24,3,10,1,2140010,2142010,2141010,600|300|200,2|1|2,0|1|2
25,3,11,1,2140011,2142011,2141011,5000|900|200,3;1|2|2,0|2|2
26,3,12,1,2140012,2142012,2141012,1500|300|200,2|1|2,0|1|2
27,3,13,1,2140013,2142013,2141013,1200|900|200,3|2|2,0|2|2
28,3,14,1,2140014,2142014,2141014,2400|1000|200,3|2;1|2,0|2|2
29,3,15,1,2140015,2142015,2141015,2500|900|200,3|2|2,0|2|2
30,3,16,1,2140016,2142016,2141016,2400|1000|200,3|2;1|2,0|2|2
31,3,17,1,2140017,2142017,2141017,11300|3000|200,3|3;1|2,0|3|2
32,3,18,1,2140018,2142018,2141018,5000|900|200,3;1|2|2,0|2|2
33,3,19,1,2140019,2142019,2141019,1000|150|200,2|1|2,0|1|2
34,3,20,1,2140020,2142020,2141020,3000|900|200,3;1|2|2,0|2|2
35,3,21,1,2140021,2142021,2141021,5200|1200|200,3|2|2,0|2|2
36,3,22,1,2140022,2142022,2141022,2400|900|200,3|2|2,0|2|2
37,3,23,1,2140023,2142023,2141023,6000|3000|200,3|3;1|2,0|3|2
38,3,24,1,2140024,2142024,2141024,12000|3000|200,3|3;1|2,0|3|2
39,3,25,1,2140025,2142025,2141025,3000|900|200,3;1|2|2,0|2|2
40,3,26,1,2140026,2142026,2141026,2400|2000|200,3|2|2,0|2|2
41,3,27,1,2140027,2142027,2141027,6000|3000|200,3|3;1|2,0|3|2
42,3,28,1,2140028,2142028,2141028,2400|2000|200,3|2|2,0|2|2
43,3,29,1,2140029,2142029,2141029,12000|3000|200,3|3;1|2,0|3|2
44,4,1,1,,2151001,,120|200|100,2|1|1,2|1|1
45,4,2,1,2150002,2152002,2141002,120|300|200,2|1|2,0|1|2
46,4,3,1,2150003,2152003,2141003,600|300|200,2|1|2,0|1|2
47,4,4,1,2150004,2152004,2141004,240|300|200,2|1|2,0|1|2
48,4,5,1,2150005,2152005,2141005,600|225|200,2|1|2,0|1|2
49,4,6,1,2150006,2152006,2141006,2000|900|200,3|2|2,0|2|2
50,4,7,1,2150007,2152007,2141007,3000|900|200,3|2|2,0|2|2
51,4,8,1,2150008,2152008,2141008,3000|900|200,3;1|2|2,0|2|2
52,4,9,1,2150009,2152009,2141009,1500|300|200,2|1|2,0|1|2
53,4,10,1,2150010,2152010,2141010,1200|900|200,3|2|2,0|2|2
54,4,11,1,2150011,2152011,2141011,5000|900|200,3;1|2|2,0|2|2
55,4,12,1,2150012,2152012,2141012,10500|3000|200,3|3;1|2,0|3|2
56,4,13,1,2150013,2152013,2141013,1200|900|200,3|2|2,0|2|2
57,4,14,1,2150014,2152014,2141014,2400|1000|200,3|2;1|2,0|2|2
58,4,15,1,2150015,2152015,2141015,2500|900|200,3|2|2,0|2|2
59,4,16,1,2150016,2152016,2141016,2400|1000|200,3|2;1|2,0|2|2
60,4,17,1,2150017,2152017,2141017,11000|3000|200,3|3;1|2,0|3|2
61,4,18,1,2150018,2152018,2141018,2500|900|200,3|2|2,0|2|2
62,4,19,1,2150019,2152019,2141019,15000|3000|200,3|3;1|2,0|3|2
63,4,20,1,2150020,2152020,2141020,3000|900|200,3;1|2|2,0|2|2
64,4,21,1,2150021,2152021,2141021,6000|3000|200,3|3;1|2,0|3|2
65,4,22,1,2150022,2152022,2141022,2400|900|200,3|2|2,0|2|2
66,4,23,1,2150023,2152023,2141023,6000|3000|200,3|3;1|2,0|3|2
67,4,24,1,2150024,2152024,2141024,21000|3000|200,3|3;1|2,0|3|2
68,4,25,1,2150025,2152025,2141025,6000|900|200,3|2|2,0|2|2
