id,floor,level,position,boss,difficulty
int,int,int,int,int,int
10102,1,1,2,,2
10104,1,1,4,,2
10201,1,2,1,,2
10203,1,2,3,,2
10205,1,2,5,,2
10302,1,3,2,,2
10304,1,3,4,,2
10401,1,4,1,,2
10403,1,4,3,,2
10405,1,4,5,,2
10502,1,5,2,,2
10504,1,5,4,,2
10601,1,6,1,,2
10603,1,6,3,,2
10605,1,6,5,,2
10702,1,7,2,,2
10704,1,7,4,,2
10801,1,8,1,,2
10803,1,8,3,,2
10805,1,8,5,,2
10902,1,9,2,,2
10904,1,9,4,,2
11003,1,10,3,1,2
20102,2,1,2,,2
20104,2,1,4,,2
20201,2,2,1,,2
20203,2,2,3,,2
20205,2,2,5,,2
20302,2,3,2,,2
20304,2,3,4,,2
20401,2,4,1,,2
20403,2,4,3,,2
20405,2,4,5,,2
20502,2,5,2,,2
20504,2,5,4,,2
20601,2,6,1,,2
20603,2,6,3,,2
20605,2,6,5,,2
20702,2,7,2,,2
20704,2,7,4,,2
20801,2,8,1,,2
20803,2,8,3,,2
20805,2,8,5,,2
20902,2,9,2,,2
20904,2,9,4,,2
21003,2,10,3,1,2
30102,3,1,2,,2
30104,3,1,4,,2
30201,3,2,1,,2
30203,3,2,3,,2
30205,3,2,5,,2
30302,3,3,2,,2
30304,3,3,4,,2
30401,3,4,1,,2
30403,3,4,3,,2
30405,3,4,5,,2
30502,3,5,2,,2
30504,3,5,4,,2
30601,3,6,1,,2
30603,3,6,3,,2
30605,3,6,5,,2
30702,3,7,2,,2
30704,3,7,4,,2
30801,3,8,1,,2
30803,3,8,3,,2
30805,3,8,5,,2
30902,3,9,2,,2
30904,3,9,4,,2
31003,3,10,3,1,2
110102,1,1,2,,1
110104,1,1,4,,1
110201,1,2,1,,1
110203,1,2,3,,1
110205,1,2,5,,1
110302,1,3,2,,1
110304,1,3,4,,1
110401,1,4,1,,1
110403,1,4,3,,1
110405,1,4,5,,1
110502,1,5,2,,1
110504,1,5,4,,1
110601,1,6,1,,1
110603,1,6,3,,1
110605,1,6,5,,1
110702,1,7,2,,1
110704,1,7,4,,1
110801,1,8,1,,1
110803,1,8,3,,1
110805,1,8,5,,1
110902,1,9,2,,1
110904,1,9,4,,1
111003,1,10,3,1,1
120102,2,1,2,,1
120104,2,1,4,,1
120201,2,2,1,,1
120203,2,2,3,,1
120205,2,2,5,,1
120302,2,3,2,,1
120304,2,3,4,,1
120401,2,4,1,,1
120403,2,4,3,,1
120405,2,4,5,,1
120502,2,5,2,,1
120504,2,5,4,,1
120601,2,6,1,,1
120603,2,6,3,,1
120605,2,6,5,,1
120702,2,7,2,,1
120704,2,7,4,,1
120801,2,8,1,,1
120803,2,8,3,,1
120805,2,8,5,,1
120902,2,9,2,,1
120904,2,9,4,,1
121003,2,10,3,1,1
130102,3,1,2,,1
130104,3,1,4,,1
130201,3,2,1,,1
130203,3,2,3,,1
130205,3,2,5,,1
130302,3,3,2,,1
130304,3,3,4,,1
130401,3,4,1,,1
130403,3,4,3,,1
130405,3,4,5,,1
130502,3,5,2,,1
130504,3,5,4,,1
130601,3,6,1,,1
130603,3,6,3,,1
130605,3,6,5,,1
130702,3,7,2,,1
130704,3,7,4,,1
130801,3,8,1,,1
130803,3,8,3,,1
130805,3,8,5,,1
130902,3,9,2,,1
130904,3,9,4,,1
131003,3,10,3,1,1
310102,1,1,2,,3
310104,1,1,4,,3
310201,1,2,1,,3
310203,1,2,3,,3
310205,1,2,5,,3
310302,1,3,2,,3
310304,1,3,4,,3
310401,1,4,1,,3
310403,1,4,3,,3
310405,1,4,5,,3
310502,1,5,2,,3
310504,1,5,4,,3
310601,1,6,1,,3
310603,1,6,3,,3
310605,1,6,5,,3
310702,1,7,2,,3
310704,1,7,4,,3
310801,1,8,1,,3
310803,1,8,3,,3
310805,1,8,5,,3
310902,1,9,2,,3
310904,1,9,4,,3
311003,1,10,3,1,3
320102,2,1,2,,3
320104,2,1,4,,3
320201,2,2,1,,3
320203,2,2,3,,3
320205,2,2,5,,3
320302,2,3,2,,3
320304,2,3,4,,3
320401,2,4,1,,3
320403,2,4,3,,3
320405,2,4,5,,3
320502,2,5,2,,3
320504,2,5,4,,3
320601,2,6,1,,3
320603,2,6,3,,3
320605,2,6,5,,3
320702,2,7,2,,3
320704,2,7,4,,3
320801,2,8,1,,3
320803,2,8,3,,3
320805,2,8,5,,3
320902,2,9,2,,3
320904,2,9,4,,3
321003,2,10,3,1,3
330102,3,1,2,,3
330104,3,1,4,,3
330201,3,2,1,,3
330203,3,2,3,,3
330205,3,2,5,,3
330302,3,3,2,,3
330304,3,3,4,,3
330401,3,4,1,,3
330403,3,4,3,,3
330405,3,4,5,,3
330502,3,5,2,,3
330504,3,5,4,,3
330601,3,6,1,,3
330603,3,6,3,,3
330605,3,6,5,,3
330702,3,7,2,,3
330704,3,7,4,,3
330801,3,8,1,,3
330803,3,8,3,,3
330805,3,8,5,,3
330902,3,9,2,,3
330904,3,9,4,,3
331003,3,10,3,1,3
