id,level_id,type,elite,monster_level,para1,para2,weight,add_reward,integral,icon,name,desc,icon1,times
int,int,int,int,string,int,int,int,int,int,string,string,string,string,string
1010101,10102,1,1,-4,101,9,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
1010102,10102,1,,-5,201,9,1,9220001,80,icon_island1,105719,100337,icon_island1,1
1010103,10102,1,,-5,301,9,1,9220001,80,icon_island3,105717,100337,icon_island3,1
1010301,10104,1,1,-4,101,9,1,9220002,100,icon_island2,105721,100337,icon_island2,1.2
1010302,10104,1,,-5,201,9,1,9220001,80,icon_island1,105719,100337,icon_island1,1
1010303,10104,1,,-5,301,9,1,9220001,80,icon_island3,105717,100337,icon_island3,1
1020101,10201,2,,,9220017,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1700039,
1020102,10201,2,,,9220010,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_500000,
1020103,10201,2,,,9220006,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1900001,
1020301,10203,2,,,9220015,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_1700030,
1020302,10203,1,1,-3,201,12,1,9220002,100,icon_island1,105719,100337,icon_island1,1.2
1020303,10203,1,1,-3,301,12,1,9220002,100,icon_island3,105717,100337,icon_island3,1.2
1020501,10205,2,,,9220012,,1,,,icon_island4,Island Treasure,Dig to get mysterious treasure,item_chouka1,
1020502,10205,1,,-4,201,12,1,9220001,80,icon_island1,105719,100337,icon_island1,1
1020503,10205,1,,-4,301,12,1,9220001,80,icon_island3,105717,100337,icon_island3,1
1030201,10302,3,,,1003031,500,1,,,icon_island7,Island Banner,,enhance_403900,
1030202,10302,3,,,1003011,500,1,,,icon_island7,Island Banner,,enhance_400300,
1030203,10302,3,,,1003012,500,1,,,icon_island7,Island Banner,,enhance_400300,
1030401,10304,3,,,1003023,500,1,,,icon_island7,Island Banner,,enhance_403700,
1030402,10304,3,,,1003021,500,1,,,icon_island7,Island Banner,,enhance_403600,
1030403,10304,3,,,1003029,500,1,,,icon_island7,Island Banner,,enhance_403900,
1040101,10401,3,,,1003020,500,1,,,icon_island7,Island Banner,,enhance_403600,
1040102,10401,1,,-3,101,15,1,9220001,80,icon_island2,105721,100337,icon_island2,1
1040103,10401,1,,-3,201,15,1,9220001,80,icon_island1,105719,100337,icon_island1,1
