id,level_id,type,elite,monster_level,para1,para2,weight,add_reward,integral,icon,name,desc,buff_type,icon1,icon2,prefab,special_effects,effects_time,times,minmumber,maxnumber,notice,boxicon
int,string,int,int,int,string,string,int,int,int,string,string,string,string,string,string,string,string,double,double,int,int,string,string
1,11|12,1,1,-2,301,15,15,9500302,15,icon_BattleIsland5,105717,100337,,icon_BattleIsland5,image/IsleBattle/icon_BattleIsland5,,Effect_daoyu_zhandou,1.4,0.24,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox2
2,11|12,1,,-4,101,12,15,9500301,10,icon_BattleIsland6,105721,100337,,icon_BattleIsland6,image/IsleBattle/icon_BattleIsland6_1,,Effect_daoyu_zhandou,1.4,0.2,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox1
3,13|14,1,1,1,301,30,15,9500302,15,icon_BattleIsland5,105717,100337,,icon_BattleIsland5,image/IsleBattle/icon_BattleIsland5,,Effect_daoyu_zhandou,1.4,0.24,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox2
4,13|14,1,,-1,101,21,15,9500301,10,icon_BattleIsland6,105721,100337,,icon_BattleIsland6,image/IsleBattle/icon_BattleIsland6_1,,Effect_daoyu_zhandou,1.4,0.2,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox1
5,15|16,1,1,4,201,42,15,9500302,15,icon_BattleIsland5,105719,100337,,icon_BattleIsland5,image/IsleBattle/icon_BattleIsland5,,Effect_daoyu_zhandou,1.4,0.24,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox2
6,15|16,1,,2,301,30,15,9500301,10,icon_BattleIsland6,105717,100337,,icon_BattleIsland6,image/IsleBattle/icon_BattleIsland6_1,,Effect_daoyu_zhandou,1.4,0.2,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox1
7,17|18,1,1,7,301,60,15,9500302,15,icon_BattleIsland5,105717,100337,,icon_BattleIsland5,image/IsleBattle/icon_BattleIsland5,,Effect_daoyu_zhandou,1.4,0.24,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox2
8,17|18,1,,5,101,42,15,9500301,10,icon_BattleIsland6,105721,100337,,icon_BattleIsland6,image/IsleBattle/icon_BattleIsland6_1,,Effect_daoyu_zhandou,1.4,0.2,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox1
9,19|20,1,1,10,201,60,15,9500302,15,icon_BattleIsland5,105719,100337,,icon_BattleIsland5,image/IsleBattle/icon_BattleIsland5,,Effect_daoyu_zhandou,1.4,0.24,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox2
10,19|20,1,,8,301,54,15,9500301,10,icon_BattleIsland6,105717,100337,,icon_BattleIsland6,image/IsleBattle/icon_BattleIsland6_1,,Effect_daoyu_zhandou,1.4,0.2,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox1
11,21|22,1,1,13,201,65,15,9500302,20,icon_BattleIsland5,105719,100337,,icon_BattleIsland5,image/IsleBattle/icon_BattleIsland5,,Effect_daoyu_zhandou,1.4,0.24,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox2
12,21|22,1,,11,301,63,15,9500301,15,icon_BattleIsland6,105717,100337,,icon_BattleIsland6,image/IsleBattle/icon_BattleIsland6_1,,Effect_daoyu_zhandou,1.4,0.2,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox1
13,23|24,1,1,17,201,76,15,9500302,20,icon_BattleIsland5,105719,100337,,icon_BattleIsland5,image/IsleBattle/icon_BattleIsland5,,Effect_daoyu_zhandou,1.4,0.24,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox2
14,23|24,1,,15,301,68,15,9500301,15,icon_BattleIsland6,105717,100337,,icon_BattleIsland6,image/IsleBattle/icon_BattleIsland6_1,,Effect_daoyu_zhandou,1.4,0.2,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox1
15,25,1,1,20,201,97,15,9500302,20,icon_BattleIsland5,105719,100337,,icon_BattleIsland5,image/IsleBattle/icon_BattleIsland5,,Effect_daoyu_zhandou,1.4,0.24,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox2
16,25,1,,19,301,90,15,9500301,15,icon_BattleIsland6,105717,100337,,icon_BattleIsland6,image/IsleBattle/icon_BattleIsland6_1,,Effect_daoyu_zhandou,1.4,0.2,6,,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox1
17,11|12,11,,-1,201,17,1,9500303,20,icon_BattleIsland11,Mad Hiett,100337,,icon_BattleIsland11,image/IsleBattle/icon_BattleIsland11,Effect_boss_kongjun_1_idle,Effect_daoyu_zhandou,1.4,0.38,2,2,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox3
18,13|14,11,,2,201,30,1,9500303,20,icon_BattleIsland11,Mad Hiett,100337,,icon_BattleIsland11,image/IsleBattle/icon_BattleIsland11,Effect_boss_kongjun_1_idle,Effect_daoyu_zhandou,1.4,0.38,2,2,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox3
19,15|16,11,,5,201,42,1,9500303,20,icon_BattleIsland11,Mad Hiett,100337,,icon_BattleIsland11,image/IsleBattle/icon_BattleIsland11,Effect_boss_kongjun_1_idle,Effect_daoyu_zhandou,1.4,0.38,2,2,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox3
20,17|18,11,,8,201,51,1,9500303,20,icon_BattleIsland11,Mad Hiett,100337,,icon_BattleIsland11,image/IsleBattle/icon_BattleIsland11,Effect_boss_kongjun_1_idle,Effect_daoyu_zhandou,1.4,0.38,2,2,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox3
21,19|20,11,,11,201,60,1,9500304,30,icon_BattleIsland11,Mad Hiett,100337,,icon_BattleIsland11,image/IsleBattle/icon_BattleIsland11,Effect_boss_kongjun_1_idle,Effect_daoyu_zhandou,1.4,0.38,2,2,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox3
22,21|22,11,,14,201,70,1,9500304,30,icon_BattleIsland11,Mad Hiett,100337,,icon_BattleIsland11,image/IsleBattle/icon_BattleIsland11,Effect_boss_kongjun_1_idle,Effect_daoyu_zhandou,1.4,0.38,2,2,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox3
23,23|24,11,,18,201,83,1,9500304,30,icon_BattleIsland11,Mad Hiett,100337,,icon_BattleIsland11,image/IsleBattle/icon_BattleIsland11,Effect_boss_kongjun_1_idle,Effect_daoyu_zhandou,1.4,0.38,2,2,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox3
24,25,11,,21,201,103,1,9500305,40,icon_BattleIsland11,Mad Hiett,100337,,icon_BattleIsland11,image/IsleBattle/icon_BattleIsland11,Effect_boss_kongjun_1_idle,Effect_daoyu_zhandou,1.4,0.38,2,2,Defeat. You lost {0} HP!|Victory! You lost {0} HP!,icon_isleFlagRewardBox3
25,0,3,,,1003001,500,6,,,icon_BattleIsland7,Island BUFF,All units HP bonus,icon_army_island1,enhance_403400,image/IsleBattle/icon_BattleIsland7,,,1.0,,0,0,You received {0}; the power of units has increased by {1},
26,11|12|13|14|15|16|17|18|19|20|21|22|23|24|25,3,,,1003002,500,6,,,icon_BattleIsland7,Island BUFF,All units ATK bonus,icon_army_island1,enhance_400200,image/IsleBattle/icon_BattleIsland7,,,1.0,,0,2,You received {0}; the power of units has increased by {1},
27,11|12|13|14|15|16|17|18|19|20|21|22|23|24|25,3,,,1003003,500,6,,,icon_BattleIsland7,Island BUFF,All units Crit. rate,icon_army_island1,enhance_400300,image/IsleBattle/icon_BattleIsland7,,,1.0,,0,2,You received {0}; the power of units has increased by {1},
