id,group,type,type_open,quality,name,name_with_para,desc,para1,para1_v1,para2,overlying_type,bag_type,bag_use,obtain_id,required_level,icon_text,level,effect,last_rounds,icon,icon_harmony,postpone_time,buffSource,max_num,treasurekey_para,item_gain,obtain_id_v1,obtain_id_v2,replace_id,word_suffix,delete_data,end_time,order,special_effects,auto_use,cab_use,probability_use,jump_prop,get_source,para3,ui_route,big_icon_route,undeletable,item_source
int,int,int,int,int,string,string,string,string,string,string,int,int,int,int,int,string,int,string,int,string,int,int,int,int,string,string,int,int,int,string,int,string,int,int,int,int,int,int,string,string,string,string,int,string
200000,200000,1,,2,107027,,107028,1,1,1,0,3,1,,1,,1,null,0,null,,0,,,,,,,,,,,,,,0,,,,,,,,
200001,200001,2,,2,107029,,107030,1,1,1,0,3,1,0,1,,1,null,0,null,,0,,,,,0,0,,,,,,,,0,,,,,,,,
200002,200002,3,,2,107031,,107031,7200,7200,1,0,3,1,0,1,,1,null,0,image/item/item_200002,,0,,,,,0,0,,,,,,,,0,,,,,,,,
200003,200003,10,,5,107032,,107033,820003,820003,1,0,3,5,0,1,,1,null,0,image/item/item_200003,,0,,,,,0,0,,,,,,,,0,,,,,,,,
200004,200004,11,,2,107034,,107035,50001,50001,14400,0,3,2,0,1,,1,null,0,image/item/item_200004,,0,,,,,0,0,,,,,,,,0,,,,,,,,
200005,200005,11,,3,107036,,107035,50001,50001,28800,0,3,2,0,1,,1,null,0,image/item/item_200004,,0,,,,,0,0,,,,,,,,0,,,,,,,,
200006,200006,11,,4,107037,,107035,50001,50001,86400,0,3,2,0,1,,1,null,0,image/item/item_200004,,0,,,,,0,0,,,,,,,,0,,,,,,,,
200007,200007,38,,3,Alliance Move,,After receiving an invitation to move the base; accept it on the Alliance Chat Channel to move your base to the Alliance fortress.,1,1,1,0,3,0,0,1,,1,null,0,image/item/item_200007,,0,,,,,0,0,,,,,,,,0,,,,,,,,
300001,300000,4,,2,105025,,107038,1,1,1,0,2,5,1,1,,1,null,0,image/item/item_300000,,0,,,,,41,1215201,,,,,,,,0,,,,,,,,
301001,301000,4,,2,105028,,107039,1,1,1,0,2,5,1,1,,1,null,0,image/item/item_301000,,0,,,,,41,1215201,,,,,,,,0,,,,,,,,
302001,302000,4,,2,105030,,107040,1,1,1,0,2,5,1,1,,1,null,0,image/item/item_302000,,0,,,,,41,1215201,,,,,,,,0,,,,,,,,
303001,303000,4,,2,105034,,107041,1,1,1,0,2,5,1,1,,1,null,0,image/item/item_303000,,0,,,,,41,1215201,,,,,,,,0,,,,,,,,
310001,310000,4,,2,105036,,107042,1,1,1,0,2,5,2,1,,1,null,0,image/item/item_310000,,0,,,,,42,1215101,,,,,,,,0,,,,,,,,
311001,311000,4,,2,105037,,107043,1,1,1,0,2,5,2,1,,1,null,0,image/item/item_311000,,0,,,,,42,1215101,,,,,,,,0,,,,,,,,
312001,312000,4,,2,105039,,107044,1,1,1,0,2,5,2,1,,1,null,0,image/item/item_312000,,0,,,,,42,1215101,,,,,,,,0,,,,,,,,
313001,313000,4,,2,105041,,107045,1,1,1,0,2,5,2,1,,1,null,0,image/item/item_313000,,0,,,,,42,1215101,,,,,,,,0,,,,,,,,
320001,320000,4,,2,105040,,107046,1,1,1,0,2,5,3,1,,1,null,0,image/item/item_320000,,0,,,,,43,1215001,,,,,,,,0,,,,,,,,
321001,321000,4,,2,105042,,107047,1,1,1,0,2,5,3,1,,1,null,0,image/item/item_321000,,0,,,,,43,1215001,,,,,,,,0,,,,,,,,
322001,322000,4,,2,105043,,107048,1,1,1,0,2,5,3,1,,1,null,0,image/item/item_322000,,0,,,,,43,1215001,,,,,,,,0,,,,,,,,
323001,323000,4,,4,107049,,107050,1,1,1,0,2,5,3,1,,1,null,0,image/item/item_323000,,0,,,,,43,1215001,,,,,,,,0,,,,,,,,
500000,500000,5,,2,107051,,107052,300,300,1,0,3,0,0,1,107053,1,null,0,image/item/item_500000,,0,,,,,0,0,,,,,,,,0,,,,,,,,
500001,500001,5,,3,107054,,107055,3600,3600,1,0,3,0,0,1,107056,1,null,0,image/item/item_500000,,0,,,,,0,0,,,,,,,,0,,,,,,,,
500002,500002,5,,4,107057,,107058,28800,28800,1,0,3,0,0,1,107059,1,null,0,image/item/item_500000,,0,,,,,0,0,,,,,,,,0,,,,,,,,
510000,510000,12,,2,107060,,107061,300,300,1,0,3,0,0,1,107053,1,null,0,image/item/item_510000,,0,,,,,0,0,,,,,,,,1,,,,,,,,
510001,510001,12,,3,107062,,107063,3600,3600,1,0,3,0,0,1,107056,1,null,0,image/item/item_510000,,0,,,,,0,0,,,,,,,,1,,,,,,,,
510002,510002,12,,4,107064,,107065,28800,28800,1,0,3,0,0,1,107059,1,null,0,image/item/item_510000,,0,,,,,0,0,,,,,,,,1,,,,,,,,
520001,520001,28,,4,112064,,107373,0.25,0.25,0,0,3,0,0,1,,1,null,0,image/item/item_520001,,0,,,,,0,0,,,,,,,,0,,,,,,,,
520002,520002,28,,5,107374,,107375,0.5,0.5,0,0,3,0,0,1,,1,null,0,image/item/item_520001,,0,,,,,0,0,,,,,,,,0,,,,,,,,
600001,600001,6,,2,107066,,107067,10,10,1,0,3,1,0,1,10,1,null,0,image/item/item_600000,,0,,,,,0,0,,,,,,,,1,,,,,,,,
600002,600002,6,,3,107068,,107069,50,50,1,0,3,1,0,1,50,1,null,0,image/item/item_600000,,0,,,,,0,0,,,,,,,,1,,,,,,,,
700001,700001,7,,2,107070,,107071,10,10,1,0,3,1,0,1,10,1,null,0,image/item/item_700000,,0,,,,,0,0,,,,,,,,1,,,,,,,,
700002,700002,7,,3,107072,,107073,50,50,1,0,3,1,0,1,50,1,null,0,image/item/item_700000,,0,,,,,0,0,,,,,,,,1,,,,,,,,
800001,800001,8,,3,107074,,107075,0,0,0,0,3,0,0,1,,1,null,0,image/item/item_800000,,0,,,,,0,0,,,,,,,,0,,,,,,,,
800002,800002,8,,3,107076,,107077,0,0,0,0,3,0,0,1,,1,null,0,image/item/item_800002,,0,,,,,0,0,,,,,,,,0,,,,,,,,
800003,800003,8,,3,Microphone,,To the most handsome,0,0,0,0,3,0,0,1,,1,null,0,image/item/item_800003,,0,,,,,0,0,,,,,,,,0,,,,,,,,
