id,name,desc,build_type,build_level,height,width,prefab,building_image,ligeance_height,ligeance_width,force_capacity,coordinate,effect,value,effect_icon,enemy,first_reward,honor,first_condition,open_cycle,defense_cycle,build_prefab,offset,build_resource,build_time,army_speed,durable,jurisdiction,build_count,unlock_arena,base_area,little_map,thumbnail_image,thumbnail_pos,door_area,map_zoom_icon,season_id
int,string,string,int,int,int,int,string,string,int,int,int,string,string,string,string,int,int,string,string,int,int,string,string,int,int,int,int,string,int,string,int,int,string,string,int,string,int
6001901,Power Station,The basic structure of the territory expansion. It must be connected to the territory to take effect. It needs to be built with amethyst. Amethyst can be obtained by gathering in the Alliance territory or special resource area,1,,1,1,throne_1002,xiaowangchengbao,7,7,1200,,,,,,,,,,,,,500,2400,7,2400,5;4;6;7;8;9,0,,,0,,,,,0
6001902,Alliance Fortress,You need to build an Alliance fortress before having territory. When there is only one Alliance fortress; the fortress cannot be demolished actively. Amethyst is required for construction. Amethyst can be obtained by gathering in the Alliance territory or special resource area,2,,2,2,,fortress,10,10,1200,,,,,,,,,,,,,10000,18000,7,40000,5;4;6;7;8;9,3,,,0,,,,,0
6001101,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,55;275,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,96;-226,,,0
6001102,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,89;424,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,126;-268,,,0
6001103,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,89;633,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,135;-393,,,0
6001104,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,57;709,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,91;-443,,,0
6001105,Expedition Base,Conquer the Expedition Base in the Perimeter of the Eternal Land stage; you can start to rebuild the Expedition Base. Achieve the reconstruction goal may change the territory color and get rewards,4,1,2,2,,military_base,10,10,1200,71;505,,,,70102,7300131,200|200,172800,43200,43200,,,,,,,,,,1,1,military_base,110;-325,,,0
6001106,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,left_level,10,10,1200,129;441,,,,70102,7300138,,259200,,,,,,,,,,,14|1,,0,door_shu,216;-261,1,image/world_simple/world_simple_kvk_level_vertical,0
6001107,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,left_level,10,10,1200,129;535,,,,70102,7300139,,259200,,,,,,,,,,,14|1,,0,door_shu,207;-328,1,image/world_simple/world_simple_kvk_level_vertical,0
6001108,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,left_level,10,10,1200,128;610,,,,70102,7300140,,259200,,,,,,,,,,,14|1,,0,door_shu,194;-389,1,image/world_simple/world_simple_kvk_level_vertical,0
6001109,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,left_level,10,10,1200,128;708,,,,70102,7300141,,259200,,,,,,,,,,,14|1,,0,door_shu,190;-450,1,image/world_simple/world_simple_kvk_level_vertical,0
6001201,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,123;73,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,183;-88,,,0
6001202,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,176;168,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,261;-109,,,0
6001203,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,300;188,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,427;-110,,,0
6001204,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,338;80,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,474;-71,,,0
6001205,Expedition Base,Conquer the Expedition Base in the Perimeter of the Eternal Land stage; you can start to rebuild the Expedition Base. Achieve the reconstruction goal may change the territory color and get rewards,4,1,2,2,,military_base,10,10,1200,244;144,,,,70102,7300131,200|200,172800,43200,43200,,,,,,,,,,2,1,military_base,347;-97,,,0
6001206,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,223;255,,,,70102,7300138,,259200,,,,,,,,,,,11|2,,0,door_heng,276;-160,2,image/world_simple/world_simple_kvk_level,0
6001207,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,265;257,,,,70102,7300139,,259200,,,,,,,,,,,11|2,,0,door_heng,359;-169,2,image/world_simple/world_simple_kvk_level,0
6001208,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,319;257,,,,70102,7300140,,259200,,,,,,,,,,,11|2,,0,door_heng,441;-156,2,image/world_simple/world_simple_kvk_level,0
6001209,Lv.1 Gate,The gate connects two areas; only by conquering the gate can you interact between two areas.,9,1,2,2,,positive_level,10,10,1200,349;255,,,,70102,7300141,,259200,,,,,,,,,,,11|2,,0,door_heng,518;-135,2,image/world_simple/world_simple_kvk_level,0
6001301,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,452;86,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,638;-73,,,0
6001302,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,476;178,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,703;-102,,,0
6001303,Expedition Outpost,The Outpost outside the Eternal Land. Conquer the outpost to increase Alliance and Warzone honor faster. The outposts are guarded by the Dark Legion. You may earn rewards by defeating the guards for the first time.,3,1,2,2,,T_hongbaolei,10,10,1200,604;178,960002,500,effect_icon003,70102,7300131,50|50,86400,43200,43200,,,,,,,,,,,0,T_hongbaolei,858;-121,,,0
