id,name,value
int,string,string
910029,eight_countries_teaser,54|73|64|78|66|82|74|93
910020,prepare_monster_01,3501|200
910021,prepare_monster_02,3502|105
910019,prepare_stage_time,1440|1440|1440
910036,kvk_country_main_ui_level,30
910011,preparation_rewards,8300011
910012,seven_weights,1|20;2|20;3|20;4|20;5|20;6|20;7|20
910013,preparation_score,200
910014,preparatio_weights,10000
910028,kvk_country_rank,1003001|1500;1003001|1200;1003001|1000;960002|800;960002|600;960002|500;960002|400;960002|300
910030,prepare_monster_reward,8301001
910034,kvk_country_rank_image,rankBuff_01|rankBuff_01|rankBuff_01|rankBuff_02|rankBuff_02|rankBuff_02|rankBuff_02|rankBuff_02
910001,base_reconstruction_1,5|50000|200|7300501;7|50000|200|7300501
910002,base_reconstruction_2,10|2000|7300502;10|2000|7300502
910003,base_reconstruction_3,3|40|7300505;4|200|7300504;5|1000|7300503
910004,base_point_1,500000
910005,base_point_2,300000
910006,base_point_3,200000
910007,base_reward_buff1,1101042|500;930000|500;980204|500
910008,base_reward_buff2,1101018|1000;960002|1000
910009,kvk_building_burning,4
910010,kvk_building_repair,3
910015,rebuild_reward_display,army_attack|army_hp|career_command_004;career_strengthen_003|career_battlemaster_004;career_battlemaster_001
910016,kvk_fire_consumption,200|200
910017,kvk_resource_output,5
910018,kvk_resource_conversion,300
910027,kvk_initial_resource,8000
910031,eight_countries_montser_star,1;5
910032,eight_countries_montser_star_level,1;1;1|2;2;2|3;3;3|4;4;4|5;5;5
910033,eight_countries_stage_name,Perimeter of the Eternal Land;Entering the Eternal Land;Deep into the Eternal Land;Battle for the Eternal Land;Claim Rewards
910035,kvk_country_level_limit,45
910038,kvk_building_repair_cd,5
910037,eveArmyLevelPass,0
910039,kvk_alliance_building_inactivated_cd,600
910040,kvk_alliance_level_need,3
910041,kvk_alliance_building_fortress_cost,0;3;1000
910042,kvk_alliance_building_powerstation_cost,0;20;500|21;50;1000|51;100;1500|100;99999;2000
910045,kvk_prepare_stage3_score,100000
910046,kvk_monster_score_alliance,0
910047,kvk_gather_score_alliance,0
910048,kvk_collection_score_alliance,0
90005,alliance_officer_kvk_build_permission,4;5;6;7;8;9
930411,kvk_ark_seat_to_seat,60
930412,kvk_ark_help_info,3501;3503;3509;3516;3521
930413,kvk_kill_level_diff_para,1|0.9|0.8|0.7|0.6|0.5|0.4|0.3|0.2|0.1|0.05|0
930414,kvk_dead_level_diff_para,1|0.5|0.25|0.125|0.0625|0.03125
930415,kvk_delete_item,3951201
930416,kvk_battle_token_bulid_type,18|53|54
930417,kvk_battle_token_kill_server,0
910043,kvk_full_armament_rank_mail,19043
910044,kvk_full_armament_rank_reward,1;1;8300201|2;2;8300202|3;3;8300203|4;10;8300204|11;20;8300205|21;50;8300206|51;100;8300207|101;500;8300208|501;1000;8300209
931001,kvk_home_Preview,8300014
130131,kvk_war_fever_cd,300
130132,kvk_war_fever_status,71103
130133,kvk_tec_speedup_price,0.5
130134,kvk_tec_res_gift,550021
130135,kvk_tec_res_item,550021|550022|550023
130136,kvk_tec_helpinfo,2901
