id,name,desc,image,reward,season_reward,buff,line,begin_time,last_time,building_desc,season_id
int,string,string,string,int,string,string,int,int,int,string,int
1,Pre-Expedition,The Prep Stage includes the Land Unknown; the Sentries; and the Ultimate Arms Race. The final ranking is decided by the total points of the three stages.,icon_ECProgressShowPanel1,0,2800001,1003001;1500,2,0,259200,,0
2,The Land Unknown,Kill the Dark Legion to get Intelligence Boxes; use these boxes to get Intelligence Shards; collect and get Intelligence to earn points and the following rewards,icon_ECProgressShowPanel2,0,2800002,,2,0,86400,,0
3,The Sentries,Donate units to earn points. Complete the task to get the following rewards,icon_ECProgressShowPanel3,0,2800003,,2,86400,86400,,0
4,Ultimate Arms Race,Kill Warhammer-4K to earn points. Complete the task to get the following rewards,icon_ECProgressShowPanel4,0,2800004,,1,172800,86400,,0
5,Eternal Land,Begin the journey to the Eternal Land. Only the best of the Warzones; Alliances and Commanders will be the real winners.,icon_ECProgressShowPanel5,0,2800005,,2,259200,1296000,,0
6,Perimeter of the Eternal Land,The start point of all commanders. This area can be expanded by building alliance fortresses and power stations,icon_ECProgressShowPanel1,0,2800006,,2,259200,259200,,0
7,Battle Instructions,In Eternal Land; the battle rules for Ark; Alliance and Neutral buildings have been updated. For details; click the "!" button on the left.,icon_ECProgressShowPanel16,,,,2,259200,,1. For battles in Alliance and Neutral Buildings; the defending party will now battle with a random troop garrisoned in the Buildings (previously; the troop with the highest CP would be sent to the battle).\n2. During continuous battles that take place in Alliance and Neutral buildings; as well as the Ark; the HP of damaged troops will not be restored in the next battle; but will be restored when they return to the base.,0
8,Expedition Outpost,Taking over the buildings will gain you Alliance points and Warzone points. You'll also get item rewards for the first time you take over the buildings. Hold it for attribute bonuses.,icon_ECProgressShowPanel6,0,2800007,960002;500,3,345600,0,The temporary camp built by the Dark Legion. It illuminates the dark side of history; and now; you are looking at it.,0
9,Expedition Base,After taking over the Base; commanders may start the "Rebuild the Expedition Base" mission. The first Alliance that takes over the Expedition Base will get the following rewards,icon_ECProgressShowPanel7,0,2800008,,3,432000,0,The aborigines of the Eternal Land built a magnificent fortress here. It was a glorious era belonging to their civilization. But with the invasion of the Dark Legion and the defeat of the Aboriginal people; they have also gradually become desolate under the erosion of time,0
10,Rebuild the Expedition Base,The Rebuild the Expedition Base contains three stages; and after the reconstruction; commanders may gain following attributes,icon_ECProgressShowPanel8,0,2800009,1101042;500|930000;500|980204;500|1101018;1000|960002;1000,3,432000,0,,0
