id,order,item_id,price_type,price_shop,buy_limit,is_open,cost_reason,switch,need_player_level,shop_type,item_num,season_id
int,int,int,int,int,int,int,string,string,int,int,int,int
1,1,39605006,24,16,1,1,shopBuyItem_kvk,,1,1,1,0
2,2,3952101,24,17,2,1,shopBuyItem_kvk,,1,1,1,0
3,3,39605009,24,20,1,1,shopBuyItem_kvk,,1,1,1,0
4,4,39200523,24,50,1,1,shopBuyItem_kvk,,1,1,1,0
5,5,39200524,24,20,1,1,shopBuyItem_kvk,,1,1,1,0
6,6,39200288,24,120,1,1,shopBuyItem_kvk,,1,1,1,0
7,7,39200289,24,20,1,1,shopBuyItem_kvk,,1,1,1,0
8,8,2200073,24,2,10,1,shopBuyItem_kvk,,1,1,1,0
9,9,2200062,24,2,10,1,shopBuyItem_kvk,,1,1,1,0
10,10,39022270,24,20,1,1,shopBuyItem_kvk,,1,1,1,0
11,11,1701209,25,5000,1,1,shopBuyItem_kvk,,1,1,1,0
12,12,1700042,25,60000,1,1,shopBuyItem_kvk,,1,1,1,0
13,13,600002,25,500,30,1,shopBuyItem_kvk,,1,1,1,0
14,14,940001,25,800,30,1,shopBuyItem_kvk,,1,1,1,0
15,15,5200001,25,320,100,1,shopBuyItem_kvk,,1,1,1,0
16,16,2300003,25,1400,30,1,shopBuyItem_kvk,,1,1,1,0
17,17,20213231,25,80,200,1,shopBuyItem_kvk,,1,1,1,0
18,18,2540002,25,250,50,1,shopBuyItem_kvk,,1,1,1,0
19,19,1700013,25,150,50,1,shopBuyItem_kvk,,1,1,1,0
20,20,1700032,25,150,50,1,shopBuyItem_kvk,,1,1,1,0
21,21,550002,25,100,80,1,shopBuyItem_kvk,,1,1,1,0
22,22,1600029,25,650,20,1,shopBuyItem_kvk,,1,1,1,0
23,23,1700501,25,3200,2,1,shopBuyItem_kvk,,1,1,1,0
101,1,3951201,27,1000,200,1,shopBuyItem_kvk,,1,2,10,0
102,2,550021,27,250,100,1,shopBuyItem_kvk,,1,2,1,0
103,3,550012,27,300,100,1,shopBuyItem_kvk,,1,2,1,0
104,4,920003,27,50,1000,1,shopBuyItem_kvk,,1,2,1,0
105,5,910003,27,50,1000,1,shopBuyItem_kvk,,1,2,1,0
106,6,940002,27,200,100,1,shopBuyItem_kvk,,80,2,1,0
107,7,323001,27,100,500,1,shopBuyItem_kvk,,1,2,100,0
108,8,1800001,27,100,800,1,shopBuyItem_kvk,,1,2,200,0
109,9,1700013,27,450,30,1,shopBuyItem_kvk,,1,2,1,0
110,10,1700032,27,450,30,1,shopBuyItem_kvk,,1,2,1,0
111,11,3300001,27,150,500,1,shopBuyItem_kvk,,1,2,5,0
