id,name,detail,icon,group,position,relation,talent_lv,max_lv,research_need,time_research,para1,para2,unlock,reward,color,priority,quality,switch,original_server_effective
int,string,string,string,int,string,string,int,int,string,int,string,string,int,int,string,int,int,string,int
10101,Full-steam Ahead,Eternal Land - March Speed increase,image/professionTalent/kvk_tec_003,10100,1;3,0,0,5,26;60,720,910300,0,45,5008501,,,4,,0
10102,Full-steam Ahead,Eternal Land - March Speed increase,image/professionTalent/kvk_tec_003,10100,1;3,10101,1,5,26;120,2160,910300,200,45,5008502,,,4,,0
10103,Full-steam Ahead,Eternal Land - March Speed increase,image/professionTalent/kvk_tec_003,10100,1;3,10102,2,5,26;240,8640,910300,400,45,5008503,,,4,,0
10104,Full-steam Ahead,Eternal Land - March Speed increase,image/professionTalent/kvk_tec_003,10100,1;3,10103,3,5,26;480,17280,910300,600,45,5008504,,,4,,0
10105,Full-steam Ahead,Eternal Land - March Speed increase,image/professionTalent/kvk_tec_003,10100,1;3,10104,4,5,26;960,43200,910300,800,45,5008505,,,4,,0
10106,Full-steam Ahead,Eternal Land - March Speed increase,image/professionTalent/kvk_tec_003,10100,1;3,10105,5,5,,,910300,1000,45,,,,4,,0
10201,Focus Energy,Eternal Land - Army DMG increase,image/professionTalent/army_attack,10200,2;1,10104,0,5,26;120,4320,930101,0,45,5008506,,,1,,0
10202,Focus Energy,Eternal Land - Army DMG increase,image/professionTalent/army_attack,10200,2;1,10201,1,5,26;240,8640,930101,400,45,5008507,,,1,,0
10203,Focus Energy,Eternal Land - Army DMG increase,image/professionTalent/army_attack,10200,2;1,10202,2,5,26;420,17280,930101,800,45,5008508,,,1,,0
10204,Focus Energy,Eternal Land - Army DMG increase,image/professionTalent/army_attack,10200,2;1,10203,3,5,26;960,43200,930101,1200,45,5008509,,,1,,0
10205,Focus Energy,Eternal Land - Army DMG increase,image/professionTalent/army_attack,10200,2;1,10204,4,5,26;1800,69120,930101,1600,45,5008510,,,1,,0
10206,Focus Energy,Eternal Land - Army DMG increase,image/professionTalent/army_attack,10200,2;1,10205,5,5,,,930101,2000,45,,,,1,,0
10301,Shower Of Bullets,Eternal Land - Navy DMG increase,image/professionTalent/naval_attack,10300,2;3,10104,0,5,26;120,4320,930102,0,45,5008511,,,1,,0
10302,Shower Of Bullets,Eternal Land - Navy DMG increase,image/professionTalent/naval_attack,10300,2;3,10301,1,5,26;240,8640,930102,400,45,5008512,,,1,,0
10303,Shower Of Bullets,Eternal Land - Navy DMG increase,image/professionTalent/naval_attack,10300,2;3,10302,2,5,26;420,17280,930102,800,45,5008513,,,1,,0
10304,Shower Of Bullets,Eternal Land - Navy DMG increase,image/professionTalent/naval_attack,10300,2;3,10303,3,5,26;960,43200,930102,1200,45,5008514,,,1,,0
10305,Shower Of Bullets,Eternal Land - Navy DMG increase,image/professionTalent/naval_attack,10300,2;3,10304,4,5,26;1800,69120,930102,1600,45,5008515,,,1,,0
10306,Shower Of Bullets,Eternal Land - Navy DMG increase,image/professionTalent/naval_attack,10300,2;3,10305,5,5,,,930102,2000,45,,,,1,,0
10401,Sky Attack,Eternal Land - Air Force DMG increase,image/professionTalent/air_attack,10400,2;5,10104,0,5,26;120,4320,930103,0,45,5008516,,,1,,0
10402,Sky Attack,Eternal Land - Air Force DMG increase,image/professionTalent/air_attack,10400,2;5,10401,1,5,26;240,8640,930103,400,45,5008517,,,1,,0
10403,Sky Attack,Eternal Land - Air Force DMG increase,image/professionTalent/air_attack,10400,2;5,10402,2,5,26;420,17280,930103,800,45,5008518,,,1,,0
10404,Sky Attack,Eternal Land - Air Force DMG increase,image/professionTalent/air_attack,10400,2;5,10403,3,5,26;960,43200,930103,1200,45,5008519,,,1,,0
10405,Sky Attack,Eternal Land - Air Force DMG increase,image/professionTalent/air_attack,10400,2;5,10404,4,5,26;1800,69120,930103,1600,45,5008520,,,1,,0
10406,Sky Attack,Eternal Land - Air Force DMG increase,image/professionTalent/air_attack,10400,2;5,10405,5,5,,,930103,2000,45,,,,1,,0
10501,Bullets Sweep,Eternal Land - Wonder Stone drop increases by killing Dark Forces,image/professionTalent/career_strengthen_004,10500,3;3,10204|10304|10404,0,5,26;600,17280,900301,0,45,5008521,,,4,,0
10502,Bullets Sweep,Eternal Land - Wonder Stone drop increases by killing Dark Forces,image/professionTalent/career_strengthen_004,10500,3;3,10501,1,5,26;960,34560,900301,600,45,5008522,,,4,,0
