id,order,item_id,need_military_rank,price_shop,buy_limit,is_open,cost_reson,switch,need_player_level
int,int,int,int,int,int,int,string,string,int
90301,1,920002,1,20,50,1,,,1
90302,2,910002,1,20,50,1,,,1
90303,3,1700011,1,50,3,1,,,1
90304,4,1700030,1,50,3,1,,,1
90305,5,1600025,2,200,1,1,,,1
90306,6,1600026,2,200,1,1,,,1
90307,7,1700012,2,140,2,1,,,1
90308,8,1700031,2,140,2,1,,,1
90321,11,2200042,3,400,5,1,,,1
90309,9,1600025,3,200,1,1,,,1
90310,10,1600026,3,200,1,1,,,1
90311,12,1700013,4,420,1,1,,,1
90312,13,1700032,4,420,1,1,,,1
90313,14,1600025,5,200,1,1,,,1
90314,15,1600026,5,200,1,1,,,1
90315,16,2100005,6,5000,1,1,,,1
90316,17,920003,7,1500,10,1,,,1
90317,18,910003,7,1500,10,1,,,1
90318,19,1600029,8,200,2,1,,,1
90319,20,2560002,9,12000,1,1,,,1
90320,21,1600028,9,500,2,1,,trap_potion_switch,1
90322,23,940001,9,500,1,1,,glorious_army,80
90330,8,2800000,2,200,2,1,,formation_system,50
90323,22,1700098,8,200,1,1,,enhance_mastery,70
