id,day,reward,extra_reward,group,server
int,int,int,int,int,string
1,1,929101,929108,1,1-1717;1721-1822;1826-1921;1926-1934;4026
2,2,929102,929109,1,1-1717;1721-1822;1826-1921;1926-1934;4026
3,3,929103,929110,1,1-1717;1721-1822;1826-1921;1926-1934;4026
4,4,929104,929111,1,1-1717;1721-1822;1826-1921;1926-1934;4026
5,5,929105,929112,1,1-1717;1721-1822;1826-1921;1926-1934;4026
6,6,929106,929113,1,1-1717;1721-1822;1826-1921;1926-1934;4026
7,7,929107,929114,1,1-1717;1721-1822;1826-1921;1926-1934;4026
8,1,929101,929108,2,1718-1720;1823-1825;1922-1925;1935-1946
9,2,929102,929109,2,1718-1720;1823-1825;1922-1925;1935-1946
10,3,929103,929115,2,1718-1720;1823-1825;1922-1925;1935-1946
11,4,929104,929111,2,1718-1720;1823-1825;1922-1925;1935-1946
12,5,929105,929116,2,1718-1720;1823-1825;1922-1925;1935-1946
13,6,929106,929113,2,1718-1720;1823-1825;1922-1925;1935-1946
14,7,929107,929117,2,1718-1720;1823-1825;1922-1925;1935-1946
15,1,929101,929108,3,1947-3000;4036
16,2,929102,929109,3,1947-3000;4036
17,3,929103,929115,3,1947-3000;4036
18,4,929104,929111,3,1947-3000;4036
19,5,929105,929116,3,1947-3000;4036
20,6,929106,929113,3,1947-3000;4036
21,7,929107,929118,3,1947-3000;4036
