id,res,order,pos,scene,condTypes,condValues,close
string,string,int,int,int,string,string,int
1,IconFirstPageGift,3,1,1,2,1;2;3;4;5;6;7;8;9;10,
2,IconGM,1,1,1,4,1,
3,IconMod,2,1,1,4,2,
4,IconNMonthly,4,1,1,5,-1,
5,IconLimitedTimeGift,5,1,1,3,16,
6,IconActivityRegular,1,2,3,1,0,
7,IconNWeekly,6,1,1,6,-1,1
8,IconForeverCard,6,1,1,7,-1,1
9,IconActivityFestival,2,2,3,1,1,
10,IconActivity,1,2,3,1,2,
27,IconActivity,5,2,3,1,4;6;8,
28,IconMainGift,3,2,1,25,-1,
11,IconUpCharge,3,2,1,9,72,
12,IconGotoApp,4,1,1,10,-1,
13,IconRateMe,5,1,1,11,-1,
14,IconProfession,6,1,1,12,-1,
15,IconExternalActivity,7,1,1,13,1;2;3;4;5;6,
16,IconHeroGift,4,1,1,8,-1,
17,IconExternalExchange,5,1,1,14,-1,
18,IconTrigerGift,6,1,1,15,60;64,
19,IconEightCountry,3,2,3,16,-1,
20,IconFriendInvite,8,2,1,17,-1,
21,IconCrossServer,9,2,1,18,70021,1
22,IconPreferential,9,2,1,19,-1,1
23,IconExtraArmyReward,10,2,1,20,ExtraArmyRewardTime;ShareRewardBox,1
24,IconBoss,11,2,2,21,-1,
25,IconHeroLimitedTimeGift,5,1,1,23,56,
26,IconFirstCharge,12,1,1,24,-1,
