id,type,limit_level,supplement,name,desc,resources,time,needItem,probability,gift_type,gift_para,order,results,reward,show
int,int,int,string,string,string,string,int,string,int,int,int,int,int,int,int
1,2,10,1|10,106731,107096,1|500,0,3500009|200,50,1,10000,1,1700011,9016057,1
2,2,10,1|10,106731,107096,1|500,0,3500010|100,50,1,10000,2,1700011,9016058,0
3,2,10,1|10,107115,107116,1|500,0,3500005|1;3500006|1;3500007|1;3500008|1,50,1,10000,3,400103,9016059,1
4,2,10,1|10,107117,107118,1|500,0,3500005|1;3500006|1;3500007|1;3500008|1,50,1,10000,4,400203,9016060,1
5,2,10,1|10,107119,107120,1|500,0,3500005|1;3500006|1;3500007|1;3500008|1,50,1,10000,5,400303,9016061,1
6,2,10,1|10,107121,107122,1|500,0,3500005|1;3500006|1;3500007|1;3500008|1,50,1,10000,6,400403,9016062,1
7,2,10,1|10,107123,107124,1|500,0,3500005|1;3500006|1;3500007|1;3500008|1,50,1,10000,7,400503,9016063,1
8,2,10,1|10,DMG Increase,Causes an extra {0}% DMG.,1|500,0,3500005|1;3500006|1;3500007|1;3500008|1,50,1,10000,8,403503,9016064,1
9,2,10,1|10,Decreased DMG Taken,Reduces DMG by {0}%.,1|500,0,3500005|1;3500006|1;3500007|1;3500008|1,50,1,10000,9,403603,9016065,1
10,2,10,1|10,Crit. DMG,Causes an extra {0}% DMG from Crits.,1|500,0,3500005|1;3500006|1;3500007|1;3500008|1,50,1,10000,10,403703,9016066,1
11,2,10,1|10,INV,Reduces DMG from Crits. by {0}%.,1|500,0,3500005|1;3500006|1;3500007|1;3500008|1,50,1,10000,11,403803,9016067,1
12,2,10,1|10,Hit,Increases the Hit Rate by {0}%.,1|500,0,3500005|1;3500006|1;3500007|1;3500008|1,50,1,10000,12,403903,9016068,1
