id,pos_x,pos_y,type,width,height,dispersed_points
int,int,int,int,int,int,string
1,20,16,1,4,4,
2,16,20,1,4,4,
3,24,12,1,4,4,
4,28,8,1,4,4,
5,32,4,1,0,0,30;6|31;7|32;8|29;7|30;8|31;9|32;10
6,12,24,1,4,4,
7,8,28,1,4,4,
8,4,32,1,0,0,7;35
9,28,16,1,4,4,
10,32,12,1,4,4,
11,36,8,1,0,0,37;9|38;10|39;11|36;10|37;11|38;12|35;11|36;12|37;13|33;11|34;12|35;13|36;14
12,16,28,1,4,4,
13,12,32,1,0,0,12;32|13;33|14;34|15;35|11;33|12;34|13;35|14;36|10;34|11;35|12;36|13;37|9;35|10;36|11;37
14,8,36,1,0,0,8;36|9;37|10;38
15,4,40,1,0,0,1;43|2;44|3;45
16,36,0,1,0,0,38;4|37;5|36;6
17,40,4,1,0,0,41;5|42;6|43;7|39;5|40;6|41;7|42;8|38;6|39;7|40;8|41;9|37;7|38;8|39;9|40;10
18,44,0,1,0,0,43;5|44;6
19,48,4,1,0,0,45;7|46;8
20,44,8,1,0,0,44;8|45;9|43;9|44;10|45;11|46;12|42;10|43;11|44;12|45;13|41;11|42;12|43;13|44;14
21,40,12,1,4,4,
22,36,16,1,4,4,
23,32,20,1,4,4,
24,28,24,1,0,0,28;24|29;25|30;26|27;25|28;26|29;27|26;26|27;27|28;28|25;27|26;28|27;29|28;30
25,24,28,1,4,4,
26,20,32,1,0,0,20;32|21;33|22;34|19;33|20;34|21;35|18;34|19;35|20;36|17;35|18;36|19;37
27,12,40,1,0,0,12;44|13;45|11;45|12;46
28,8,44,1,0,0,10;46|11;47|8;50
29,4,48,1,0,0,5;49|6;50|7;51|3;49|4;50|5;51|6;52|2;50|3;51|4;52|5;53|1;51|2;52|3;53|4;54
30,44,16,1,4,4,
31,40,20,1,4,4,
32,36,24,1,0,0,36;24|37;25|38;26|39;27|35;25|36;26|37;27|38;28|34;26|35;27|36;28|33;27
33,32,28,1,0,0,29;31
34,28,32,1,0,0,28;32|27;33|26;34
35,16,44,1,0,0,14;46|13;47
36,12,48,1,0,0,9;51|10;52|11;53|12;54
37,52,16,1,4,4,
38,48,20,1,4,4,
39,44,24,1,4,4,
40,40,28,1,0,0,40;28|41;29|42;30|43;31|39;29|40;30|41;31|42;32|41;33|40;34
41,52,24,1,0,0,52;24|53;25|51;25|52;26|53;27|54;28|50;26|51;27|52;28|53;29|49;27|50;28|51;29|52;30
42,48,28,1,4,4,
43,44,32,1,4,4,
44,40,36,1,0,0,40;36|41;37|42;38|43;39|39;37|40;38|41;39|42;40|40;40|41;41|40;42
45,36,40,1,0,0,39;43
46,52,32,1,4,4,
47,48,36,1,4,4,
48,44,40,1,0,0,44;40|45;41|46;42|47;43|43;41|44;42|45;43|46;44|42;42|43;43|44;44|45;45|41;43|42;44|43;45
49,40,44,1,0,0,40;44|42;56|41;55|40;56
50,52,40,1,0,0,52;40|51;41|52;42|50;42|51;43|52;44|49;43|50;44|51;45
51,48,44,1,0,0,48;44|49;45|50;46|47;45|48;46|49;47|46;46|47;47|48;48
52,24,20,1,4,4,
53,20,24,1,4,4,
54,24,4,1,4,4,
55,20,8,1,4,4,
56,16,12,1,4,4,
57,12,16,1,4,4,
58,8,20,1,4,4,
59,4,16,1,4,4,
60,8,12,1,0,0,8;12|9;13|10;14|11;15|8;14|9;15|10;16|7;15|8;16|9;17|5;15|6;16|7;17|8;18
61,12,8,1,4,4,
62,16,4,1,0,0,18;6|19;7|17;7|18;8|14;6|15;7|16;8|17;9|13;7|14;8|15;9|16;10
63,20,0,1,0,0,21;1|22;2|23;3|20;2|21;3|22;4|19;3|20;4|21;5|19;5|20;6
64,12,0,1,0,0,13;5|10;4|11;5|12;6
65,8,4,1,0,0,9;5|10;6|11;7|8;6|9;7|10;8|7;7|8;8|9;9|6;8|7;9|8;10
66,4,8,1,0,0,5;9|6;10|7;11
67,8,52,1,4,4,
68,4,56,1,4,4,
69,16,52,1,0,0,15;55|13;55|14;56|15;57
70,12,56,1,0,0,12;56|13;57|11;57|12;58|10;58|11;59|9;59|10;60|11;61
71,8,60,1,0,0,8;60|9;61|10;62|7;61|8;62|9;63|10;64|6;62|7;63|8;64|9;65|5;63|6;64|7;65|8;66
72,4,64,1,4,4,
73,12,64,1,0,0,14;66|15;67|11;65|12;66|13;67|14;68|10;66|11;67|12;68|13;69|9;67|10;68|11;69|12;70
74,8,68,1,4,4,
75,4,72,1,0,0,4;72|5;73|6;74|7;75|3;73|4;74|5;75|6;76|4;76|5;77|4;78
76,32,52,1,0,0,35;55|34;56|32;56|33;57|31;57|32;58
77,20,64,1,0,0,17;67
78,16,68,1,0,0,16;68|17;69|18;70|15;69|16;70|17;71|18;72|14;70|15;71|16;72|17;73|13;71|14;72|15;73|16;74
79,12,72,1,4,4,
80,8,76,1,4,4,
