id,level_1_display,level_2_display,level_3_display,icon_type,icon,display_level,contention,color,icon_size,text_size,display_prefeb
int,int,int,int,int,string,string,int,string,double,double,string
0,1,1,1,1,,1;2;3,,,,,
1,1,0,0,,,1,,,0.8,0.8,
2,1,0,0,2,monster_group;map_zoom_icon,1,,c36945,0.5,0.8,
4,1,0,0,2,resource;map_zoom_icon,1,,,0.5,0.8,
10,1,1,1,2,throne;map_zoom_icon,1;2;3,,,1.0,0.8,
11,1,0,0,1,image/world_simple/world_simple_world_boss,1,,cfa236,0.5,0.8,
12,1,0,0,1,image/world_simple/world_simple_4K,1,,946ea7,0.5,0.8,
13,1,1,1,1,image/world_simple/world_simple_allian,1;2;3,1,,1.0,0.8,
14,1,0,0,1,image/world_simple/world_simple_throb,1,,d1d149,0.5,0.8,
15,1,1,1,2,sp_fortress;map_zoom_icon,1;2;3,,,1.0,0.8,
17,1,0,0,1,image/world_simple/world_simple_alliance_boss,1,,d1d149,0.5,0.8,
18,1,0,0,1,image/world_simple/world_simple_refugee_camp,1,,d1d149,0.5,0.8,
19,1,0,0,2,deploy;map_zoom_icon,1,,,0.5,0.8,
20,1,0,0,1,image/world_simple/world_simple_activity,1,,d1d149,0.5,0.8,
21,1,0,0,1,,1,,,1.0,0.8,
23,1,0,0,1,image/world_simple/world_simple_defense_personal,1,,c36945,0.5,0.8,
24,1,0,0,2,map_building;map_zoom_icon,1,,946ea7,0.5,0.8,
25,1,0,0,2,map_building;map_zoom_icon,1,,d1d149,0.5,0.8,
26,1,0,0,1,image/world_simple/world_simple_treasure,1,,,0.5,0.8,
27,1,0,0,1,image/world_simple/world_simple_defense_alliance,1,,c36945,0.5,0.8,
31,1,0,0,1,,1,,,0.5,0.8,
28,1,0,0,1,image/world_simple/world_simple_reward_quest,1,,c36945,0.5,0.8,
29,1,0,0,1,image/world_simple/world_simple_reward_quest,1,,,0.5,0.8,
30,1,0,0,1,image/world_simple/world_simple_reward_quest,1,,,0.5,0.8,
32,1,0,0,1,image/world_simple/world_simple_treasure,1,,c36945,0.5,0.8,
35,1,0,0,1,image/world_simple/world_simple_activity,1,,d1d149,0.5,0.8,
36,1,0,0,1,image/world_simple/world_simple_ruin_monster,1,,c36945,0.5,0.8,
37,1,0,0,1,image/world_simple/world_simple_ruin_monster,1,,c36945,0.5,0.8,
38,1,0,0,1,image/world_simple/world_simple_ruin_resource,1,,cfa236,0.5,0.8,
39,1,0,0,1,image/world_simple/world_simple_activity,1,,d1d149,0.5,0.8,
40,1,1,0,1,image/world_simple/world_simple_alliance_mine,1;2;3,,48cbae,1.0,0.8,
41,1,1,1,1,image/world_simple/world_simple_kvk_allian,1;2;3,1,,0.8,0.8,
42,1,1,1,1,image/world_simple/world_simple_kvk_power,1;2,1,,0.6,0.8,
43,1,1,1,1,image/world_simple/world_simple_kvk_fortress,1;2;3,1,,1.0,0.8,
44,1,1,1,1,image/world_simple/world_simple_kvk_outpost,1;2;3,1,,1.0,0.8,
45,1,1,1,1,image/world_simple/world_simple_kvk_militarybase,1;2;3,1,,1.0,0.8,
46,1,1,1,1,image/world_simple/world_simple_kvk_militaryfortress,1;2;3,1,,1.0,0.8,
47,1,1,1,1,image/world_simple/world_simple_kvk_research,1;2;3,1,,1.0,0.8,
48,1,1,1,2,kvk_building;map_zoom_icon,1;2;3,1,,2,0.8,
49,1,1,1,1,image/world_simple/world_simple_kvk_throne,1;2;3,1,,1.5,0.8,
62,1,1,1,1,image/world_simple/world_simple_thor_outpost,1;2;3,1,,1.0,0.8,
61,1,1,1,1,image/world_simple/world_simple_thor_portal,1;2;3,1,,1.0,0.8,
60,1,1,1,1,image/world_simple/world_simple_thor_fortress,1;2;3,1,,1.0,0.8,
63,1,1,1,1,image/world_simple/world_simple_thor_buff,1;2;3,1,,1.0,0.8,
64,1,1,1,1,image/world_simple/world_simple_thor_dorp,1;2;3,,d1d149,0.5,0.8,
65,1,1,1,1,image/world_simple/world_simple_thor_dorp,1;2;3,,d1d149,0.5,0.8,
34,1,0,0,1,image/world_simple/world_simple_activity,1,,d1d149,0.5,0.8,
71,1,0,0,1,,1,,,0.5,0.8,
73,1,0,0,1,image/world_simple/world_simple_radar_monster,1,,,0.5,0.8,
74,1,0,0,1,image/world_simple/world_simple_radar_rally,1,,,0.5,0.8,
75,1,0,0,1,image/world_simple/world_simple_radar_treasure,1,,,0.5,0.8,
76,1,0,0,1,image/world_simple/world_simple_radar_village,1,,,0.5,0.8,
77,1,0,0,1,,1,,,0.5,0.8,
78,1,0,0,1,image/world_simple/world_simple_activity,1,,d1d149,0.5,0.8,
100,1,0,0,1,,1,,,0.5,0.8,
79,1,0,0,1,image/world_simple/world_simple_activity,1,,d1d149,0.5,0.8,
82,1,0,0,1,image/world_simple/world_simple_empire_relics,1,,d1d149,0.5,0.8,
101,1,0,0,1,image/world_simple/world_simple_activity,1,,d1d149,0.5,0.8,
102,1,0,0,1,image/world_simple/world_simple_activity,1,,d1d149,0.5,0.8,
103,1,0,0,1,image/world_simple/world_simple_activity,1,,d1d149,0.5,0.8,
80,1,1,1,1,image/world_simple/world_simple_kvk_ark,1;2;3,1,,1.0,0.8,
