id,anim,prefab,sale_btn,get_pram,fragments_number,name,desc,equip_buff,own_buff,ui_cell_offset,ui_main_offset,is_show,is_temporarily,plat,exclude,plat_show,time,endtime,timeType,order,display_text,icon
int,string,string,int,int,int,string,string,string,string,string,string,int,int,string,int,int,string,string,int,int,string,string
0,ea_prefab/world/march/prefabWorldMarch,ea_prefab/__subpack/armyLineSkin/skinNomal,0,,10,Classic Marine Corps,Marine Corps,,,23;37;0.65,46;35;1.2,1,0,,,,,,2,100,,image/armyLineSkin/skinNomal
1,ea_prefab/world/march/prefabWorldMarch_car,ea_prefab/__subpack/armyLineSkin/skinCar,0,,10,Transport Vehicle,Transporter,,,-20;0;0.9,0;-28;1.4,0,0,,,,,,2,23,,image/armyLineSkin/skinCar
2,ea_prefab/world/march/prefabWorldMarch_rabbit,ea_prefab/__subpack/armyLineSkin/skinRabbit,4,40001,10,Bunny,Cute Rabbit,910300;1000,,26;48;0.75,51;35;1.4,1,0,,,,,,2,24,,image/armyLineSkin/skinRabbit
3,ea_prefab/world/march/prefabWorldMarch_icekylin,ea_prefab/__subpack/armyLineSkin/skinIcekylin,4,40007,10,Frost Kylin,march_skin_desc3,910300;1000,,-6;11;0.75,4;-19;1.5,1,0,,,,,,2,40,,image/armyLineSkin/skinIcekylin
4,ea_prefab/world/march/prefabWorldMarch_zadkiel,ea_prefab/__subpack/armyLineSkin/skinZadkiel,2,80,10,Zadkiel,march_skin_desc4,910300;1000,,-6;11;0.75,4;-19;1.5,1,0,g123,5,5,,,2,26,,image/armyLineSkin/skinZadkiel
5,ea_prefab/world/march/prefabWorldMarch_pig,ea_prefab/__subpack/armyLineSkin/skinPig,4,40013,10,Happy pig,march_skin_desc5,910300;1000,,-5;14;1,0;0;1,1,0,wx|webgame|baidugame|toutiao|appios|appandroid|googleplay|appwx|qqmini|appqq|apptianci|appfb|quickvivo|quickhuawei|quickhuaweinj|quickoppo|appiosglobal|esprit|qqwanba,4,,2019-10-17-0-0-0,2020-6-17-0-0-0,2,27,,image/armyLineSkin/skinPig
6,ea_prefab/world/march/prefabWorldMarch_midautumn,ea_prefab/__subpack/armyLineSkin/midAutumn,4,40014,10,Jade Rabbit,march_skin_desc6,910300;1000,,-6;11;0.75,4;-19;1.5,1,0,wx|baidugame|toutiao|appios|appandroid|appwx|appqq|apptianci|appquick|quickoppo|quickvivo|quickhuawei|quickhuaweinj|webgame|qqmini|qqwanba|qqgame|appiosglobal|googleplay|appfb|apphuaweiglobal|fbgame|webgameglobal|appiosviet|googleplayviet,7,7,,,2,28,,image/armyLineSkin/midAutumn
7,ea_prefab/world/march/prefabWorldMarch_cat,ea_prefab/__subpack/armyLineSkin/skinCat,4,40033,10,Marching Cat,march_skin_desc7,910300;1000,,-6;11;0.5,4;-19;1,1,0,g123,6,6,,,2,29,,image/armyLineSkin/skinCat
8,ea_prefab/world/march/prefabWorldMarch_spaceship,ea_prefab/__subpack/armyLineSkin/skinSpaceShip,4,40015,10,Imperial Warship,march_skin_desc8,910300;1000,,0;-12;0.5,20;-40;1,1,0,,,,,,2,30,,image/armyLineSkin/skinSpaceShip
9,ea_prefab/world/march/prefabWorldMarch_KONOSUBA,ea_prefab/__subpack/armyLineSkin/skinKONOSUBA,2,114,10,march_skin_name9,march_skin_desc9,910300;1000,,0;-12;0.5,20;-40;0.8,1,0,g123,,5,2019-10-17-0-0-0,2019-10-30-23-59-59,1,31,,image/armyLineSkin/skinKONOSUBA
11,ea_prefab/world/march/prefabWorldMarch_dragon,ea_prefab/__subpack/armyLineSkin/skindragon,4,40016,10,Holy Golden Dragon,Transporter1,910300;1000,,0;-12;0.5,20;-40;0.8,1,0,,,,,,2,35,,image/armyLineSkin/skindragon
10,ea_prefab/world/march/prefabWorldMarch_KASTUKAMI,ea_prefab/__subpack/armyLineSkin/skinKASTUKAMI,2,114,10,Transport Vehicle0,Transporter0,910300;1000,,0;-12;0.5,20;-40;0.8,1,0,g123,,,2019-11-18-0-0-0,2019-12-01-23-59-59,1,32,,image/armyLineSkin/skinKASTUKAMI
13,ea_prefab/world/march/prefabWorldMarch_christmas,ea_prefab/__subpack/armyLineSkin/skinChristmas,4,40018,10,Christmas Sleigh,Transporter3,910300;1000,,3;6;0.4,0;0;0.75,1,0,,,,,,2,33,,image/armyLineSkin/skinChristmas
12,ea_prefab/world/march/prefabWorldMarch_KYOJIN,ea_prefab/__subpack/armyLineSkin/skinKYOJIN,2,2009188,10,Transport Vehicle2,Transporter2,910300;1000,,0;-12;0.5,20;-40;0.8,1,0,g123,,,2020-10-29-0-0-0,2020-11-04-23-59-59,1,34,,image/armyLineSkin/skinKYOJIN
14,ea_prefab/world/march/prefabWorldMarch_icecastle,ea_prefab/__subpack/armyLineSkin/icecastle,4,40020,10,Mini Agent,Transporter4,910300;1000,,-30;15;0.45,0;0;0.75,1,0,,,,,,2,36,,image/armyLineSkin/icecastle
15,ea_prefab/world/march/prefabWorldMarch_long,ea_prefab/__subpack/armyLineSkin/long,4,40025,10,Golden Lucky Dragon,Transporter5,910300;1000,,0;0;0.5,0;0;0.75,1,0,,,,,,2,37,,image/armyLineSkin/long
