medal_sci_id,medal_sci_group,medal_sci_icon,medal_sci_lv_icon,medal_sci_name_key,medal_sci_Lv,medal_sci_max_Lv,medal_group,medal_sci_map,medal_sci_forward,medal_sci_forward_lv1,medal_sci_forward_lv1_num1,medal_sci_forward_key1,medal_sci_forward_key_num1,medal_sci_forward_key2,medal_sci_forward_key_num2,medal_sci_buff,medal_sci_num,medal_sci_key,medal_sci_key_num,medal_sci_key_num_2,medal_sci_item1,medal_sci_item_num1,medal_sci_item2,medal_sci_item_num2,medal_sci_resource,medal_sci_resource_num,medal_sci_time,medal_sci_lv_num,power
int,int,string,string,string,int,int,int,string,string,int,int,string,string,string,string,string,string,string,string,string,int,int,int,int,int,double,int,int,int
100100100,1001001,medal_sci_1_1,medal_sci_lv_icon_1,Tier-1 Highest Alert,0,5,1001,1;3,,1,,,,,,990202,0,Increase DEF of all units,0,0,9992001,0,323001,0,0,0.0,0,0,0
100100101,1001001,medal_sci_1_1,medal_sci_lv_icon_1,Tier-1 Highest Alert,1,5,1001,1;3,,1,55,Increase DEF of all units,55,,,990202,40,Increase DEF of all units,0.4,100,9992001,8,323001,12,0,0.0,120,1,100
100100102,1001001,medal_sci_1_1,medal_sci_lv_icon_2,Tier-1 Highest Alert,2,5,1001,1;3,,1,55,Increase DEF of all units,55,,,990202,80,Increase DEF of all units,0.8,200,9992001,12,323001,20,0,0.0,180,1,200
100100103,1001001,medal_sci_1_1,medal_sci_lv_icon_3,Tier-1 Highest Alert,3,5,1001,1;3,,1,55,Increase DEF of all units,55,,,990202,120,Increase DEF of all units,1.2,300,9992001,20,323001,28,0,0.0,240,1,300
100100104,1001001,medal_sci_1_1,medal_sci_lv_icon_4,Tier-1 Highest Alert,4,5,1001,1;3,,1,56,Increase DEF of all units,56,,,990202,160,Increase DEF of all units,1.6,400,9992001,30,323001,36,0,0.0,280,1,400
100100105,1001001,medal_sci_1_1,medal_sci_lv_icon_5,Tier-1 Highest Alert,5,5,1001,1;3,,1,56,Increase DEF of all units,56,,,990202,200,Increase DEF of all units,2,500,9992001,40,323001,44,0,0.0,320,1,500
100100200,1001002,medal_sci_1_2,medal_sci_lv_icon_1,Air Force Armor Improv.,0,5,1001,2;1,100100105,1,,,,,,990205,0,Increase DEF of Air Force,0,0,9992001,0,303001,0,0,0.0,0,0,0
100100201,1001002,medal_sci_1_2,medal_sci_lv_icon_1,Air Force Armor Improv.,1,5,1001,2;1,100100105,1,55,Increase DEF of Air Force,55,,,990205,60,Increase DEF of Air Force,0.6,600,9992001,45,303001,12,0,0.0,360,1,100
100100202,1001002,medal_sci_1_2,medal_sci_lv_icon_2,Air Force Armor Improv.,2,5,1001,2;1,100100105,1,55,Increase DEF of Air Force,55,,,990205,120,Increase DEF of Air Force,1.2,700,9992001,50,303001,20,0,0.0,400,1,200
100100203,1001002,medal_sci_1_2,medal_sci_lv_icon_3,Air Force Armor Improv.,3,5,1001,2;1,100100105,1,55,Increase DEF of Air Force,55,,,990205,180,Increase DEF of Air Force,1.8,800,9992001,58,303001,28,0,0.0,450,1,300
100100204,1001002,medal_sci_1_2,medal_sci_lv_icon_4,Air Force Armor Improv.,4,5,1001,2;1,100100105,1,56,Increase DEF of Air Force,56,,,990205,240,Increase DEF of Air Force,2.4,900,9992001,68,303001,36,0,0.0,500,1,400
100100205,1001002,medal_sci_1_2,medal_sci_lv_icon_5,Air Force Armor Improv.,5,5,1001,2;1,100100105,1,56,Increase DEF of Air Force,56,,,990205,300,Increase DEF of Air Force,3,1000,9992001,77,303001,44,0,0.0,530,1,500
100100300,1001003,medal_sci_1_3,medal_sci_lv_icon_1,Army Armor Improv.,0,5,1001,2;3,100100105,1,0,,,,,990203,0,Increase DEF of Army,0,0,9992001,0,301001,0,0,0.0,0,1,0
100100301,1001003,medal_sci_1_3,medal_sci_lv_icon_1,Army Armor Improv.,1,5,1001,2;3,100100105,1,55,Increase DEF of Navy,55,,,990203,60,Increase DEF of Army,0.6,1100,9992001,45,301001,12,0,0.0,360,1,100
100100302,1001003,medal_sci_1_3,medal_sci_lv_icon_2,Army Armor Improv.,2,5,1001,2;3,100100105,1,55,Increase DEF of Navy,55,,,990203,120,Increase DEF of Army,1.2,1200,9992001,50,301001,20,0,0.0,400,1,200
100100303,1001003,medal_sci_1_3,medal_sci_lv_icon_3,Army Armor Improv.,3,5,1001,2;3,100100105,1,55,Increase DEF of Navy,55,,,990203,180,Increase DEF of Army,1.8,1300,9992001,58,301001,28,0,0.0,450,1,300
100100304,1001003,medal_sci_1_3,medal_sci_lv_icon_4,Army Armor Improv.,4,5,1001,2;3,100100105,1,56,Increase DEF of Navy,56,,,990203,240,Increase DEF of Army,2.4,1400,9992001,68,301001,36,0,0.0,500,1,400
100100305,1001003,medal_sci_1_3,medal_sci_lv_icon_5,Army Armor Improv.,5,5,1001,2;3,100100105,1,56,Increase DEF of Navy,56,,,990203,300,Increase DEF of Army,3,1500,9992001,77,301001,44,0,0.0,530,1,500
100100400,1001004,medal_sci_1_4,medal_sci_lv_icon_1,Navy Armor Improv.,0,5,1001,2;5,100100105,1,,,,,,990204,0,Increase DEF of Navy,0,0,9992001,0,302001,0,0,0.0,0,0,0
