id,needItem,rewardItem,type,platform,order
int,string,string,int,string,int
1,3500009|200,1700011|1,1,,1
2,3500010|100,1700011|1,1,,2
3,3500005|1;3500006|1;3500007|1;3500008|1,400103|1,1,,3
4,3500005|1;3500006|1;3500007|1;3500008|1,400203|1,1,,4
5,3500005|1;3500006|1;3500007|1;3500008|1,400303|1,1,,5
6,3500005|1;3500006|1;3500007|1;3500008|1,400403|1,1,,6
7,3500005|1;3500006|1;3500007|1;3500008|1,400503|1,1,,7
8,3500005|1;3500006|1;3500007|1;3500008|1,403503|1,1,,8
9,3500005|1;3500006|1;3500007|1;3500008|1,403603|1,1,,9
10,3500005|1;3500006|1;3500007|1;3500008|1,403703|1,1,,10
11,3500005|1;3500006|1;3500007|1;3500008|1,403803|1,1,,11
12,3500005|1;3500006|1;3500007|1;3500008|1,403903|1,1,,12
14,1700071|1,1700046|1,2,,30
15,1700072|1,1700046|3,2,,40
16,1700073|1,1700046|10,2,,50
17,1700074|1,1700046|10,2,,60
18,1700071|1;1700072|1;1700073|1;1700074|1,1700048|1,2,,10
19,1700090|1,3700001|1,2,,70
20,1700090|1,3700002|1,2,,80
21,1700090|1,3700004|1,2,,90
22,1700090|1,3700005|1,2,,100
23,1700090|1,3700006|1,2,,110
24,1700090|1,3700008|1,2,wx|baidugame|toutiao|appios|appandroid|googleplay|appwx|qqmini|appqq|apptianci|appfb|quickvivo|quickoppo|appiosglobal|esprit,120
25,1700090|1,3700009|1,2,wx|baidugame|toutiao|appios|appandroid|googleplay|appwx|qqmini|appqq|apptianci|appfb|quickvivo|quickoppo|appiosglobal|esprit,130
26,1700090|1,3700010|1,2,,140
27,1700090|1,3700011|1,2,,150
28,1700090|1,3700012|1,2,,160
29,1700091|1,12901002|1,2,,170
31,1700091|1,3900012|1,2,wx|baidugame|toutiao|appios|appandroid|googleplay|appwx|qqmini|appqq|apptianci|appfb|quickvivo|quickoppo|appiosglobal|esprit,190
32,1700091|1,3900018|1,2,,200
33,1700091|1,3900050|1,2,,210
34,1700091|1,3900071|1,2,,220
35,1700091|1,3900087|1,2,,230
36,1700092|1,2200033|1,2,,20
37,1700075|100,910003|1,3,,310
38,1700075|100,920003|1,3,,320
39,1700075|10,1800001|1,3,,330
40,1700092|1,2200033|1,4,,1
41,1700094|1,323001|200,4,,2
42,1700094|1,3610009|80,4,,3
43,1700094|1,3300001|50,4,,4
44,1700094|1,2540002|3,4,,5
47,14101166|100,14101161|1,5,,3
48,14101167|100,14101162|1,5,,4
50,14101169|100,14101164|1,5,,6
51,14101170|100,14101165|1,5,,7
52,14101175|100,14101174|1,5,,8
53,14101183|100,14101176|1,5,,3
54,14101184|100,14101177|1,5,,4
55,14101185|100,14101178|1,5,,5
56,14101186|100,14101179|1,5,,6
57,14101187|100,14101180|1,5,,7
58,14101188|100,14101181|1,5,,8
59,14101189|100,14101182|1,5,,8
60,14101194|100,14101190|1,5,,6
61,14101195|100,14101191|1,5,,7
62,14101196|100,14101192|1,5,,8
63,14101197|100,14101193|1,5,,8
64,14101213|100,14101206|1,5,,3
65,14101214|100,14101207|1,5,,4
66,14101215|100,14101208|1,5,,5
67,14101216|100,14101209|1,5,,6
68,14101217|100,14101210|1,5,,7
69,14101218|100,14101211|1,5,,8
70,14101219|100,14101212|1,5,,8
71,14101233|100,14101226|1,5,,7
72,14101234|100,14101227|1,5,,8
73,14101235|100,14101228|1,5,,8
74,14101236|100,14101229|1,5,,3
75,14101237|100,14101230|1,5,,4
76,14101238|100,14101231|1,5,,5
77,14101239|100,14101232|1,5,,6
78,14101252|100,14101242|1,5,,7
79,14101253|100,14101243|1,5,,8
80,14101254|100,14101244|1,5,,8
81,14101255|100,14101245|1,5,,7
82,14101256|100,14101246|1,5,,8
83,14101257|100,14101247|1,5,,8
84,14101258|100,14101248|1,5,,3
85,14101259|100,14101249|1,5,,4
86,14101260|100,14101250|1,5,,5
87,14101261|100,14101251|1,5,,6
88,14101262|100,14101001|1,5,,7
89,14101263|100,14101002|1,5,,8
90,14101264|100,14101004|1,5,,3
91,14101265|100,14101006|1,5,,4
92,14101266|100,14101007|1,5,,5
93,14101267|100,14101008|1,5,,6
94,14101268|100,14101009|1,5,,7
95,14101269|100,14101010|1,5,,8
96,14101270|100,14101012|1,5,,8
97,14101271|100,14101015|1,5,,6
98,14101272|100,14101017|1,5,,7
99,14101273|100,14101019|1,5,,8
100,14101274|100,14101031|1,5,,8
101,14101275|100,14101032|1,5,,3
102,14101276|100,14101033|1,5,,4
103,14101277|100,14101034|1,5,,5
104,14101278|100,14101035|1,5,,6
105,14101279|100,14101036|1,5,,7
106,14101280|100,14101037|1,5,,8
107,14101281|100,14101038|1,5,,8
108,14101282|100,14101039|1,5,,7
109,14101283|100,14101046|1,5,,8
110,14101284|100,14101047|1,5,,8
111,14101285|100,14101048|1,5,,3
112,14101286|100,14101056|1,5,,4
113,14101287|100,14101084|1,5,,5
114,14101288|100,14101085|1,5,,6
115,14101289|100,14101106|1,5,,7
116,14101290|100,14101107|1,5,,8
117,14101291|100,14101132|1,5,,8
118,14101297|100,14101292|1,5,,5
119,14101298|100,14101293|1,5,,6
120,14101299|100,14101294|1,5,,7
121,14101300|100,14101295|1,5,,8
122,14101301|100,14101296|1,5,,8
123,14101308|100,14101302|1,5,,8
124,14101309|100,14101303|1,5,,5
125,14101310|100,14101304|1,5,,6
126,14101311|100,14101305|1,5,,7
127,14101312|100,14101306|1,5,,8
128,14101313|100,14101307|1,5,,8
129,14101332|100,14101323|1,5,,7
130,14101333|100,14101324|1,5,,8
131,14101334|100,14101325|1,5,,8
132,14101335|100,14101326|1,5,,7
133,14101336|100,14101327|1,5,,8
134,14101337|100,14101328|1,5,,8
135,14101338|100,14101329|1,5,,3
136,14101339|100,14101330|1,5,,4
137,14101355|100,14101348|1,5,,8
138,14101356|100,14101349|1,5,,7
139,14101357|100,14101350|1,5,,8
140,14101358|100,14101351|1,5,,8
141,14101359|100,14101352|1,5,,3
142,14101360|100,14101353|1,5,,4
143,14101370|100,14101364|1,5,,8
144,14101371|100,14101365|1,5,,7
145,14101372|100,14101366|1,5,,8
146,14101373|100,14101367|1,5,,8
147,14101374|100,14101368|1,5,,3
148,14101375|100,14101369|1,5,,4
