id,area,level,boss,coin,experience,expedition_coin,packid,packidnew,pack_limitlevel,hero,hero_level,hero_star,hero_skil,hero_talent,unit,access,battle_buff,hero_skill,reward,bigreward,item_obtain,fullitem_obtain,item_obtain_new,fullitem_obtain_new,item_obtain_level,item_obtain_show,fullitem_obtain_show,monster_hp,monster_power,background_image,unit_model,hero_full,enemyattack_correction,selfattack_correction,enemyhp_correction
int,int,int,int,double,double,double,int,int,string,string,string,string,string,string,string,string,string,string,int,int,int,int,string,string,int,string,string,double,double,string,string,int,double,double,double
1,1,1,,0.0,0.0,1.0,,,,,,,,,10012|1;10012|1;10012|1,101|0|0;101|1|0,,,9092001,,9091012,9091011,9091101|9091121,9091101|9091121|9091141,1,1800001;1|323001;1|3500009;1,2300002;1|1000005;1,2.75,2.475,1|4|6;2|5;3|6|0,130089|130090|130091,60,1.0,1.0,1.0
2,1,2,,0.0,0.0,1.0,,,,,,,,,20013|1;20013|1;20013|1,201|0|0;201|1|0,,,9092001,,9091012,9091011,9091101|9091121,9091101|9091121|9091141,1,1800001;1|323001;1|3500009;1,2300002;1|1000005;1,7.5,6.75,1|4|6;2|5;3|6|0,130089|130090|130091,60,1.0,1.0,1.0
3,1,3,,0.0,0.0,1.0,,,,,,,,,10014|1;10014|1;10014|1;10014|1,101|0|0;101|1|0,,,9092002,,9091012,9091011,9091101|9091121,9091101|9091121|9091141,1,1800001;1|323001;1|3500009;1,2300002;1|1000005;1,7.5,6.75,1|4|6;2|5;3|6|0,130068|130069|130070,65,1.0,1.0,1.0
4,1,4,,0.0,0.0,1.0,,,,,,,,,20015|1;20015|1;20015|1;20015|1,201|0|0;201|1|0,,,9092002,,9091012,9091011,9091101|9091121,9091101|9091121|9091141,1,1800001;1|323001;1|3500009;1,2300002;1|1000005;1,10.5,9.450000000000001,1|4|6;2|5;3|6|0,130068|130069|130070,65,1.0,1.0,1.0
5,1,5,,0.0,0.0,1.0,,,,,,,,,30016|1;30016|1;30016|1;30016|1;30016|1,301|0|0;301|1|0,,,9092002,,9091012,9091011,9091101|9091121,9091101|9091121|9091141,1,1800001;1|323001;1|3500009;1,2300002;1|1000005;1,21.25,19.125,1|4|6;2|5;3|6|0,130068|130069|130070,65,1.0,1.0,1.0
6,1,6,,0.0,0.0,1.0,,,,101,7,1,0|0|0,,10017|1;10017|1;10017|1;10017|1;10017|1,101|0|0;101|1|0,,0|0|0,9092003,,9091012,9091011,9091101|9091121,9091101|9091121|9091141,1,1800001;1|323001;1|3500009;1,2300002;1|1000005;1,30.0,27.0,1|4|6;2|5;3|6|0,130089|130090|130091,65,1.0,1.0,1.0
7,1,7,,0.0,0.0,1.0,,,,201,9,1,0|0|0,,20018|1;20018|1;20018|1;20018|1;20018|1,201|0|0;201|1|0,,0|0|0,9092003,,9091012,9091011,9091101|9091121,9091101|9091121|9091141,1,1800001;1|323001;1|3500009;1,2300002;1|1000005;1,30.0,27.0,1|4|6;2|5;3|6|0,130096|130097|130098,65,1.0,1.0,1.0
8,1,8,,0.0,0.0,1.0,,,,301,11,1,0|0|0,,30018|1;30018|1;30018|1;30018|1;30018|1,301|0|0;301|1|0,,0|0|0,9092003,,9091012,9091011,9091101|9091121,9091101|9091121|9091141,1,1800001;1|323001;1|3500009;1,2300002;1|1000005;1,42.5,38.25,1|4|6;2|5;3|6|0,130096|130097|130098,65,1.0,1.0,1.0
9,1,9,,0.0,0.0,1.0,,,,101,13,1,0|0|0,,10018|1;10018|1;10018|1;10018|1;10018|1,101|0|0;101|1|0,,0|0|0,9092003,,9091012,9091011,9091101|9091121,9091101|9091121|9091141,1,1800001;1|323001;1|3500009;1,2300002;1|1000005;1,60.0,54.0,1|4|6;2|5;3|6|0,130089|130090|130091,65,1.0,1.0,1.0
