id,icon,group_id,model,model_down,model_up,iconSrc,iconType,scale_home,scale_battle,click_sound,die_sound,skill,die_effect,afterdie_effect,move_effect,hit_ratio,is_screen_shake,gunfire_type,worker_offset,atlas_path,image_path,scale_para,x_para,y_para,color,new_model,new_model_down,new_model_up,new_icon,new_image_path,new_fight_up,new_fight_down,model_path,name
int,string,int,string,string,string,string,int,double,double,string,string,string,string,string,string,int,int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
1011,army_bubing_lv1,1,army_bubing_lv1,army_bubing_lv1_down,army_bubing_lv1_up,,,1.0,1.0,sound/army_soldier,,1011,Effect_die,,Effect_jiaoyin;Effect_jiaoyin,36,0,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,UI/ea_icon_production,0.75,0,0,,,,,,,,,army,
1012,army_bubing_lv2,1,army_bubing_lv2,army_bubing_lv2_down,army_bubing_lv2_up,,,1.0,1.0,sound/army_soldier_2,,101,Effect_die,,Effect_jiaoyin;Effect_jiaoyin,36,0,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,UI/ea_icon_production,0.75,0,0,,,,,,,,,army,
1013,army_bubing_lv3,1,army_bubing_lv3,army_bubing_lv3_down,army_bubing_lv3_up,,,1.0,1.0,sound/army_soldier_3,,301,Effect_die,,Effect_jiaoyin;Effect_jiaoyin,36,0,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,UI/ea_icon_production,0.75,0,0,,,,,,,,,army,
1014,army_bubing_lv4,1,army_bubing_lv4,army_bubing_lv4_down,army_bubing_lv4_up,,,1.0,1.0,sound/army_soldier,,101,Effect_die,,Effect_jiaoyin;Effect_jiaoyin,60,0,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,UI/ea_icon_production,0.75,0,0,,,,,,,,,army,
1015,army_bubing_lv5,1,army_bubing_lv5,army_bubing_lv5_down,army_bubing_lv5_up,,,1.0,1.0,sound/army_soldier_2,,101,Effect_die,,Effect_jiaoyin;Effect_jiaoyin,36,0,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,UI/ea_icon_production,0.55,0,0,,,,,,,,,army,
1016,army_bubing_lv6,1,army_bubing_lv6,army_bubing_lv6_down,army_bubing_lv6_up,,,1.0,1.0,sound/army_soldier_3,,102,Effect_die,,Effect_jiaoyin;Effect_jiaoyin,36,0,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,UI/ea_icon_production,0.45,0,0,,,,,,,,,army,
1017,army_bubing_lv7,1,army_bubing_lv7,army_bubing_lv7_down,army_bubing_lv7_up,,,1.0,1.0,sound/army_soldier_2,,101,Effect_die,,Effect_jiaoyin;Effect_jiaoyin,36,0,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,UI/ea_icon_production,0.42,0,0,,,,,,,,,army,
1021,army_tanke_lv1,1,army_tanke_lv1,army_tanke_lv1_down,army_tanke_lv1_up,,,1.0,1.0,sound/army_tank,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,0.98,0,0,,,,,,,,,army,
1022,army_tanke_lv2,1,army_tanke_lv2,army_tanke_lv2_down,army_tanke_lv2_up,,,1.0,1.0,sound/army_tank_2,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,0.87,0,0,,,,,,,,,army,
1023,army_tanke_lv3,1,army_tanke_lv3,army_tanke_lv3_down,army_tanke_lv3_up,,,1.0,1.0,sound/army_tank_3,,201,Effect_tank_die,Effect_ranshao,,75,1,,136;0|68;49|0;98|-68;49|-136;0|-68;-49|0;-98|68;-49,,image/army,1,0,0,,,,,,,,,army,
