id,item_id,type,is_open,buy_type,buy_limit,price,item_count,icon_desc
int,int,int,int,int,int,int,int,string
1,3900038,1,1,1,1,5000,1,
2,3900045,1,1,1,1,5000,1,
3,2300003,1,1,1,3,1500,1,
4,2100005,1,1,1,3,2000,1,
5,2300002,1,1,1,10,300,1,
6,2100002,1,1,1,10,750,1,
7,2540002,1,1,1,10,375,1,
8,2540003,1,1,1,10,625,1,
9,500002,1,1,1,30,750,1,
10,2560001,1,1,1,-1,150,1,
11,2100001,1,1,1,-1,150,1,
12,500000,1,1,1,-1,25,1,
13,500001,1,1,1,-1,150,1,
14,2400004,1,1,1,-1,150,1,
15,2400005,1,1,1,-1,450,1,
16,300001,1,1,1,-1,15,1,
17,301001,1,1,1,-1,15,1,
18,302001,1,1,1,-1,15,1,
19,303001,1,1,1,-1,15,1,
20,310001,1,1,1,-1,15,1,
21,311001,1,1,1,-1,15,1,
22,312001,1,1,1,-1,15,1,
23,313001,1,1,1,-1,15,1,
24,320001,1,1,1,-1,15,1,
25,321001,1,1,1,-1,15,1,
26,322001,1,1,1,-1,15,1,
27,323001,1,1,1,-1,15,1,
28,2521505,2,1,2,1,3600,1,
29,1700022,2,1,2,1,5000,1,
30,1700080,2,1,2,1,5000,1,
31,2200079,2,1,1,100,120,1,
32,2611211,2,1,1,100,120,1,
33,2200081,2,1,1,100,120,1,
34,2611421,2,1,1,100,120,1,
35,1700098,2,1,1,50,70,1,
36,2300003,2,1,1,50,150,1,
37,2800000,2,1,1,300,25,1,
38,39022278,2,1,1,10,300,1,
39,2560002,2,1,1,20,350,1,
40,2100005,2,1,1,30,80,1,
41,1700015,2,1,1,100,80,1,
42,1700034,2,1,1,100,80,1,
43,1000008,2,1,1,100,30,1,
44,3300001,2,1,1,100,2,1,
45,550003,2,1,1,20,70,1,
46,2100002,2,1,1,100,30,1,
47,39200167,2,1,1,10,500,1,
48,20213231,2,1,1,500,10,1,
49,1600029,2,1,1,50,100,1,
50,1701209,2,1,1,30,2400,1,
51,1701206,2,1,1,100,300,1,
52,1701224,2,1,1,100,200,1,
53,1701211,2,1,1,100,200,1,
54,1700043,2,1,1,1000,90,1,
55,2523503,2,1,2,3,400,1,
109,2523103,2,1,2,3,400,1,
110,2521905,2,1,2,3,3600,1,
111,2522005,2,1,2,3,3600,1,
112,2522105,2,1,2,3,3600,1,
10000,1701203,3,0,2,1,1500,1,
10001,20200436,3,1,2,3,1000,1,
10002,2560002,3,1,1,1,5000,1,
10003,2300003,3,1,1,3,1500,1,
10004,5100305,3,1,2,1,1800,1,
10005,2100005,3,1,1,3,2000,1,
10006,2300002,3,1,1,10,300,1,
10007,2100002,3,1,1,10,750,1,
10008,2540002,3,1,1,10,375,1,
10009,2540003,3,1,1,10,625,1,
10010,500002,3,1,1,30,750,1,
10011,2560001,3,1,1,-1,150,1,
10012,2100001,3,1,1,-1,150,1,
10013,500000,3,1,1,-1,25,1,
10014,500001,3,1,1,-1,150,1,
10015,2400004,3,1,1,-1,150,1,
10016,2400005,3,1,1,-1,450,1,
10017,300001,3,1,1,-1,15,1,
10018,301001,3,1,1,-1,15,1,
10019,302001,3,1,1,-1,15,1,
10020,303001,3,1,1,-1,15,1,
10021,310001,3,1,1,-1,15,1,
10022,311001,3,1,1,-1,15,1,
10023,312001,3,1,1,-1,15,1,
10024,313001,3,1,1,-1,15,1,
10025,320001,3,1,1,-1,15,1,
10026,321001,3,1,1,-1,15,1,
10027,322001,3,1,1,-1,15,1,
10028,323001,3,1,1,-1,15,1,
82,3900063,4,1,1,1,5000,1,
83,3900059,4,1,1,1,5000,1,
84,2300003,4,1,1,3,1500,1,
85,2100005,4,1,1,3,2000,1,
86,2300002,4,1,1,10,300,1,
87,2100002,4,1,1,10,750,1,
88,2540002,4,1,1,10,375,1,
89,2540003,4,1,1,10,625,1,
90,500002,4,1,1,30,750,1,
91,2560001,4,1,1,-1,150,1,
92,2100001,4,1,1,-1,150,1,
93,500000,4,1,1,-1,25,1,
94,500001,4,1,1,-1,150,1,
95,2400004,4,1,1,-1,150,1,
96,2400005,4,1,1,-1,450,1,
97,300001,4,1,1,-1,15,1,
98,301001,4,1,1,-1,15,1,
99,302001,4,1,1,-1,15,1,
100,303001,4,1,1,-1,15,1,
101,310001,4,1,1,-1,15,1,
102,311001,4,1,1,-1,15,1,
103,312001,4,1,1,-1,15,1,
104,313001,4,1,1,-1,15,1,
105,320001,4,1,1,-1,15,1,
106,321001,4,1,1,-1,15,1,
107,322001,4,1,1,-1,15,1,
108,323001,4,1,1,-1,15,1,
501,2521505,5,1,2,1,3600,1,
502,1700022,5,1,2,1,5000,1,
503,1700080,5,1,2,1,5000,1,
504,2560002,5,1,2,1,200,1,
505,2200022,5,1,2,200,120,1,
506,3300001,5,1,2,150,2,1,
507,2560002,5,1,1,20,350,1,
508,2300003,5,1,1,30,150,1,
509,2100005,5,1,1,30,80,1,
510,1700015,5,1,1,150,85,1,
511,1700034,5,1,1,150,85,1,
512,1000008,5,1,1,250,30,1,
513,2300002,5,1,1,-1,30,1,
514,2100002,5,1,1,-1,30,1,
515,2540002,5,1,1,-1,20,1,
516,2540003,5,1,1,-1,35,1,
517,500002,5,1,1,-1,30,1,
518,2400005,5,1,1,-1,20,1,
519,1900003,5,1,1,-1,90,1,
520,1700029,5,1,1,-1,90,1,
521,1700043,5,1,1,-1,90,1,
522,1700050,5,1,1,-1,90,1,
523,1700024,5,1,1,-1,90,1,
524,2520305,5,1,2,1,3600,1,
525,2520405,5,1,2,1,3600,1,
526,2520505,5,1,2,1,3600,1,
527,2520005,5,1,2,1,3600,1,
528,2520104,5,1,2,1,3600,1,
529,2520205,5,1,2,1,3600,1,
530,14101083,6,1,1,1,50000,1,
531,2560002,6,1,1,1,5000,1,
532,2300003,6,1,1,3,1500,1,
533,2100005,6,1,1,3,2000,1,
534,2300002,6,1,1,10,300,1,
535,2100002,6,1,1,10,750,1,
536,2540002,6,1,1,10,375,1,
537,2540003,6,1,1,10,625,1,
538,500002,6,1,1,30,750,1,
539,2560001,6,1,1,-1,150,1,
540,2100001,6,1,1,-1,150,1,
541,500000,6,1,1,-1,25,1,
542,500001,6,1,1,-1,150,1,
543,2400004,6,1,1,-1,150,1,
544,2400005,6,1,1,-1,450,1,
545,300001,6,1,1,-1,15,1,
546,301001,6,1,1,-1,15,1,
547,302001,6,1,1,-1,15,1,
548,303001,6,1,1,-1,15,1,
549,310001,6,1,1,-1,15,1,
550,311001,6,1,1,-1,15,1,
551,312001,6,1,1,-1,15,1,
552,313001,6,1,1,-1,15,1,
553,320001,6,1,1,-1,15,1,
554,321001,6,1,1,-1,15,1,
555,322001,6,1,1,-1,15,1,
556,323001,6,1,1,-1,30,1,
401,1700194,7,1,2,1,50,1,
402,1700015,7,1,1,3,50,1,
403,550003,7,1,1,3,50,1,
404,39200167,7,1,1,10,600,1,
405,1700413,7,1,1,100,180,1,
406,5200002,7,1,1,100,60,1,
407,1600029,7,1,1,50,100,1,
408,2300003,7,1,1,50,150,1,
409,39022278,7,1,1,10,300,1,
410,39200394,7,1,2,1,2000,1,
411,1700195,7,1,2,100,120,1,
412,1700194,7,1,2,100,120,1,
413,2200071,7,1,1,100,130,1,
414,2200074,7,1,1,100,130,1,
415,2200082,7,1,1,100,130,1,
416,2611171,7,1,1,100,130,1,
417,2611191,7,1,1,100,130,1,
418,2611241,7,1,1,100,130,1,
422,2521605,7,1,2,10,4000,1,
423,2521705,7,1,2,10,4000,1,
424,2521805,7,1,2,10,4000,1,
425,1700098,7,1,2,100,70,1,
426,910006,7,1,2,300,30,1,
427,920006,7,1,2,300,30,1,
575,2200057,8,1,2,10,640,1,
576,2610101,8,1,2,30,200,1,
577,2200049,8,1,1,25,130,1,
578,2607101,8,1,1,25,150,1,
579,2200054,8,1,1,25,70,1,
580,2609101,8,1,1,25,100,1,
581,1700087,8,1,1,10,150,1,
582,2300003,8,1,1,10,150,1,
583,1700015,8,1,1,10,90,1,
584,1700413,8,1,1,20,200,1,
585,2540002,8,1,1,300,20,1,
586,3300001,8,1,1,300,2,1,
587,5200001,8,1,1,100,25,1,
588,910006,8,1,2,100,30,1,
589,920006,8,1,2,100,30,1,
590,2521605,8,1,2,3,4000,1,
591,2521705,8,1,2,3,4000,1,
592,2521805,8,1,2,3,4000,1,
593,1700022,9,1,2,1,500,1,
594,1700015,9,1,1,10,80,1,
595,1700034,9,1,1,10,80,1,
596,2200054,9,1,1,20,70,1,
597,2200027,9,1,1,20,120,1,
598,2200028,9,1,1,20,120,1,
599,2521503,9,1,1,3,400,1,
600,2520003,9,1,1,3,400,1,
601,2520102,9,1,1,3,400,1,
602,2300003,9,1,1,30,150,1,
603,2100005,9,1,1,30,90,1,
604,2100002,9,1,1,30,30,1,
605,600002,9,1,1,30,70,1,
606,1000008,9,1,2,30,30,1,
607,3300001,9,1,2,100,2,1,
608,5200001,9,1,2,100,30,1,
609,2540003,9,1,2,100,30,1,
610,2540002,9,1,2,100,20,1,
611,1700029,10,1,2,10,100,1,
612,1700015,10,1,1,10,80,1,
613,1700034,10,1,1,10,80,1,
614,2200054,10,1,1,20,70,1,
615,2200027,10,1,1,20,120,1,
616,2200028,10,1,1,20,120,1,
617,2521503,10,1,1,3,400,1,
618,2520003,10,1,1,3,400,1,
619,2520102,10,1,1,3,400,1,
620,2300003,10,1,1,30,150,1,
621,2100005,10,1,1,30,90,1,
622,2100002,10,1,1,30,30,1,
623,600002,10,1,1,30,70,1,
624,1000008,10,1,2,30,30,1,
625,3300001,10,1,2,100,2,1,
626,5200001,10,1,2,100,30,1,
627,2540003,10,1,2,100,30,1,
628,2540002,10,1,2,100,20,1,
629,1701203,171,0,2,1,1500,1,
630,20200436,171,1,2,3,1000,1,
631,2560002,171,1,1,1,5000,1,
632,2300003,171,1,1,3,1500,1,
633,5100305,171,1,2,1,1800,1,
634,2100005,171,1,1,3,2000,1,
635,2300002,171,1,1,10,300,1,
636,2100002,171,1,1,10,750,1,
637,2540002,171,1,1,10,375,1,
638,2540003,171,1,1,10,625,1,
639,500002,171,1,1,30,750,1,
640,2560001,171,1,1,-1,150,1,
641,2100001,171,1,1,-1,150,1,
642,500000,171,1,1,-1,25,1,
643,500001,171,1,1,-1,150,1,
644,2400004,171,1,1,-1,150,1,
645,2400005,171,1,1,-1,450,1,
646,300001,171,1,1,-1,15,1,
647,301001,171,1,1,-1,15,1,
648,302001,171,1,1,-1,15,1,
649,303001,171,1,1,-1,15,1,
650,310001,171,1,1,-1,15,1,
651,311001,171,1,1,-1,15,1,
652,312001,171,1,1,-1,15,1,
653,313001,171,1,1,-1,15,1,
654,320001,171,1,1,-1,15,1,
655,321001,171,1,1,-1,15,1,
656,322001,171,1,1,-1,15,1,
657,323001,171,1,1,-1,15,1,
700,10000017,11,1,1,1,100,1,DEAL
701,1700205,11,1,1,2,50,1,DEAL
702,1700029,11,1,2,10,100,1,OFFER
703,2521503,11,1,1,3,400,1,OFFER
704,2520003,11,1,1,3,400,1,
705,2520102,11,1,1,3,400,1,
706,2200054,11,1,1,20,70,1,
707,2200027,11,1,1,40,120,1,
708,2200028,11,1,1,40,120,1,
709,2609101,11,1,1,20,100,1,
710,2604901,11,1,1,20,100,1,
711,2605001,11,1,1,20,100,1,
712,2300003,11,1,1,30,150,1,
713,1700015,11,1,1,10,80,1,
714,1700034,11,1,1,10,80,1,
715,600002,11,1,1,30,70,1,
716,3300001,11,1,2,100,2,1,
717,5200001,11,1,2,100,30,1,
