id,model,icon,icon_big,picture,x_para,y_para,name,desc,cost_energy,life_time,death_time,drop_client,search_show,search_shield,super_Rally_cost,model_size,search_order,monster_type,search_level,search_group,personal_honor,reward_res_show,passenger_cost,switch,map_zoom_icon,monster_arms,empire_level_show_lv,drop_client_full,suggest_lv
int,string,string,string,string,string,string,string,string,int,int,int,string,int,int,int,int,int,int,string,int,double,string,int,string,string,int,int,string,int
1,PrefabWmEnemy1,image/icon_army/boss1,image/world_unit/boss1_big,image/world_unit/boss1_big,23,-9,105717,112213,5,10790,10,300001|301001|302001|303001,1,0,5,1,1,,,,,,,,image/world_simple/world_simple_army,,,,
2,PrefabWmEnemy2,image/icon_army/boss2,image/world_unit/boss2_big,image/world_unit/boss2_big,23,-16,105719,112214,5,10790,10,310001|311001|312001|313001,1,0,5,1,2,,,,,,,,image/world_simple/world_simple_navy,,,,
3,PrefabWmEnemySp,image/icon_army/bossSp,image/world_unit/bossSp_big,image/world_unit/boss3_big,32,-32,Empire Royal Guard,112215,5,10790,10,320001|321001|322001|323001,1,0,5,1,3,,,,,,,,image/world_simple/world_simple_air,,,,
4,PrefabWmEnemy3,image/icon_army/shijieboss,image/world_unit/boss3_big,image/world_unit/boss3_big,,,105723,105724,5,3600,10,,0,0,5,2,0,,,,,,,,,,,,
5,PrefabNewEnemy2,image/icon_army/yurenboss,image/world_unit/boss_yuren,image/icon_assemble/yuren_boss,23,-9,Warhammer-4K,The huge robot developed by the Dr. Evil. You'll find it undefeatable unless you have at least 1 partner to help you.,10,10790,10,1800001|323001|520001|520002,2,0,20,1,0,,,,30.0,,,,,,,,
6,PrefabWmBoss3,image/icon_army/yurenboss_search,image/icon_army/yurenboss_search,image/icon_army/yurenboss_search,0,-10,Heartthrob,Heartthrob is a robot from the Dark Legion. Requires at least 2 commanders to march against it.,10,10790,10,2010107|3300001,0,0,20,1,0,,,,,,,,,,,,
7,PrefabWmBoss7,image/icon_army/lianmengboss7,image/world_unit/lianmengboss,image/world_unit/lianmengboss,,,Alliance Droid,Alliance-exclusive. Kill it to get exclusive rewards!,5,3600,10,3300001,0,0,20,1,0,,,,,,,,,,,,
8,PrefabWmBoss8,image/icon_army/lianmengboss8,image/world_unit/lianmengboss,image/world_unit/lianmengboss,,,Alliance Droid,Alliance-exclusive. Kill it to get exclusive rewards!,5,3600,10,3300001,0,0,20,1,0,,,,,,,,,,,,
9,PrefabWmBoss9,image/icon_army/lianmengboss9,image/world_unit/lianmengboss,image/world_unit/lianmengboss,,,Alliance Droid,Alliance-exclusive. Kill it to get exclusive rewards!,5,5400,10,3300001,0,0,20,1,0,,,,,,,,,,,,
10,PrefabWmBoss10,image/icon_army/lianmengboss10,image/world_unit/lianmengboss,image/world_unit/lianmengboss,,,Alliance Droid,Alliance-exclusive. Kill it to get exclusive rewards!,5,5400,10,3300001,0,0,20,1,0,,,,,,,,,,,,
12,PrefabRefugeeCamp,image/icon_army/refugee_camp,image/world_unit/refugee_camp,image/world_unit/refugee_camp,,,Refugee Camp,“Those who serve the most; reap the most.”,5,1800,10,1700040|2560001,0,0,20,1,0,,,,,,,,,,,,
13,Effect_hagendasi_boss,image/icon_army/Effect_hagendasi_boss,image/world_unit/Effect_hagendasi_boss,image/world_unit/Effect_hagendasi_boss,,,monster_name013,monster_desc013,5,3600,10,3300001,0,0,20,1,0,,,,,,,,,,,,
501,PrefabNewEnemy1,image/world_unit/defender_monster_1,image/world_unit/defender_monster_1,image/world_unit/defender_monster_1,,,Evil mecha,Elite member led by Head of Darkness,5,10790,10,3300001,0,0,20,1,0,,,,,,,,,,,,
502,PerfabAllianceDefendEnemy,image/icon_army/AllianceDefendEnemy,image/icon_army/AllianceDefendEnemy,image/icon_army/AllianceDefendEnemy,,,Dr. Evil,After the weakening progress is over; the weakening will take effect on the current wave,5,10790,10,3300001,0,0,20,1,0,,,,,,,,,,,,
101,PrefabWmEnemy1,image/icon_army/boss1,image/world_unit/boss1_big,image/world_unit/boss1_big,23,-9,Common Guard - SPD,This guard is strong in Dodge. Recommend: Components or hero skills to raise the [Hit].,5,3600,10,9800001|323001|3300001|1600029,0,0,5,1,0,,,,,,,,,,,,
102,PrefabWmEnemy1,image/icon_army/boss1,image/world_unit/boss1_big,image/world_unit/boss1_big,23,-9,Common Guard - AMR,This guard is strong in Defense. Recommend: Components or hero skills to raise the [Crit. Chance].,5,3600,10,9800001|323001|3300001|1600029,0,0,5,1,0,,,,,,,,,,,,
