id,item_id,item_num,power,flash,hidden,pattern,animation,group,prob,building,special_show,item_group
int,int,int,int,string,int,string,string,int,string,int,int,int
1,1701212,1,177,B_20210714_guang_hongse,1,image/SteryBox/Item_SteryBox1,B_20210714_qingtianzhu,1,3.52%,47471,,1701212
2,1701213,1,177,B_20210714_guang_zise,1,image/SteryBox/Item_SteryBox5,B_20210714_weizhentian,1,3.52%,47486,,1701213
3,1701214,1,100,,0,image/SteryBox/Item_SteryBox2,B_20210714_dahuangfeng,1,14.70%,47501,,1701214
4,1701215,1,100,,0,image/SteryBox/Item_SteryBox6,B_20210714_hongzhizhu,1,14.70%,47516,,1701215
5,1701216,1,150,,0,image/SteryBox/Item_SteryBox3,B_20210714_luyinji,1,15.50%,47531,,1701216
6,1701217,1,200,,0,image/SteryBox/Item_SteryBox7,B_20210714_shengbo,1,16.28%,47546,,1701217
7,1701218,1,150,,0,image/SteryBox/Item_SteryBox4,B_20210714_xiniu,1,15.50%,47561,,1701218
8,1701219,1,200,,0,image/SteryBox/Item_SteryBox8,B_20210714_jiguangniao,1,16.28%,47576,,1701219
9,17012122,1,3,,1,image/SteryBox/Item_SteryBox1,B_20210714_qingtianzhu,1,1%,47471,1,1701212
10,17012132,1,3,,1,image/SteryBox/Item_SteryBox5,B_20210714_weizhentian,1,1%,47486,1,1701213
11,17012142,1,10,,1,image/SteryBox/Item_SteryBox2,B_20210714_dahuangfeng,1,1%,47501,1,1701214
12,17012152,1,10,,1,image/SteryBox/Item_SteryBox6,B_20210714_hongzhizhu,1,1%,47516,1,1701215
13,17012162,1,10,,1,image/SteryBox/Item_SteryBox3,B_20210714_luyinji,1,1%,47531,1,1701216
14,17012172,1,10,,1,image/SteryBox/Item_SteryBox7,B_20210714_shengbo,1,1%,47546,1,1701217
15,17012182,1,10,,1,image/SteryBox/Item_SteryBox4,B_20210714_xiniu,1,1%,47561,1,1701218
16,17012192,1,10,,1,image/SteryBox/Item_SteryBox8,B_20210714_jiguangniao,1,1%,47576,1,1701219
17,17012222,1,1,,1,image/SteryBox/Item_SteryBox1,B_20210714_qingtianzhu,1,1%,47471,1,1701212
18,17012232,1,1,,1,image/SteryBox/Item_SteryBox5,B_20210714_weizhentian,1,1%,47486,1,1701213
19,17012242,1,2,,1,image/SteryBox/Item_SteryBox2,B_20210714_dahuangfeng,1,1%,47501,1,1701214
20,17012252,1,2,,1,image/SteryBox/Item_SteryBox6,B_20210714_hongzhizhu,1,1%,47516,1,1701215
21,17012262,1,2,,1,image/SteryBox/Item_SteryBox3,B_20210714_luyinji,1,1%,47531,1,1701216
22,17012272,1,2,,1,image/SteryBox/Item_SteryBox7,B_20210714_shengbo,1,1%,47546,1,1701217
23,17012282,1,2,,1,image/SteryBox/Item_SteryBox4,B_20210714_xiniu,1,1%,47561,1,1701218
24,17012292,1,2,,1,image/SteryBox/Item_SteryBox8,B_20210714_jiguangniao,1,1%,47576,1,1701219
