id,chapter,type,desc,target,condition1,condition2,resource,consume,step,switch,guide,guide_para,key_para
int,int,int,string,double,string,string,string,string,int,int,int,string,string
1,1,4,Merge {0} Gold Mine(s) into Lv. {1} or above.,1.0,1700,3,1|2000,,,1,599,1703,0|1;0|3
2,1,11,Train {0} Army Unit(s),5.0,101,,1|2000,,,1,1699,101,0|5
3,1,5,Merge {0} Army into Lv. {1} or above,1.0,101,4,1|2000,,,1,699,10004,0|1;0|4
4,1,2,Build {0},4.0,1040,,1|2000,,,1,799,1040,1|106930
5,1,1,Regain Territory No. {0},2.0,,,1|2000,,,1,11,0,0|2
6,1,4,Merge {0} Barracks into Lv. {1} or above,1.0,1040,3,1|2000,,,1,599,1043,0|1;0|3
7,2,4,Merge {0} Barracks into Lv. {1} or above,1.0,1040,4,1|4000,,,1,599,1044,0|1;0|4
8,2,5,Merge {0} Army into Lv. {1} or above,1.0,101,5,1|4000,,,1,699,10005,0|1;0|5
9,2,11,Train {0} Army Unit(s),5.0,101,,1|4000,,,1,1699,101,0|5
10,2,1,Regain Territory No. {0},3.0,,,1|4000,,,1,11,0,0|3
11,2,26,Upgrade to level {0},4.0,,,1|4000,,,1,0,0,0|4
12,3,4,Merge {0} Barracks into Lv. {1} or above,1.0,1040,5,1|10000,,,1,599,1045,0|1;0|5
13,3,3,Research Lv. {1} {0} Tech.,6.0,310000,,1|10000,,,1,1299,310000,1|103413;0|6
14,3,26,Upgrade to level {0},5.0,,,1|10000,,,1,0,0,0|5
15,3,5,Merge {0} Army into Lv. {1} or above,1.0,101,6,1|10000,,,1,699,10006,0|1;0|6
16,3,1,Regain Territory No. {0},4.0,,,1|20000,,,1,11,0,0|4
17,4,5,Merge {0} Army into Lv. {1} or above,1.0,101,7,1|15000,,,1,699,10007,0|1;0|7
18,4,6,The defeat Dark Force {0} times,1.0,0,,1|15000,,,1,1501,0,0|1
19,4,4,Merge {0} Barracks into Lv. {1} or above,1.0,1040,6,1|15000,,,1,599,1046,0|1;0|6
20,4,8,Consume {0} VIT,10.0,,,1|15000,,,1,1501,0,0|10
21,4,11,Train {0} Army Unit(s),5.0,101,,1|15000,,,1,1699,101,0|5
22,4,1,Regain Territory No. {0},5.0,,,1|30000,,,1,11,0,0|5
23,5,5,Merge {0} Army into Lv. {1} or above,1.0,101,9,1|25000,,,1,699,10009,0|1;0|9
24,5,4,Merge {0} Barracks into Lv. {1} or above,1.0,1040,7,1|25000,,,1,599,1047,0|1;0|7
25,5,3,Research Lv. {1} {0} Tech.,8.0,310000,,1|25000,,,1,1299,310000,1|103413;0|8
26,5,9,Give yourself a name,1.0,,,1|25000,,,1,5101,0,
27,5,11,Train {0} Army Unit(s),5.0,101,,1|25000,,,1,1699,101,0|5
28,5,2,Build {0},1.0,2200,,1|25000,,,1,799,2200,1|106945
29,5,1,Regain Territory No. {0},7.0,,,1|25000,,,1,11,0,0|7
30,6,7,Join an Alliance,1.0,,,1|100000,,,1,3601,0,
31,6,5,Merge {0} Army into Lv. {1} or above,1.0,101,10,1|100000,,,1,699,10010,0|1;0|10
32,6,4,Merge {0} Barracks into Lv. {1} or above,1.0,1040,8,1|100000,,,1,599,1048,0|1;0|8
33,6,6,The defeat Dark Force {0} times,1.0,0,,1|100000,,,1,1501,0,0|1
34,6,1,Regain Territory No. {0},8.0,,,1|100000,,,1,11,0,0|8
35,6,3,Research Lv. {1} {0} Tech.,10.0,310000,,1|100000,,,1,1299,310000,1|103413;0|10
36,7,11,Train {0} Army Unit(s),10.0,101,,1|150000,,13,1,1699,101,0|10
37,7,1,Regain Territory No. {0},9.0,,,1|150000,,13,1,11,0,0|9
38,7,5,Merge {0} Army into Lv. {1} or above,1.0,101,13,1|150000,,15,1,699,10013,0|1;0|13
39,7,4,Merge {0} Barracks into Lv. {1} or above,1.0,1040,10,1|150000,,13,1,599,1050,0|1;0|10
40,7,23,Kill Warhammer {0} time(s),2.0,,,1|150000,,20,0,4001,0,0|2
41,7,8,Consume {0} VIT,30.0,,,1|150000,,13,1,1501,0,0|30
42,7,28,Donate resources to finish the process,2.0,,,1|150000,1|180000,5,1,0,0,
43,7,28,Donate resources to finish the process,2.0,,,1|150000,10|20,10,1,0,0,
44,8,27,Buy any item in the Store,1.0,,,1|250000,,,1,6101,0,
45,8,2,Build {0},8.0,1040,,1|250000,,,1,799,1040,1|106930
46,8,8,Consume {0} VIT,40.0,,,1|250000,,,1,1501,0,0|40
47,8,3,Research Lv. {1} {0} Tech.,13.0,310000,,1|250000,,,1,1299,310000,1|103413;0|13
48,8,5,Merge {0} Army into Lv. {1} or above,1.0,101,15,1|250000,,,1,699,10015,0|1;0|15
49,8,21,Recruit hero {0} time(s),5.0,1|2|5,,1|250000,,,1,2501,0,0|5
50,8,14,Own {0} Lv. {1} hero(es),1.0,0,5,1|250000,,,1,5501,0,0|1;0|5
51,8,2,Build {0},1.0,3800,,1|250000,,,0,799,3800,1|Expedition Base
52,8,1,Regain Territory No. {0},12.0,,,1|250000,,,1,11,0,0|12
