id,time,reward
int,int,int
1,0,6001001
2,60,6001002
3,180,6001003
4,300,6001004
5,420,6001005
6,540,6001006
7,600,6001007
8,900,6001008
9,1200,6001009
10,1500,6001010
11,1800,6001011
12,2100,6001012
13,2400,6001013
14,3300,6001014
15,4200,6001015
16,5100,6001016
17,6000,6001017
18,7200,6001018
19,600,6001019
20,900,6001020
21,1800,6001021
22,2700,6001022
23,3600,6001023
24,7200,6001024
25,600,6001025
26,900,6001026
27,1800,6001027
28,2700,6001028
29,3600,6001029
30,7200,6001030
31,600,6001031
32,900,6001032
33,1800,6001033
34,2700,6001034
35,3600,6001035
36,7200,6001036
