id,type,reward,order,flash
int,int,int,int,int
1,1,916134,1,0
2,1,916135,2,0
3,1,916136,3,0
4,1,916137,4,0
5,1,916138,5,1
6,1,916139,6,1
7,2,916140,1,0
8,2,916141,2,1
9,2,916142,3,1
10,3,916143,1,1
11,3,916144,2,1
12,3,916145,3,1
13,4,916134,1,0
14,4,1800115,2,0
15,4,916136,3,0
16,4,916137,4,0
17,4,916138,5,1
18,4,916139,6,1
19,5,916140,1,0
20,5,916141,2,1
21,5,916142,3,1
22,6,916143,1,1
23,6,916144,2,1
24,6,1800125,3,1
25,7,916134,1,0
26,7,916135,2,0
27,7,916136,3,0
28,7,916137,4,0
29,7,916138,5,1
30,7,916139,6,1
31,8,916140,1,0
32,8,916141,2,1
33,8,916142,3,1
34,9,916143,1,1
35,9,916144,2,1
36,9,916145,3,1
