id,form,vip_value,reward_pool,days,order,reward,price,count,buy_limit,value,exhibition
int,int,string,int,int,int,int,int,int,int,int,string
1,1,0|8,1,1,1,1500001,10,1,1,900,DAILY DEAL
2,1,0|8,1,1,2,1500002,50,1,1,1600,
3,1,0|8,1,1,3,1500003,200,1,1,4000,
4,1,0|8,1,2,4,1500004,10,1,1,316,DAILY DEAL
5,1,0|8,1,2,5,1500005,50,1,1,1020,
6,1,0|8,1,2,6,1500006,200,1,1,2440,
7,1,0|8,1,3,7,1500007,10,1,1,900,DAILY DEAL
8,1,0|8,1,3,8,1500008,50,1,1,1600,
9,1,0|8,1,3,9,1500009,200,1,1,4000,
10,1,0|8,1,4,10,1500010,10,1,1,316,DAILY DEAL
11,1,0|8,1,4,11,1500011,50,1,1,1020,
12,1,0|8,1,4,12,1500012,200,1,1,2440,
13,1,0|8,1,5,13,1500013,10,1,1,900,DAILY DEAL
14,1,0|8,1,5,14,1500014,50,1,1,1600,
15,1,0|8,1,5,15,1500015,200,1,1,4000,
16,1,0|8,1,6,16,1500016,10,1,1,316,DAILY DEAL
17,1,0|8,1,6,17,1500017,50,1,1,1020,
18,1,0|8,1,6,18,1500018,200,1,1,2440,
19,1,0|8,1,7,19,1500019,10,1,1,900,DAILY DEAL
20,1,0|8,1,7,20,1500020,50,1,1,1600,
21,1,0|8,1,7,21,1500021,200,1,3,4000,
22,1,0|8,2,1,22,1500022,50,1,1,2600,DAILY DEAL
23,1,0|8,2,1,23,1500023,200,1,1,3000,
24,1,0|8,2,1,24,1500024,500,1,1,7000,
25,1,0|8,2,2,25,1500025,50,1,1,1820,DAILY DEAL
26,1,0|8,2,2,26,1500026,200,1,1,2440,
27,1,0|8,2,2,27,1500027,500,1,1,4720,
28,1,0|8,2,3,28,1500028,50,1,1,2600,DAILY DEAL
29,1,0|8,2,3,29,1500029,200,1,1,3000,
30,1,0|8,2,3,30,1500030,500,1,1,7000,
31,1,0|8,2,4,31,1500031,50,1,1,1820,DAILY DEAL
32,1,0|8,2,4,32,1500032,200,1,1,2440,
33,1,0|8,2,4,33,1500033,500,1,1,4720,
34,1,0|8,2,5,34,1500034,50,1,1,2600,DAILY DEAL
35,1,0|8,2,5,35,1500035,200,1,1,3000,
36,1,0|8,2,5,36,1500036,500,1,1,7000,
37,1,0|8,2,6,37,1500037,50,1,1,1820,DAILY DEAL
38,1,0|8,2,6,38,1500038,200,1,1,2440,
39,1,0|8,2,6,39,1500039,500,1,1,4720,
40,1,0|8,2,7,40,1500040,50,1,1,2600,DAILY DEAL
41,1,0|8,2,7,41,1500041,200,1,1,3000,
42,1,0|8,2,7,42,1500042,500,1,3,7000,
43,1,0|8,3,1,43,1500043,90,1,1,2800,DAILY DEAL
44,1,0|8,3,1,44,1500044,200,1,1,3700,
45,1,0|8,3,1,45,1500045,1000,1,1,10800,
46,1,0|8,3,2,46,1500046,90,1,1,2080,DAILY DEAL
47,1,0|8,3,2,47,1500047,200,1,1,1960,
48,1,0|8,3,2,48,1500048,1000,1,1,9520,
49,1,0|8,3,3,49,1500049,90,1,1,2800,DAILY DEAL
50,1,0|8,3,3,50,1500050,200,1,1,3700,
51,1,0|8,3,3,51,1500051,1000,1,1,10800,
52,1,0|8,3,4,52,1500052,90,1,1,2080,DAILY DEAL
53,1,0|8,3,4,53,1500053,200,1,1,1960,
54,1,0|8,3,4,54,1500054,1000,1,1,9520,
55,1,0|8,3,5,55,1500055,90,1,1,2800,DAILY DEAL
56,1,0|8,3,5,56,1500056,200,1,1,3700,
57,1,0|8,3,5,57,1500057,1000,1,1,10800,
58,1,0|8,3,6,58,1500058,90,1,1,2080,DAILY DEAL
59,1,0|8,3,6,59,1500059,200,1,1,1960,
60,1,0|8,3,6,60,1500060,1000,1,1,9520,
61,1,0|8,3,7,61,1500061,90,1,1,2800,DAILY DEAL
62,1,0|8,3,7,62,1500062,200,1,1,3700,
63,1,0|8,3,7,63,1500063,1000,1,3,10800,
64,1,0|8,4,1,64,1500064,200,1,1,4800,DAILY DEAL
65,1,0|8,4,1,65,1500065,500,1,1,5700,
66,1,0|8,4,1,66,1500066,1000,1,1,10800,
67,1,0|8,4,2,67,1500067,200,1,1,2480,DAILY DEAL
68,1,0|8,4,2,68,1500068,500,1,1,4960,
69,1,0|8,4,2,69,1500069,1000,1,1,9520,
70,1,0|8,4,3,70,1500070,200,1,1,4800,DAILY DEAL
71,1,0|8,4,3,71,1500071,500,1,1,5700,
72,1,0|8,4,3,72,1500072,1000,1,1,10800,
73,1,0|8,4,4,73,1500073,200,1,1,2480,DAILY DEAL
74,1,0|8,4,4,74,1500074,500,1,1,4960,
75,1,0|8,4,4,75,1500075,1000,1,1,9520,
76,1,0|8,4,5,76,1500076,200,1,1,4800,DAILY DEAL
77,1,0|8,4,5,77,1500077,500,1,1,5700,
78,1,0|8,4,5,78,1500078,1000,1,1,10800,
79,1,0|8,4,6,79,1500079,200,1,1,2480,DAILY DEAL
80,1,0|8,4,6,80,1500080,500,1,1,4960,
81,1,0|8,4,6,81,1500081,1000,1,1,9520,
82,1,0|8,4,7,82,1500082,200,1,1,4800,DAILY DEAL
83,1,0|8,4,7,83,1500083,500,1,1,5700,
84,1,0|8,4,7,84,1500084,1000,1,3,10800,
85,1,9|999,1,1,85,1500085,50,1,1,2600,DAILY DEAL
86,1,9|999,1,1,86,1500086,200,1,1,3000,
87,1,9|999,1,1,87,1500087,500,1,1,7000,
88,1,9|999,1,2,88,1500088,50,1,1,1820,DAILY DEAL
89,1,9|999,1,2,89,1500089,200,1,1,2440,
90,1,9|999,1,2,90,1500090,500,1,1,4720,
91,1,9|999,1,3,91,1500091,50,1,1,2600,DAILY DEAL
92,1,9|999,1,3,92,1500092,200,1,1,3000,
93,1,9|999,1,3,93,1500093,500,1,1,7000,
94,1,9|999,1,4,94,1500094,50,1,1,1820,DAILY DEAL
95,1,9|999,1,4,95,1500095,200,1,1,2440,
96,1,9|999,1,4,96,1500096,500,1,1,4720,
97,1,9|999,1,5,97,1500097,50,1,1,2600,DAILY DEAL
98,1,9|999,1,5,98,1500098,200,1,1,3000,
99,1,9|999,1,5,99,1500099,500,1,1,7000,
100,1,9|999,1,6,100,1500100,50,1,1,1820,DAILY DEAL
101,1,9|999,1,6,101,1500101,200,1,1,2440,
102,1,9|999,1,6,102,1500102,500,1,1,4720,
103,1,9|999,1,7,103,1500103,50,1,1,2600,DAILY DEAL
104,1,9|999,1,7,104,1500104,200,1,1,3000,
105,1,9|999,1,7,105,1500105,500,1,3,7000,
106,1,9|999,2,1,106,1500106,90,1,1,2800,DAILY DEAL
107,1,9|999,2,1,107,1500107,200,1,1,3700,
108,1,9|999,2,1,108,1500108,1000,1,1,10800,
109,1,9|999,2,2,109,1500109,90,1,1,2080,DAILY DEAL
110,1,9|999,2,2,110,1500110,200,1,1,1960,
111,1,9|999,2,2,111,1500111,1000,1,1,9520,
