id,exp,reward,energy,reward_multiple,plunder,league_require_gold,league_gain_rep,donation_gold,server_level_coin,dailyTask_exp,dailyTask_gold,gather_coin_speed,league_building_gold_donation,boss_exp,lattice_price,army_score,league_require_rrs,gold_mine_reaper_store_max,relic_coin,att_new,att_old,exp_replace
int,long,int,int,int,long,long,long,long,long,long,long,long,long,long,long,long,string,double,long,long,long,int
1,70.0,0,0,2,300.0,1000.0,100.0,500.0,207360.0,23.0,117.0,1.0,500.0,5.0,2.0,1.0,1|1000,28800.0,500.0,320.0,500.0,
2,270.0,0,5,2,500.0,2000.0,100.0,1000.0,552960.0,52.0,260.0,1.0,1000.0,10.0,3.0,1.0,1|2000,86400.0,1000.0,640.0,1000.0,
3,770.0,0,10,2,1200.0,4000.0,100.0,2000.0,1382400.0,115.0,575.0,1.0,2000.0,20.0,4.0,1.0,1|4000,259200.0,2000.0,960.0,1500.0,
4,2270.0,0,15,2,3700.0,8000.0,100.0,4000.0,2488320.0,252.0,1260.0,1.0,4000.0,30.0,5.0,1.0,1|8000,489600.0,4000.0,1280.0,2000.0,
5,6570.0,0,20,2,9300.0,16000.0,100.0,8000.0,4838400.0,558.0,2790.0,10.0,8000.0,40.0,6.0,1.0,1|16000,979200.0,8000.0,1600.0,2500.0,
6,20870.0,0,25,2,31500.0,32000.0,100.0,16000.0,8294400.0,1226.0,6130.0,20.0,16000.0,50.0,7.0,1.0,1|32000,3456000.0,16000.0,6400.0,10000.0,
7,58670.0,0,30,2,87900.0,64000.0,100.0,32000.0,15552000.0,2680.0,13400.0,40.0,32000.0,60.0,8.0,1.0,1|64000,6566400.0,32000.0,12800.0,20000.0,
8,139170.0,0,35,2,259000.0,128000.0,100.0,64000.0,27648000.0,5860.0,29300.0,80.0,64000.0,70.0,9.0,1.0,1|128000,17625600.0,64000.0,19200.0,30000.0,
9,307170.0,0,40,2,511400.0,256000.0,100.0,128000.0,45619200.0,12780.0,63900.0,160.0,128000.0,80.0,10.0,1.0,1|256000,29376000.0,128000.0,25600.0,40000.0,
10,651370.0,0,45,2,1390100.0,512000.0,100.0,256000.0,82944000.0,27800.0,139000.0,320.0,256000.0,80.0,15.0,1.0,1|512000,71769600.0,256000.0,32000.0,50000.0,
11,1350970.0,0,45,2,2706400.0,1024000.0,100.0,512000.0,134784000.0,60200.0,301000.0,640.0,512000.0,80.0,20.0,1.0,1|1024000,129254400.0,512000.0,38400.0,60000.0,
12,3482370.0,0,45,2,6470400.0,2048000.0,100.0,1024000.0,241920000.0,130600.0,653000.0,1280.0,1024000.0,80.0,25.0,1.0,1|2048000,317952000.0,1024000.0,44800.0,70000.0,
13,9557770.0,0,45,2,13858900.0,4096000.0,100.0,2048000.0,414720000.0,282000.0,1410000.0,2560.0,2048000.0,80.0,30.0,1.0,1|4096000,593280000.0,2048000.0,51200.0,80000.0,
14,30641570.0,0,45,2,22172300.0,8192000.0,100.0,4096000.0,663552000.0,608000.0,3040000.0,5120.0,4096000.0,80.0,40.0,1.0,1|8192000,1231891200.0,4096000.0,57600.0,90000.0,
