ID,desc,condition_item,condition_gold,condition_time,first_reward,reward
int,string,string,string,int,string,string
1,Embark on a journey to give out gifts,20201046;10,,,931004;You set off on your adventure with a large bag full of gifts.,930004;100;You set off on your adventure with a large bag full of gifts.
2,Consider if you want to give out gifts,20201046;10,,,,930003;100;While you may be hesitant; the desire to make everyone happy compels you to give out gifts.
3,Ignore those kids,20201046;10,,,,930001;100;You received tons of requests begging you to ease the logjam in deliveries. You have no other option.
4,A BS5 game console,20201046;40,,,,930004;40;He is very happy; but he's only allowed to play for 1 hour on the weekends. It's getting pretty dusty fast...|930001;60;He loves it and plays it everyday... His grades however have had a sharp decline...
5,New copy of "Quantum Theory of the Atom",20201047;10,,,931006;He was not very pleased with receiving a book for Christmas but became a Physicist in the end.,930006;50;He was not very pleased with receiving a book for Christmas but became a Physicist in the end.|930003;50;It was too complicated for him; he lost confidence at school...
6,A delicious home cooked chicken meal,20201046;40,,,,930001;50;The chicken was under cooked and caused food poisoning.|930004;50;He appreciates it but he asks if next year he can receive a proper gift...
7,A 1045 carbon steel sword,20201048;10,,,931010;The kid got the sword and eventually became a hero.,930010;50;The kid got the sword and eventually became a hero.|930007;50;The kid got the sword and showed it off accidentally hurting another kid.
8,A plastic toy sword,20201046;40,,,,930003;100;He was defeated by a kid with a steel blade. He walked home in tears.
9,A light blade,20201046;40,,,,930002;100;His father loves it more; so he took it from the kid.
10,A BB Doll,20201046;60,,,,930005;20;She likes it and takes the doll wherever she goes.|930003;80;She doesn't like it because it's not fluffy.
11,A singing plush toy,20201047;5,,,931005;She became more positive as she listened to the doll sing and even made new friends.,930005;30;She became more positive as she listened to the doll sing and even made new friends.|930003;70;The song was too gloomy; and it scared the little girl.
12,A limited Peanie Friend,20201048;5,,,,930007;80;The little girl was happy with a bright smile on her face.|930010;20;Her dad took it and sold it for thousands of dollars. The family moved to a new house.
13,Be friends with the boy,20201046;40,,,931004;The little boy was happy; and you became friends.,930004;20;The little boy was happy; and you became friends.|930001;80;He shook his head and left.
14,Introduce him to a friend of the same age,20201046;40,,,,930001;100;They didn't get along well.
15,Register a Friendbook account for him,20201046;100,,,,930006;50;He made many friends online and became a network celebrity.|930003;50;He made a few friends online but their friendships didn't last long.
16,Touch his head and give him a Clown Box as a gift,20201047;5,,,,930004;60;He was happy and used it to scare many other kids.|930004;40;He was scared and cried; promised you he'd never to do it again.
17,Encourage him to be aware of his surroundings.,20201046;40,,,,930004;100;He inconvenienced many more people and eventually was grounded by his parents.
18,Ask him to watch where he is going,20201046;40,,,,930004;40;He realized he was wrong and apologized to you.|930001;60;He cried and called his dad for help.
19,A Maximo (The Origin Ver.) Model,20201047;5,,,,930003;50;He was happy to get the figure; but it was smashed by his parents.|930004;50;He kept it in a secret place but it was stolen.
20,A book of "Film Camera: How to disassemble it",20201046;40,,,,930001;60;He disassembled his dad's camera and got grounded.|930003;40;He disassembled his dad's camera and was proud of himself.
21,A phone with Top War on it,20201046;100,,,931004;He enjoyed Top War very much and forgot about the figure collection.,930004;100;He enjoyed Top War very much and forgot about the figure collection.
22,Teach him the "Homemade Chicken Nuggets" Recipe,20201046;40,,,,930001;50;He eats a lot of Nuggets every day which eventually affects his health.|930003;50;He became a food streamer but it wasn't easy.
23,Give him some "Fitness 101",20201046;100,,,,930005;100;He gained weight quickly anyway since he didn't like exercise and couldn't bring himself to do it.
24,Introduce him to a girl,20201047;10,,,931006;The girl was a fitness instructor and they encouraged each other to keep fit.,930006;50;The girl was a fitness instructor and they encouraged each other to keep fit.|930003;50;They didn't get along well and he was pretty upset.
25,Join them and begin repetitive side steps left and right beside the fire,20201047;5,,,,930001;50;Someone called the police.|930005;50;You found a gold coin in the ashes and the kids exchanged it for a Christmas castle model.
26,Tell them it's dangerous,20201046;40,,,,930003;50;They ignored you.|930001;50;They were scolded by their parents later.
27,Give them some gifts,20201047;5,,,,930004;50;You gave them some water and the water extinguished the fire.|930005;50;They didn't like them and throw them into the fire.
28,Advise him not to play video games,20201046;40,,,,930003;50;He ignored you. It wasn't a good game; so he didn't benefit from it.|930005;50;He ignored you and played Top War instead. He became a good producer later.
29,Hand him a mobile phone running "Top War",20201048;2,,,931007;The kid looked happier.,930007;50;The kid looked happier.|930006;50;"VIP 0? Can you get me more levels please?" he asked.
30,Tell his parents,20201046;40,,,,930004;50;His parents drove you out of the house.|930004;50;His parents took his phone away forever.
31,Introduce Top War instead; there are many stories in the laTest event,20201048;3,,,931008;He enjoyed it very much and managed to get a new base skin.,930008;50;He enjoyed it very much and managed to get a new base skin.|930006;50;He enjoyed it very much and loved all the stories.
32,Tell him an interesting story,20201046;40,,,,930002;50;He was bored and left.|930005;50;He wanted to hear more stories from you and asked for more stories during the night.
33,Give him a copy of "One Thousand and One Nights",20201046;40,,,,930004;50;He read all the stories and finally became a story teller.|930002;50;He grabbed the book and read a few pages before using it to balance a table.
34,Give him a Clown Box that is even scarrier,20201047;10,,,931006;He scared the bully with this box.,930006;50;He scared the bully with this box.|930004;50;He played it every day and became immune to it.
35,Ask the bully not to do that again,20201046;40,,,,930003;100;You tried but couldn't find the bully again.
36,Talk to the bully's parents,20201046;100,,,,930004;100;His parents were unreasonable and they threatened you.
37,A plane model,20201048;3,,,,930006;50;The boy took the model and looked more determined.|930008;50;The boy was too weak to hold the model and dropped it.
