ID,group,desc,relation,weight,limit
int,int,string,string,int,string
1,4,Christmas is coming; and the Freedom League kids in Top War are excited. You; the greaTest commander; decided to...,1|2|3,100,1
2,1,Your nephew has been good all year and asks for a gaming console for Christmas; so you gave him...,4|5|6,100,2
3,1,A very naughty kid wanted a sword for Christmas gift; you gave him...,7|8|9,100,2
4,1,A quiet little girl wanted a doll for a Christmas gift; you gave her...,10|11|12,100,2
5,1,When a lonely boy heard about a gift; he asked for a friend. You decided to...,13|14|15,100,2
6,1,You stumbled over a kid in your way while delivering presents. You decided to...,16|17|18,100,2
7,1,You saw a boy crying on the street. His dad destroyed his Freedom League figure collection since he invested too much on it. You gave him...,19|20|21,100,2
8,1,A big guy wanted a gift from you when he learnt you were giving gifts. You decided to...,22|23|24,100,2
9,1,On Christmas Eve; you saw a group of children who were burning cedar; you decided to...,25|26|27,100,2
10,1,While traveling you saw a kid who was glued to his phone; frowning and playing a confusing game. You decided to...,28|29|30,100,2
11,1,Would you tell a tale to a child who enjoys listening to stories?,31|32|33,100,2
12,1,You saw a crying kid; he said that other children bullied him with a scary clown box. You decided to...,34|35|36,100,2
13,1,A fragile boy told you that he had a strong desire to join the air force. You gave him...,37|38|39,100,2
14,1,A poor girl with a dream to pursue her passion for music. So you gave her...,40|41|42,100,2
15,1,A little boy who often bullies others comes to you and asks for a birthday gift. You decided to...,43|44|45,100,2
16,5,A homeless child wanted a hot meal as a Christmas gift on Christmas Eve. You gave him...,46|47|48,100,2
17,5,You dressed as Santa Claus. A kid came and took off your hat and beard; saying loudly that you were faking it. You decided to...,49|50|51,100,2
18,5,As you walked down the street you saw a little girl staring into a store window looking at a dress. You decided to...,52|53|54,100,2
19,5,You took the kids to the amusement park and decided to take them to the...,55|56|57,100,2
20,5,A little boy was playing the guitar at a park on Christmas Eve. He told you that he wanted to be a musician. You decided to...,58|59|60,100,2
21,5,Your neighbors invited you over on Thanksgiving; so this Christmas; you decided to...,61|62|63,100,2
22,5,It is Christmas Day and a group of children gather around a drawing board placed up in the park. Which art style would you prefer?,64|65|66,100,2
23,5,You're handing out balloons to the children on the street as a gift. There are three types of balloons; you gave them...,67|68|69,100,2
24,5,Everyone gathered around you for gifts; except for one kid who sat alone in the corner. You gave him...,70|71|72,100,2
25,5,On Christmas Day; a child told you that today is also her birthday. You gave her...,73|74|75,100,2
26,5,"I simply wish my mom will get better by Christmas." said a boy. You decided to...,76|77|78,100,2
27,5,A little girl told you that she wanted a pet as her gift; you gave her...,79|80|81,100,2
28,5,After following you around all day; a kid asked you to be his servant for one day. You decided to...,82|83|84,100,2
29,5,It's cold outside and you see a bunch of kids. You asked for their wish but there are too many items on their wish list. You told them you will fulfill one of them...,85|86|87,100,2
30,5,You hung presents on the big Christmas tree. A tall boy took down the gift box at the top of the tree. He got...,88|89|90,100,2
31,5,An outer space visitor found that the children were really happy here. He wanted to send gifts to children on his planet.,91|92,50,2
32,5,A child told you that his wish is to make three more wishes...,93|94,50,2
33,5,A child hoped for a Top War world without conflicts and peace for everybody.,95|96,50,2
34,2,While searching for the bounty prisoner; Preycis ran across an old friend; Bell; who was confronting a bounty target. Preycis decided to...,100|101|102,100,2
