id,radar_group_type,quality,type,task_id,reward,reward_v2,min_level,max_level,name,icon,des,icon_world,jump_army,exp_multiple,enemy_icon,group_id,order_num,day_group_id,day_order_num,open_contion_type,open_contion_param,close_time,radar_icon,radar_show,user_switch
int,int,int,int,string,int,int,int,int,string,string,string,string,int,double,string,int,int,int,int,int,string,string,string,string,string
2000,2,0,209,100000,941213,941213,80,80,Join Alliance,radarevent_task,,radarevent_task_world,,1.0,rescue_icon_wrold,11,2,,,2,10;80,,radarevent_league_new,The radar detected a mysterious signal!,
2001,2,0,209,100001,941214,941214,80,80,Donate to Alliance Tech,radarevent_task,,radarevent_task_world,,1.0,rescue_icon_wrold,11,3,,,2,10;80,,radarevent_league_01,The signal is becoming stronger!,
2002,2,0,205,100002,941215,941215,80,80,Code X,radarevent_task,,radarevent_task_world,,1.0,rescue_icon_wrold,11,1,,,2,10;80,2019-09-19 10:45:00,radarevent_save,SOS,
1061,2,0,205,10025,1230007,1230007,80,80,Rescue Mission,rescue_mission_task,,rescue_mission_world,,2.5,rescue_icon_wrold,1,1,,,1,2021-09-17 00:00:00,2021-10-07 23:59:59,radarevent_chain,Complete the Selina exclusive radar mission and get Thumbs-up,
1062,2,0,201,10000,1230008,1230008,80,80,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,2.5,rescue_icon_wrold,1,2,,,1,2021-09-17 00:00:00,,radarevent_chain,Complete the Selina exclusive radar mission and get Thumbs-up,
1063,2,0,203,4178,1230009,1230009,80,80,Discover Dark Legion's Treasure,radarevent_treasure,,radarevent_treasure_world,,1.0,treasure_icon_world,1,3,,,1,2021-09-17 00:00:00,,radarevent_chain,Complete the Selina exclusive radar mission and get Thumbs-up,
1064,2,0,208,10035,1230010,1230010,70,79,Kill Dark Forces,radarevent_task,,radarevent_task_world,,2.5,,1,4,,,1,2021-09-17 00:00:00,,radarevent_chain,Complete the Selina exclusive radar mission and get Thumbs-up,
1065,2,0,202,10001,1230011,1230011,80,80,Destroy the Dark Legion Fort,radarevent_monster,,radarevent_monster_world,,1.0,,1,5,,,1,2021-09-17 00:00:00,,radarevent_chain,Complete the Selina exclusive radar mission and get Thumbs-up,
10001,1,2,205,10036,258430,1258430,100,100,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
888,1,1,201,10000,258393,1258393,1,11,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.0,,,,,,,,,,,
889,1,2,201,10000,258394,1258394,1,11,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.25,,,,,,,,,,,
890,1,3,201,10000,258395,1258395,1,11,Eliminate the Dark Legion remnant,radarevent_monster1,,radarevent_monster1_world,,1.5,,,,,,,,,,,
891,1,1,205,10021,258396,1258396,1,11,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
892,1,2,205,10022,258397,1258397,1,11,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
893,1,3,205,10023,258398,1258398,1,11,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
894,1,1,205,10021,258399,1258399,1,11,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.0,rescue_icon_wrold,,,,,,,,,,
895,1,2,205,10022,258400,1258400,1,11,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.25,rescue_icon_wrold,,,,,,,,,,
896,1,3,205,10023,258401,1258401,1,11,Rescue Mission,rescue_mission_task,,rescue_mission_world,,1.5,rescue_icon_wrold,,,,,,,,,,
925,1,1,206,10206,258396,1258396,1,11,Cut Off Power Supply,radarevent_meter,You discovered one of the Dark Legion's secret bases. Cut off the power supply to see what happens.,radarevent_meter_world,,2.5,,,,,,,,,,,
926,1,2,206,10206,258397,1258397,1,11,Cut Off Power Supply,radarevent_meter,You discovered one of the Dark Legion's secret bases. Cut off the power supply to see what happens.,radarevent_meter_world,,2.5,,,,,,,,,,,
927,1,3,206,10206,258398,1258398,1,11,Cut Off Power Supply,radarevent_meter,You discovered one of the Dark Legion's secret bases. Cut off the power supply to see what happens.,radarevent_meter_world,,2.5,,,,,,,,,,,
