id,condition,condition_id,condition_num,reward,reward_dis,reward_help,monster_id,monster_level,times,cost_energy,name,icon,des,guide_id
int,int,string,int,string,string,int,string,int,int,int,string,string,string,int
4001,201,,1,,,,91;92;93,5,,,Dark Legion Remnant,,,
4002,202,94,1,,,,94,2,,,Dark Legion Fort,,,
4003,0,0,0,250001,1700011;323001,250006,,0,600,10,Dark Legion Treasure,,,
4004,0,0,0,250002,1700011;323001,250007,,0,1200,10,Dark Legion Treasure,,,
4005,0,0,0,250003,1700011;323001,250008,,0,2700,10,Dark Legion Treasure,,,
4006,0,0,0,250004,1700011;323001,250009,,0,3600,10,Dark Legion Treasure,,,
4007,0,0,0,250005,1700011;323001,250010,,0,5400,10,Dark Legion Treasure,,,
4008,0,0,0,257014,300001|310001|323001,,0,0,,10,Individual Commission,,Tap to view mission details,
4009,0,0,0,257015,300001|310001|323001,,0,0,,10,Individual Commission,,Tap to view mission details,
4010,0,0,0,257016,300001|310001|323001,,0,0,,10,Individual Commission,,Tap to view mission details,
4011,0,0,0,257016,300001|310001|323001,,0,0,,10,Individual Commission,,Tap to view mission details,
4012,0,0,0,257017,300001|310001|323001,,0,0,,10,Individual Commission,,Tap to view mission details,
4013,0,0,0,257018,320000|301001|311001,,0,0,,10,Individual Commission,,Tap to view mission details,
4014,0,0,0,257019,320000|301001|311001,,0,0,,10,Individual Commission,,Tap to view mission details,
4015,0,0,0,257020,320000|301001|311001,,0,0,,10,Individual Commission,,Tap to view mission details,
4016,0,0,0,257021,320000|301001|311001,,0,0,,10,Individual Commission,,Tap to view mission details,
4017,0,0,0,257022,320000|301001|311001,,0,0,,10,Individual Commission,,Tap to view mission details,
4018,0,0,0,257023,321001|302001|312001,,0,0,,10,Individual Commission,,Tap to view mission details,
4019,0,0,0,257024,321001|302001|312001,,0,0,,10,Individual Commission,,Tap to view mission details,
4020,0,0,0,257025,321001|302001|312001,,0,0,,10,Individual Commission,,Tap to view mission details,
4021,0,0,0,257026,321001|302001|312001,,0,0,,10,Individual Commission,,Tap to view mission details,
4022,0,0,0,257027,321001|302001|312001,,0,0,,10,Individual Commission,,Tap to view mission details,
4023,0,0,0,257028,322001|303001|313001,,0,0,,10,Individual Commission,,Tap to view mission details,
