id,coin,wood,oil,energy,exp,gold,military,cab_res,csb_res,army_id,army_num,honor,kvk_tec_res,kvk_task_coin,kvk_tec_coin,type,item,num,quality,rate,is_removal,building,building_num,building_rate,resource,resource_num,resource_rate,hero,hero_num,hero_rate,newReward,union_box,must_items,exhibition,item_minimum_type,item_minimum
int,long,int,int,int,int,int,int,int,int,string,string,int,int,int,int,int,string,string,string,string,int,string,string,string,string,string,string,string,string,string,string,int,string,string,string,string
100,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,50.0,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,100.0,,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,150.0,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,200.0,,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,250.0,,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,300.0,,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,350.0,,70,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,400.0,,80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,450.0,,90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,500.0,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,550.0,,110,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,600.0,,120,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,650.0,,130,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,700.0,,140,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,750.0,,150,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,800.0,,160,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,850.0,,170,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,900.0,,180,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,950.0,,190,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1000.0,,200,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1050.0,,210,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1100.0,,220,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1150.0,,230,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1200.0,,240,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1250.0,,250,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,35000.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,50000.0,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,65000.0,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,80000.0,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,95000.0,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
