id,group,order,type,exp,reward,event_rate,exhibition,direction,direction_back
int,int,int,int,string,string,string,string,int,int
101,1,1,1,,,,icon_ActivityRichMan7,4,1
102,1,2,2,1|2|5,1530011|1530012|1530013|1530014,,icon_ActivityRichMan1,0,0
103,1,3,2,1|2|5,1530051|1530052|1530053|1530054,,icon_ActivityRichMan2,0,0
104,1,4,2,1|2|5,1530061|1530062|1530063|1530064,,icon_ActivityRichMan4,2,3
105,1,5,2,1|2|5,1530101|1530102|1530103|1530104,,icon_ActivityRichMan5,4,1
106,1,6,2,1|2|5,1530141|1530142|1530143|1530144,,icon_ActivityRichMan6,0,0
107,1,7,2,1|2|5,1530181|1530182|1530183|1530184,,icon_ActivityRichMan1,1,3
108,1,8,3,,,1;15|2;15|3;15|5;1000|6;1000,icon_ActivityRichMan3,4,2
109,1,9,2,1|2|5,1530021|1530022|1530023|1530024,,icon_ActivityRichMan2,1,3
110,1,10,2,1|2|5,1530071|1530072|1530073|1530074,,icon_ActivityRichMan4,0,0
111,1,11,2,1|2|5,1530111|1530112|1530113|1530114,,icon_ActivityRichMan5,4,2
112,1,12,2,1|2|5,1530151|1530152|1530153|1530154,,icon_ActivityRichMan6,1,3
113,1,13,2,1|2|5,1530191|1530192|1530193|1530194,,icon_ActivityRichMan6,0,0
114,1,14,3,,,1;15|2;15|3;15|4;20|5;1000|6;1000,icon_ActivityRichMan1,3,2
115,1,15,2,1|2|5,1530031|1530032|1530033|1530034,,icon_ActivityRichMan3,1,4
116,1,16,2,1|2|5,1530081|1530082|1530083|1530084,,icon_ActivityRichMan2,3,2
117,1,17,2,1|2|5,1530121|1530122|1530123|1530124,,icon_ActivityRichMan4,0,0
118,1,18,2,1|2|5,1530161|1530162|1530163|1530164,,icon_ActivityRichMan5,0,0
119,1,19,2,1|2|5,1530201|1530202|1530203|1530204,,icon_ActivityRichMan6,2,4
120,1,20,3,,,1;15|2;15|3;15|4;20|5;1000|6;1000,icon_ActivityRichMan3,3,1
121,1,21,2,1|2|5,1530041|1530042|1530043|1530044,,icon_ActivityRichMan1,0,0
122,1,22,2,1|2|5,1530091|1530092|1530093|1530094,,icon_ActivityRichMan1,2,4
123,1,23,2,1|2|5,1530211|1530212|1530213|1530214,,icon_ActivityRichMan2,0,0
124,1,24,2,1|2|5,1530131|1530132|1530133|1530134,,icon_ActivityRichMan4,0,0
125,1,25,2,1|2|5,1530171|1530172|1530173|1530174,,icon_ActivityRichMan5,3,1
126,1,26,2,1|2|5,1530221|1530222|1530223|1530224,,icon_ActivityRichMan3,2,4
201,2,1,1,,,,icon_ActivityRichManJp1,4,1
202,2,2,2,1|4|8,1540011|1540012|1540013|1540014,,icon_ActivityRichManJp2,4,3
203,2,3,2,1|4|8,1540051|1540052|1540053|1540054,,icon_ActivityRichManJp5,4,3
204,2,4,2,1|4|8,1540061|1540062|1540063|1540064,,icon_ActivityRichManJp6,2,3
205,2,5,2,1|4|8,1540101|1540102|1540103|1540104,,icon_ActivityRichManJp4,4,1
206,2,6,2,1|4|8,1540141|1540142|1540143|1540144,,icon_ActivityRichManJp5,4,3
207,2,7,2,1|4|8,1540181|1540182|1540183|1540184,,icon_ActivityRichManJp5,1,3
208,2,8,3,,,1;15|2;15|3;15|5;20|6;15,icon_ActivityRichManJp7,4,2
209,2,9,2,1|4|8,1540021|1540022|1540023|1540024,,icon_ActivityRichManJp2,1,3
210,2,10,2,1|4|8,1540071|1540072|1540073|1540074,,icon_ActivityRichManJp6,1,2
211,2,11,2,1|4|8,1540111|1540112|1540113|1540114,,icon_ActivityRichManJp4,4,2
212,2,12,2,1|4|8,1540151|1540152|1540153|1540154,,icon_ActivityRichManJp5,1,3
213,2,13,2,1|4|8,1540191|1540192|1540193|1540194,,icon_ActivityRichManJp5,1,2
214,2,14,3,,,1;15|2;15|3;15|5;20|6;15,icon_ActivityRichManJp7,3,2
215,2,15,2,1|4|8,1540031|1540032|1540033|1540034,,icon_ActivityRichManJp5,1,4
216,2,16,2,1|4|8,1540081|1540082|1540083|1540084,,icon_ActivityRichManJp6,3,2
217,2,17,2,1|4|8,1540121|1540122|1540123|1540124,,icon_ActivityRichManJp4,3,4
218,2,18,2,1|4|8,1540161|1540162|1540163|1540164,,icon_ActivityRichManJp3,3,4
219,2,19,2,1|4|8,1540201|1540202|1540203|1540204,,icon_ActivityRichManJp5,2,4
220,2,20,3,,,1;15|2;15|3;15|5;20|6;15,icon_ActivityRichManJp7,3,1
221,2,21,2,1|4|8,1540041|1540042|1540043|1540044,,icon_ActivityRichManJp2,3,4
222,2,22,2,1|4|8,1540091|1540092|1540093|1540094,,icon_ActivityRichManJp6,2,4
223,2,23,2,1|4|8,1540211|1540212|1540213|1540214,,icon_ActivityRichManJp3,2,1
224,2,24,2,1|4|8,1540131|1540132|1540133|1540134,,icon_ActivityRichManJp5,2,1
225,2,25,2,1|4|8,1540171|1540172|1540173|1540174,,icon_ActivityRichManJp3,3,1
226,2,26,2,1|4|8,1540221|1540222|1540223|1540224,,icon_ActivityRichManJp3,2,4
301,3,1,1,,,,icon_ActivityRichManJp1,4,1
302,3,2,2,1|5|12,1560011|1560012|1560013|1560014,,icon_ActivityRichManJp2,0,0
303,3,3,2,1|5|12,1560051|1560052|1560053|1560054,,icon_ActivityRichManJp5,0,0
304,3,4,2,1|5|12,1560061|1560062|1560063|1560064,,icon_ActivityRichManJp6,2,3
305,3,5,2,1|5|12,1560101|1560102|1560103|1560104,,icon_ActivityRichManJp4,4,1
306,3,6,2,1|5|12,1560141|1560142|1560143|1560144,,icon_ActivityRichManJp5,0,0
307,3,7,2,1|5|12,1560181|1560182|1560183|1560184,,icon_ActivityRichManJp3,1,3
308,3,8,3,,,1;15|2;15|3;15|5;20|6;15,icon_ActivityRichManJp7,4,2
309,3,9,2,1|5|12,1560021|1560022|1560023|1560024,,icon_ActivityRichManJp2,1,3
310,3,10,2,1|5|12,1560071|1560072|1560073|1560074,,icon_ActivityRichManJp6,0,0
311,3,11,2,1|5|12,1560111|1560112|1560113|1560114,,icon_ActivityRichManJp4,4,2
312,3,12,2,1|5|12,1560151|1560152|1560153|1560154,,icon_ActivityRichManJp3,1,3
313,3,13,2,1|5|12,1560191|1560192|1560193|1560194,,icon_ActivityRichManJp3,0,0
314,3,14,3,,,1;15|2;15|3;15|4;15|5;20|6;15,icon_ActivityRichManJp7,3,2
315,3,15,2,1|5|12,1560031|1560032|1560033|1560034,,icon_ActivityRichManJp5,1,4
316,3,16,2,1|5|12,1560081|1560082|1560083|1560084,,icon_ActivityRichManJp6,3,2
317,3,17,2,1|5|12,1560121|1560122|1560123|1560124,,icon_ActivityRichManJp6,0,0
318,3,18,2,1|5|12,1560161|1560162|1560163|1560164,,icon_ActivityRichManJp3,0,0
319,3,19,2,1|5|12,1560201|1560202|1560203|1560204,,icon_ActivityRichManJp5,2,4
320,3,20,3,,,1;15|2;15|3;15|4;15|5;20|6;15,icon_ActivityRichManJp7,3,1
321,3,21,2,1|5|12,1560041|1560042|1560043|1560044,,icon_ActivityRichManJp2,0,0
322,3,22,2,1|5|12,1560091|1560092|1560093|1560094,,icon_ActivityRichManJp6,2,4
323,3,23,2,1|5|12,1560211|1560212|1560213|1560214,,icon_ActivityRichManJp3,0,0
324,3,24,2,1|5|12,1560131|1560132|1560133|1560134,,icon_ActivityRichManJp3,0,0
325,3,25,2,1|5|12,1560171|1560172|1560173|1560174,,icon_ActivityRichManJp3,3,1
326,3,26,2,1|5|12,1560221|1560222|1560223|1560224,,icon_ActivityRichManJp3,2,4
401,4,1,1,,,,icon_ActivityRichManJp1,4,1
402,4,2,2,1|5|12,1170|1171|1172|1173,,icon_ActivityRichManJp2,0,0
403,4,3,2,1|5|12,1560051|1560052|1560053|1560054,,icon_ActivityRichManJp5,0,0
404,4,4,2,1|5|12,1560061|1560062|1560063|1560064,,icon_ActivityRichManJp6,2,3
405,4,5,2,1|5|12,1186|1187|1188|1189,,icon_ActivityRichManJp4,4,1
406,4,6,2,1|5|12,1560141|1560142|1560143|1560144,,icon_ActivityRichManJp5,0,0
407,4,7,2,1|5|12,1560181|1560182|1560183|1560184,,icon_ActivityRichManJp3,1,3
408,4,8,3,,,1;15|7;15|3;15|5;20|6;15,icon_ActivityRichManJp7,4,2
409,4,9,2,1|5|12,1174|1175|1176|1177,,icon_ActivityRichManJp2,1,3
410,4,10,2,1|5|12,1560071|1560072|1560073|1560074,,icon_ActivityRichManJp6,0,0
411,4,11,2,1|5|12,1190|1191|1192|1193,,icon_ActivityRichManJp4,4,2
412,4,12,2,1|5|12,1560151|1560152|1560153|1560154,,icon_ActivityRichManJp3,1,3
413,4,13,2,1|5|12,1560191|1560192|1560193|1560194,,icon_ActivityRichManJp3,0,0
414,4,14,3,,,1;15|7;15|3;15|4;15|5;20|6;15,icon_ActivityRichManJp7,3,2
415,4,15,2,1|5|12,1560031|1560032|1560033|1560034,,icon_ActivityRichManJp5,1,4
416,4,16,2,1|5|12,1560081|1560082|1560083|1560084,,icon_ActivityRichManJp6,3,2
417,4,17,2,1|5|12,1560121|1560122|1560123|1560124,,icon_ActivityRichManJp6,0,0
418,4,18,2,1|5|12,1560161|1560162|1560163|1560164,,icon_ActivityRichManJp3,0,0
419,4,19,2,1|5|12,1560201|1560202|1560203|1560204,,icon_ActivityRichManJp5,2,4
420,4,20,3,,,1;15|7;15|3;15|4;15|5;20|6;15,icon_ActivityRichManJp7,3,1
421,4,21,2,1|5|12,1178|1179|1180|1181,,icon_ActivityRichManJp2,0,0
422,4,22,2,1|5|12,1560091|1560092|1560093|1560094,,icon_ActivityRichManJp6,2,4
423,4,23,2,1|5|12,1560211|1560212|1560213|1560214,,icon_ActivityRichManJp3,0,0
424,4,24,2,1|5|12,1560131|1560132|1560133|1560134,,icon_ActivityRichManJp3,0,0
425,4,25,2,1|5|12,1560171|1560172|1560173|1560174,,icon_ActivityRichManJp3,3,1
426,4,26,2,1|5|12,1560221|1560222|1560223|1560224,,icon_ActivityRichManJp3,2,4
