task_id,server_open_days,name,describe,type,contion_id,num,count_type,time_limit,time_forecast,revice_level,reward_id,auto_accomplished,switch,function_time_limit,guide_id,task_icon,describe2,progress_bar,reward_occupied,text_claim,complete_unshow,more,button_type,client_unshow,dynamic_word,priority_condition,complete_lasts
int,int,string,string,int,string,double,int,int,int,int,int,int,string,int,string,string,string,int,int,string,int,string,int,int,string,int,int
1,1,Baptism by Fire,,1001,15,1000.0,1,48,0,10,7302001,0,,0,,ServerTask/ServerTask_banner_48,Have {1} or more commanders reach Lv. {0} or above in total (your server),1,,,,,3,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
2,1,Under The Fog,,1005,0,5000.0,1,48,0,15,7302002,0,,0,,ServerTask/ServerTask_banner_37,Commanders in this Warzone unlocked areas in their bases {0} times,1,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
3,2,Merge Units,,1003,5,10000.0,2,48,1440,15,7302003,0,,0,,ServerTask/ServerTask_banner_44,Commanders in this warzone merged units into Lv. {0} (or above) {1} times within the quest's time limit.,1,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
4,2,Hello?,,1006,0,100000.0,2,48,1440,15,7302004,0,,0,,ServerTask/ServerTask_banner_42,Commanders in this warzone completed radar missions {0} times within the quest's time limit,1,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
5,3,Unite As One,,1007,201,20.0,1,168,1440,15,7302005,0,,0,,ServerTask/ServerTask_banner_50,Have a minimum of {0} members in your alliance.,0,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,1
6,4,A Larger Territory,,1005,0,150000.0,1,24,1440,20,7302006,0,,0,,ServerTask/ServerTask_banner_38,Commanders in this Warzone unlocked areas in their bases {0} times,1,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
7,5,Warhammer Defender,,1002,0,50.0,2,24,1440,20,7302007,0,,0,,ServerTask/ServerTask_banner_36,Alliance killed Warhammers {0} times within the quest's time limit.,1,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,1
8,6,Secret Ruins I,,2001,1,1.0,,24,2880,20,7302008,0,,0,3|14001,ServerTask/ServerTask_banner_04,You Alliance is holding more than 1 Lv. {0} Ruins after the first ConTest,0,7301501,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,1
9,7,The Architect,,1008,0,20.0,1,72,1440,20,7302009,0,,0,,ServerTask/ServerTask_banner_34,Have {0} Alliance fortresses built in your warzone.,1,,,,,,0,Soldiers! More elite forces!;To battle Dark Legion; you just need to be prepared.;It's hard to win because there aren't enough people.,,
