id,item_id,number,type,price_shop,tab,is_open,order,cost_reason,cut_off,weight,limit
int,int,int,int,int,int,int,int,string,int,int,int
30101,200004,1,1,54,1,1,1,shopLimitItem_prot,9,150,100
30102,200004,1,1,42,1,1,1,shopLimitItem_prot,7,117,100
30103,200004,1,1,30,1,1,1,shopLimitItem_prot,5,83,1
30104,200005,1,1,90,1,1,1,shopLimitItem_prot,9,90,100
30105,200005,1,1,70,1,1,1,shopLimitItem_prot,7,70,100
30106,200005,1,1,50,1,1,1,shopLimitItem_prot,5,50,1
30107,200006,1,1,180,1,1,1,shopLimitItem_prot,9,45,100
30108,200006,1,1,140,1,1,1,shopLimitItem_prot,7,35,100
30109,200006,1,1,100,1,1,1,shopLimitItem_prot,5,25,1
30110,200003,1,1,135,1,1,1,shopLimitItem_qian,9,60,100
30111,200003,1,1,105,1,1,1,shopLimitItem_qian,7,47,100
30112,200003,1,1,75,1,1,1,shopLimitItem_qian,5,33,1
30113,500001,1,1,27,1,1,1,shopLimitItem_spdup,9,300,100
30114,500001,2,1,54,1,1,1,shopLimitItem_spdup,9,150,100
30115,500001,5,1,135,1,1,1,shopLimitItem_spdup,9,60,100
30116,500001,1,1,21,1,1,1,shopLimitItem_spdup,7,233,100
30117,500001,2,1,42,1,0,1,shopLimitItem_spdup,7,117,100
30118,500001,5,1,105,1,0,1,shopLimitItem_spdup,7,47,100
30119,500001,1,1,15,1,0,1,shopLimitItem_spdup,5,167,1
30120,500001,2,1,30,1,0,1,shopLimitItem_spdup,5,83,1
30121,500001,5,1,75,1,1,1,shopLimitItem_spdup,5,33,1
30122,1900001,2,1,8,1,1,1,shopLimitItem_chest1,8,800,100
30123,1900001,5,1,20,1,1,1,shopLimitItem_chest1,8,320,100
30124,1900001,10,1,40,1,1,1,shopLimitItem_chest1,8,160,100
30125,1900001,2,1,6,1,0,1,shopLimitItem_chest1,6,600,100
30126,1900001,5,1,15,1,1,1,shopLimitItem_chest1,6,240,100
30127,1900001,10,1,30,1,1,1,shopLimitItem_chest1,6,120,100
30128,1900002,2,1,80,1,1,1,shopLimitItem_chest2,8,80,100
30129,1900002,5,1,200,1,1,1,shopLimitItem_chest2,8,32,100
30130,1900002,10,1,400,1,1,1,shopLimitItem_chest2,8,16,100
30131,1900002,2,1,60,1,1,1,shopLimitItem_chest2,6,60,100
30132,1900002,5,1,150,1,1,1,shopLimitItem_chest2,6,24,100
30133,1900002,10,1,300,1,1,1,shopLimitItem_chest2,6,12,100
30140,1900003,1,1,400,1,1,1,shopLimitItem_chest3,8,16,100
30141,1900003,2,1,800,1,1,1,shopLimitItem_chest3,8,8,100
30142,1900003,5,1,2000,1,1,1,shopLimitItem_chest3,8,3,100
30143,1900003,1,1,300,1,1,1,shopLimitItem_chest3,6,12,100
30144,1900003,2,1,600,1,1,1,shopLimitItem_chest3,6,6,100
30145,1900003,5,1,1500,1,1,1,shopLimitItem_chest3,6,2,100
30146,1700011,1,1,25,1,1,1,shopLimitItem_chest4,5,160,100
30147,1700011,2,1,50,1,1,1,shopLimitItem_chest4,5,80,100
30148,1700011,5,1,125,1,1,1,shopLimitItem_chest4,5,32,100
30149,1700011,1,1,15,1,1,1,shopLimitItem_chest4,3,100,100
30150,1700011,2,1,30,1,1,1,shopLimitItem_chest4,3,50,100
30151,1700011,5,1,75,1,1,1,shopLimitItem_chest4,3,20,100
30152,1700012,1,1,70,1,1,1,shopLimitItem_chest5,5,57,100
30153,1700012,2,1,140,1,1,1,shopLimitItem_chest5,5,29,100
30154,1700012,5,1,350,1,1,1,shopLimitItem_chest5,5,11,100
30155,1700012,1,1,40,1,1,1,shopLimitItem_chest5,3,38,100
30156,1700012,2,1,80,1,1,1,shopLimitItem_chest5,3,19,100
30157,1700012,5,1,200,1,1,1,shopLimitItem_chest5,3,8,100
30158,1700013,1,1,200,1,1,1,shopLimitItem_chest6,5,20,100
30159,1700013,2,1,400,1,1,1,shopLimitItem_chest6,5,10,100
30160,1700013,5,1,1000,1,1,1,shopLimitItem_chest6,5,4,100
30161,1700013,1,1,120,1,1,1,shopLimitItem_chest6,3,13,100
30162,1700013,2,1,240,1,1,1,shopLimitItem_chest6,3,6,100
30163,1700013,5,1,600,1,1,1,shopLimitItem_chest6,3,3,100
30164,520001,1,1,40,1,1,1,shopLimitItem_march,8,160,100
30165,520001,1,1,35,1,1,1,shopLimitItem_march,7,140,100
30166,520001,1,1,25,1,1,1,shopLimitItem_march,5,100,1
30167,520002,1,1,60,1,1,1,shopLimitItem_march,8,107,100
30168,520002,1,1,52,1,1,1,shopLimitItem_march,7,94,100
30169,520002,1,1,37,1,1,1,shopLimitItem_march,5,68,1
30170,2100001,1,1,27,1,1,1,shopLimitItem_recruit,9,300,100
30171,2100001,2,1,54,1,1,1,shopLimitItem_recruit,9,150,100
30172,2100001,3,1,81,1,1,1,shopLimitItem_recruit,9,100,100
30173,2100001,1,1,24,1,1,1,shopLimitItem_recruit,8,267,100
30174,2100001,2,1,48,1,1,1,shopLimitItem_recruit,8,133,100
30175,2100001,3,1,72,1,1,1,shopLimitItem_recruit,8,89,100
30176,2100001,1,1,21,1,1,1,shopLimitItem_recruit,7,233,100
30177,2100001,2,1,42,1,1,1,shopLimitItem_recruit,7,117,100
30178,2100001,3,1,63,1,1,1,shopLimitItem_recruit,7,78,100
30179,2100001,10,1,180,1,1,1,shopLimitItem_recruit,6,20,1
30180,2100002,1,1,135,1,1,1,shopLimitItem_recruit,9,60,100
30181,2100002,10,1,1200,1,1,1,shopLimitItem_recruit,8,5,1
30182,2400002,2,1,5,1,1,1,shopLimitItem_heroexp,8,1280,100
30183,2400002,5,1,12,1,1,1,shopLimitItem_heroexp,8,533,100
30184,2400002,10,1,24,1,1,1,shopLimitItem_heroexp,8,267,100
30185,2400002,2,1,3,1,1,1,shopLimitItem_heroexp,5,833,1
30186,2400002,5,1,7,1,1,1,shopLimitItem_heroexp,5,357,1
30187,2400002,10,1,14,1,1,1,shopLimitItem_heroexp,5,179,1
30188,2400003,2,1,14,1,1,1,shopLimitItem_heroexp,8,457,100
30189,2400003,5,1,35,1,1,1,shopLimitItem_heroexp,8,183,100
30190,2400003,10,1,70,1,1,1,shopLimitItem_heroexp,8,91,100
30191,2400003,2,1,9,1,1,1,shopLimitItem_heroexp,5,278,1
30192,2400003,5,1,22,1,1,1,shopLimitItem_heroexp,5,114,1
30193,2400003,10,1,44,1,1,1,shopLimitItem_heroexp,5,57,1
30194,2400004,2,1,48,1,1,1,shopLimitItem_heroexp,8,133,100
30195,2400004,5,1,120,1,1,1,shopLimitItem_heroexp,8,53,100
30196,2400004,10,1,240,1,1,1,shopLimitItem_heroexp,8,27,100
30197,2400004,2,1,30,1,1,1,shopLimitItem_heroexp,5,83,1
30198,2400004,5,1,75,1,1,1,shopLimitItem_heroexp,5,33,1
30199,2400004,10,1,150,1,1,1,shopLimitItem_heroexp,5,17,1
30200,2400005,2,1,144,1,1,1,shopLimitItem_heroexp,8,44,100
30201,2400005,5,1,360,1,1,1,shopLimitItem_heroexp,8,18,100
30202,2400005,10,1,720,1,1,1,shopLimitItem_heroexp,8,9,100
30203,2400005,2,1,90,1,1,1,shopLimitItem_heroexp,5,28,1
30204,2400005,5,1,225,1,1,1,shopLimitItem_heroexp,5,11,1
30205,2400005,10,1,450,1,1,1,shopLimitItem_heroexp,5,6,1
30206,2200002,1,1,40,1,1,1,shopLimitItem_heropiece,8,160,100
30207,2200003,1,1,40,1,1,1,shopLimitItem_heropiece,8,160,100
30208,2200004,1,1,200,1,1,1,shopLimitItem_heropiece,8,32,100
30209,2200005,1,1,200,1,1,1,shopLimitItem_heropiece,8,32,100
30210,2200006,1,1,200,1,1,1,shopLimitItem_heropiece,8,32,100
30211,2200008,1,1,40,1,1,1,shopLimitItem_heropiece,8,160,100
30212,2200009,1,1,40,1,1,1,shopLimitItem_heropiece,8,160,100
30213,2200010,1,1,200,1,1,1,shopLimitItem_heropiece,8,32,100
30214,2200011,1,1,200,1,1,1,shopLimitItem_heropiece,8,32,100
