id,attack_effect_point,new_attack_effect,attack_effect,attack_before,attack_before_time,after_attack_effect,bullet_group,fire_sound,crater_size,hit_type,per_type,per_time,colour
int,string,string,string,string,int,string,int,string,float,int,int,int,string
101,,,Effect_shibin_kaihuo,,,,101,machine_gun_fire_light,0.0,0,,,
102,,,,,,,102,machine_gun_fire_heavy,0.0,0,,,
201,fireNode,,Effect_tanke_kaihuo,,,Effect_gongji_smoke,201,tank_fire,1.0,0,,,
301,fireNode,,Effect_daodanbing_kaihuo,,,Effect_gongji_smoke,301,,1.3,0,,,
302,,,,,,,302,,1.4,0,,,
303,,,,,,,303,,2.0,0,,,
1011,,,Effect_shibin_fire,,,,1011,bubing_fire,0.8,0,,,
1012,,,,,,,1012,,0.7,0,,,
1013,,,,,,,1013,,1.1,0,,,
1014,,,,,,,1014,,1.0,0,,,
1015,,,,,,,1042,,1.0,0,,,
1016,,,,,,,,,,0,,,
1101,,,Effect_shibin_kaihuo,,,,101,machine_gun_fire_light,0.0,0,,,
1201,fireNode,,Effect_tanke_kaihuo,,,Effect_gongji_smoke,201,tank_fire,1.0,0,,,
1301,fireNode,,Effect_daodanbing_kaihuo,,,Effect_gongji_smoke,301,,1.3,0,,,
1401,,,,,,,1012,,0.7,0,,,
1017,,,Effect_7yueskill01,,,,90005,,1.3,0,,,
1018,,,,,,,90006,,0.0,1,,,
2011,,B_20201215_tanke1_attack,,,,,2011,tank_bullet_20,1.0,1,,,#00ACFD
2012,,B_20201215_tanke2_attack,,,,,2012,shipfire02,1.0,1,,,#00ACFD
2013,,,B_20210127_lu_gongji,,,,2013,army_l_thor1_atk,1.0,10,1,400,#00ACFD
2014,,B_20210218_L_gongji,,,,,2014,army_l_thor2_atk,,11,2,400,#00ACFD
2015,,B_20210220_L_gongji,,B_20210220_X,350,,2015,army_l_thor3_atk,,,,,#00ACFD
2021,,E_LS_chuan1_attack,,,,,2021,shipnavigate,1.0,1,,,#00ACFD
2022,,E_LS_chuan2_attack,,,,,2022,shiphit,1.0,1,,,#00ACFD
2023,,,B_20210127_H_gongji,,,,2023,army_h_thor1_atk,1.0,10,1,200,#00ACFD
2024,,,B_20210218_H_gongji,,,,2024,army_h_thor2_atk,1.0,0,,,#00ACFD
2025,,,B_20210220_H_gongji,,,,2025,army_h_thor3_atk,1.0,0,2,100,#00ACFD
2031,,E_LS_feiji1_attack,,,,,2031,attack,1.0,1,,,#00ACFD
2032,,E_LS_feiji2_attack,,,,,2032,machine_gun_fire_heavy,1.0,1,,,#00ACFD
2033,,,B_20210126_k_gongji,,,,2033,army_k_thor1_atk,1.0,3,1,50,#00ACFD
2034,,,B_20210218_k_gongji,,,,2034,army_k_thor2_atk,1.0,3,,,#00ACFD
2035,,,B_20210220_K_gongji,,,,2035,army_k_thor3_atk,1.0,0,3,150,#00ACFD
1011021,,,B_20210225_yuansu_gongji,,,,1011021,tank_fire,1.0,0,,,
1011022,,,B_20210225_yuansu_gongji08,,,,1011022,ele-chuantou-fashe,1.0,0,,,
1011023,,,B_20210225_yuansu_jiguang,,,,1011023,ele-lu-dianci-fashe,1.0,0,,,
1012011,,,B_20210225_yuansu_gongji04,,,,1012011,tank_fire,1.0,0,,,
1012012,,,B_20210225_yuansu_gongji05,,,,1012012,ele-chuantou-fashe,1.0,0,,,
1012013,,,B_20210225_yuansu_gongji06,,,,1012013,tank_fire,1.0,0,,,
1013011,,B_20210225_yuansu_gongji02,,,,,1013011,ele-feiji-baozha-gongji,1.0,0,,,
1013012,,,B_20210225_yuansu_jiguang02,,,,1013012,ele-chuantou-fashe,1.0,3,,,
1013013,,,B_20210225_yuansu_gongji07,,,,1013013,army_k_thor2_atk,1.0,0,,,
1112011,,B_20201215_tanke1_attack,,,,,2011,tank_bullet_20,1.0,1,,,#FF7000
1112012,,B_20201215_tanke2_attack,,,,,2012,shipfire02,1.0,1,,,#FF7000
1112013,,,B_20210127_lu_gongji,,,,2013,army_l_thor1_atk,1.0,10,1,400,#FF7000
1112014,,B_20210218_L_gongji,,,,,2014,army_l_thor2_atk,,11,2,400,#FF7000
1112015,,B_20210220_L_gongji,,B_20210220_X,350,,2015,army_l_thor3_atk,,,,,#FF7000
1112021,,E_LS_chuan1_attack,,,,,2021,shipnavigate,1.0,1,,,#FF7000
1112022,,E_LS_chuan2_attack,,,,,2022,shiphit,1.0,1,,,#FF7000
1112023,,,B_20210127_H_gongji,,,,2023,army_h_thor1_atk,1.0,10,1,200,#FF7000
1112024,,,B_20210218_H_gongji,,,,2024,army_h_thor2_atk,1.0,0,,,#FF7000
1112025,,,B_20210220_H_gongji,,,,2025,army_h_thor3_atk,1.0,0,2,100,#FF7000
1112031,,E_LS_feiji1_attack,,,,,2031,attack,1.0,1,,,#FF7000
1112032,,E_LS_feiji2_attack,,,,,2032,machine_gun_fire_heavy,1.0,1,,,#FF7000
1112033,,,B_20210126_k_gongji,,,,2033,army_k_thor1_atk,1.0,3,1,50,#FF7000
1112034,,,B_20210218_k_gongji,,,,2034,army_k_thor2_atk,1.0,3,,,#FF7000
1112035,,,B_20210220_K_gongji,,,,2035,army_k_thor3_atk,1.0,0,3,150,#FF7000
2222011,,B_20201215_tanke1_attack,,,,,2011,tank_bullet_20,1.0,1,,,#77D9A1
2222012,,B_20201215_tanke2_attack,,,,,2012,shipfire02,1.0,1,,,#77D9A1
