id,damage_power
int,int
0,100
1,100
2,100
3,101
4,101
5,102
6,102
7,102
8,103
9,103
10,104
11,104
12,105
13,105
14,105
15,106
16,106
17,107
18,107
19,108
20,108
21,108
22,109
23,109
24,110
25,110
26,111
27,111
28,111
29,112
30,112
31,113
32,113
33,114
34,114
35,114
36,115
37,115
38,116
39,116
40,116
41,117
42,117
43,118
44,118
45,119
46,119
47,119
48,120
49,120
50,121
51,121
52,122
53,122
54,122
55,123
56,123
57,124
58,124
59,125
60,125
61,125
62,126
63,126
64,127
65,127
66,128
67,128
68,128
69,129
70,129
71,130
72,130
73,130
74,130
75,130
76,130
77,130
78,130
79,130
80,130
81,130
82,130
83,130
84,130
85,130
86,130
87,130
88,130
89,130
90,130
91,130
92,130
93,130
94,130
95,130
96,130
97,130
98,130
99,130
100,130
