id,anim,pic,army_skin,march_skin_id,sale_btn,get_pram,fragments_number,name,desc,equip_buff,own_buff,ui_cell_offset,ui_main_offset,userui_cell_offset,userui_main_offset,world_offset,is_show,is_temporarily,plat,exclude,plat_show,time,endtime,timeType,large,reward,icon_pos,only_limited,only_time,only_endtime,ui_model_offset,order,change_group,change_id,change_effect,interactive_effect,interactive_effect_id1,interactive_effect_id2,interactive_cd,city_skill_id,offsetY,special_effect_id,effect_offset,city_relation,link_city_show,city_effect_show,skin_group,skin_level,skin_up_banner,skin_up_convert_id,skin_up_level_icon,level_prefab,level_preview,skin_type,skin_level1_item,display_text,pic_new
int,string,string,string,int,int,int,int,string,string,string,string,string,string,string,string,string,int,int,string,int,int,string,string,int,int,int,string,int,string,string,string,int,int,int,string,int,string,string,int,int,int,string,string,int,int,string,int,int,string,int,string,string,int,int,int,string,string
0,,image/world_unit2/castle_face_1_big,,,0,,10,Default,skin_desc_1,,,14;-2;0.6,2;84;0.8,12.1;26.9;0.65,60;-4;1.2,23;11;1,1,0,,,,,,2,1,,,,,,,200,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1_big
1710200,,image/world_unit2/castle_face_1710500,,,0,,10,skin_name_002,skin_desc_2,930100;500,930100;300,8;11;0.5,-24;134;0.6,8;11;0.5,-24;134;0.6,10;10;1,0,0,,,,,,2,2,,,,,,,87,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1710500
1710300,effect/castle/castle_face_1710300_anim,image/world_unit2/castle_face_1710300,,,2,,10,Booster Project,skin_desc_3,930100;300|930000;300,970004;3,12;0;0.5,1;72;0.6,12;23;0.55,70;11;1,30;10;1,1,0,,,,,,2,2,,,,,,,78,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1710300
1710400,effect/castle/castle_face_1710400_anim,image/world_unit2/castle_face_1710400,,,2,64,10,skin_name_004,skin_desc_4,930200;500,980301;500|930000;500,12;0;0.5,0;73;0.6,12;0;0.5,0;73;0.6,26;10;1,0,0,,,,,,2,2,,,,,,,5,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1710400
1710500,effect/castle/castle_face_1710500_anim,image/world_unit2/castle_face_1710500,,,0,,10,Base 1,skin_desc_5,930100;500,930300;50,8;11;0.5,-8;92;0.6,2;43;0.55,41;27;1,10;10;1,1,0,,,,,,2,2,,,,,,,21,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1710500
1710600,,image/world_unit2/castle_face_1710600,rabbit,2,1,40001,10,Foggy Mushroom,skin_desc_6,960013;1,930100;700|930001;1000,8;-8;0.5,-8;67;0.6,5;21;0.6,54;-3;1.3,17;0;1,1,0,,,,,,2,2,,,,,,,7,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1710600
1710700,effect/castle/castle_face_1710700_anim,image/world_unit2/castle_face_1710700,,,1,40002,10,Super Miner,Super Miner. Helps you gather more efficiently on the world map.,960002;5000|970002;5000|920900;2000,930000;1000,9;1;0.85,-5;73;1,6;26;0.85,39;-2;1.9,30;20;1,1,0,,,,,,2,2,,,,,,,85,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1710700
1710800,effect/castle/castle_face_1710800_anim,image/world_unit2/castle_face_1710800,,,2,40,10,Pop Star,Pop Star Event Rewards,920500;1,,12;0;0.5,1;72;0.6,16;24;0.45,68;24;1,0;0;1,1,0,,,,,,2,2,,,,,,,81,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1710800
1710900,effect/castle/castle_face_1710900_anim,image/world_unit2/castle_face_1710900,,,2,40,10,Super Fan,Pop Star Event Rewards,920500;1,,12;0;0.5,0;73;0.6,16;24;0.45,68;24;1,0;0;1,1,0,,,,,,2,2,,,,,,,80,,,,,,,,,160,,,,,,,,,,,,,,,,image/world_unit2/world_unit2New/castle_face_1710900
