id,arean,stronghold_level,pos_x,pos_y,name_default,model,model_red,height,width,icon,buff,function,sp_task_id,first_open,fight_time,occupy_time,protection_time,resource_level,fortree_small_icon,model_new,function_desc,map_area_name,first_reward,csb_open_time,csb_occupy_time,csb_server_point,csb_server_point_cd,csb_personal_point,csb_personal_point_cd,buff_id,buff_value,monster_arean_h,monster_arean_w,monter_group,monster_arean_army,monster_arean_n,city_defense,monster_group_boss,relic_upgrade,league_points,add_exp,upper_level_limit,csb_kill_army_ratio,csb_protection_time,map_zoom_icon
int,string,int,int,int,string,string,string,int,int,string,string,int,int,int,int,int,int,string,string,string,string,string,int,int,int,int,int,int,int,string,string,int,int,int,int,int,string,int,string,string,string,int,double,int,string
101,1,,,,,,,,,,,,,,,,,858d5e|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
102,2,1,32,192,Ruins - Gold,T_yijiyaosai_01,T_yijiyaosai_01,2,2,yaosai_icon,920900;500,,2,39600,3600,3600,172800,858d5e|153,icon_small_fortress1,Effect_baguoyaosai_lv1,,Ruin (#1),8301801,0,60,0,60,0,60,920900,500;600;700;800;900,4,4,901,25,30,65000|90000|150000|250000|450000|0|0,601,40000|100000|250000|500000|0|0,20|20|20|20|20|20,10|10|10|10|10|10,5,1.0,0,image/world_simple/world_simple_fortress_1
103,3,,,,,,,,,,,,,,,,,858d5e|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
104,4;5,1,32,512,Ruins - All units ATK,T_yijiyaosai_01,T_yijiyaosai_01,2,2,yaosai_icon,1003002;600,,2,39600,3600,3600,172800,acc06f|153,icon_small_fortress1,Effect_baguoyaosai_lv1,,Ruin (#2),8301801,0,60,0,60,0,60,1003002,600;700;800;900;1000,4,4,901,25,30,65000|90000|150000|250000|450000|0|0,601,40000|100000|250000|500000|0|0,20|20|20|20|20|20,10|10|10|10|10|10,5,1.0,0,image/world_simple/world_simple_fortress_1
105,6,,,,,,,,,,,,,,,,,858d5e|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
106,7,1,32,832,Ruins - Gathering,T_yijiyaosai_01,T_yijiyaosai_01,2,2,yaosai_icon,960002;500,,2,39600,3600,3600,172800,858d5e|153,icon_small_fortress1,Effect_baguoyaosai_lv1,,Ruin (#3),8301801,0,60,0,60,0,60,960002,500;600;700;800;900,4,4,901,25,30,65000|90000|150000|250000|450000|0|0,601,40000|100000|250000|500000|0|0,20|20|20|20|20|20,10|10|10|10|10|10,5,1.0,0,image/world_simple/world_simple_fortress_1
107,8,,,,,,,,,,,,,,,,,858d5e|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
108,9,1,96,960,Ruins - Pursuit,T_yijiyaosai_01,T_yijiyaosai_01,2,2,yaosai_icon,910301;500,,2,39600,3600,3600,172800,858d5e|153,icon_small_fortress1,Effect_baguoyaosai_lv1,,Ruin (#4),8301801,0,60,0,60,0,60,910301,500;600;700;800;900,4,4,901,25,30,65000|90000|150000|250000|450000|0|0,601,40000|100000|250000|500000|0|0,20|20|20|20|20|20,10|10|10|10|10|10,5,1.0,0,image/world_simple/world_simple_fortress_1
109,10,,,,,,,,,,,,,,,,,858d5e|153,,,,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,
