id,resource_id,ratio,resource_count,resource_id_20,rati_20
int,string,string,int,string,string
1,502|702|102,10|20|20,220,,
2,502|702|102,10|20|20,220,,
3,502|702|102,10|20|20,220,,
4,503|703|103,10|20|20,220,,
5,503|703|103,10|20|20,220,,
6,502|702|102,10|20|20,220,,
7,502|702|102,10|20|20,220,,
8,502|702|102,10|20|20,220,,
9,502|702|102,10|20|20,220,,
10,502|702|102,10|20|20,220,,
11,503|703|103,10|20|20,220,,
12,503|703|103,10|20|20,220,,
13,502|702|102,10|20|20,220,,
14,502|702|102,10|20|20,220,,
15,502|702|102,10|20|20,220,,
16,502|702|102,10|20|20,220,,
17,502|702|102,10|20|20,220,,
18,503|703|103,10|20|20,220,,
19,503|703|103,10|20|20,220,,
20,502|702|102,10|20|20,220,,
21,502|702|102,10|20|20,220,,
22,502|702|102,10|20|20,220,,
23,502|702|102,10|20|20,220,,
24,502|702|102,10|20|20,220,,
25,503|703|103,10|20|20,220,,
26,503|703|103,10|20|20,220,,
27,502|702|102,10|20|20,220,,
28,502|702|102,10|20|20,220,,
29,503|703|103,10|20|20,220,,
30,504|704|104,10|20|20,220,1601,12
31,503|703|103,10|20|20,220,,
32,503|703|103,10|20|20,220,,
33,504|704|104,10|20|20,220,1601,12
34,503|703|103,10|20|20,220,,
35,504|704|104,10|20|20,220,1601,12
36,503|703|103,10|20|20,220,,
37,503|703|103,10|20|20,220,,
38,504|704|104,10|20|20,220,1601,12
39,503|703|103,10|20|20,220,,
40,504|704|104,10|20|20,220,1601,12
41,503|703|103,10|20|20,220,,
42,503|703|103,10|20|20,220,,
43,504|704|104,10|20|20,220,1601,12
44,503|703|103,10|20|20,220,,
45,504|704|104,10|20|20,220,1601,12
46,503|703|103,10|20|20,220,,
47,503|703|103,10|20|20,220,,
48,504|704|104,10|20|20,220,1601,12
49,504|704|104,10|20|20,220,1601,12
50,505|705|105,10|20|20,220,1602,12
51,505|705|105,10|20|20,220,1602,12
52,504|704|104,10|20|20,220,1601,12
53,505|705|105,10|20|20,220,1602,12
54,505|705|105,10|20|20,220,1602,12
55,504|704|104,10|20|20,220,1601,12
56,505|705|105,10|20|20,220,1602,12
57,505|705|105,10|20|20,220,1602,12
58,504|704|104,10|20|20,220,1601,12
59,505|705|105,10|20|20,220,1602,12
60,505|705|105,10|20|20,220,1602,12
61,506|706|106,10|20|20,220,1603,12
62,506|706|106,10|20|20,220,1603,12
63,506|706|106,10|20|20,220,1603,12
64,506|706|106,10|20|20,220,1603,12
