id,type,win_num,rate,lose_num,fight_types,limit_num,every_buff,extra_num,extra_every_buff,extra_skill,cost_stamp,max_num,max_active
int,int,int,string,int,string,int,string,int,string,string,int,int,int
1001,1,1,0;1;7000|1;50;200|50;80;100,-1,2,3,1131001;300,10,1131001;200|1131002;200,,0,5,0
1002,1,1,0;1;7000|1;50;200|50;80;100,-1,2,4,1131001;300,10,1131001;200|1131002;200,,0,5,0
1003,1,1,0;1;7000|1;50;200|50;80;100,-1,2,5,1131001;300,10,1131001;200|1131002;200,,0,5,0
1004,1,1,0;1;7000|1;50;200|50;80;100,-1,2,5,1131001;300,3,1101042;100,,0,5,0
1005,1,1,0;1;7000|1;50;200|50;80;100,-1,2,5,1131001;300,3,1101042;200,,0,5,0
1006,1,1,0;1;7000|1;50;200|50;80;100,-1,2,5,1131001;300,3,1101042;300,,0,5,0
1007,1,1,0;1;7000|1;50;200|50;80;100,-1,2,5,1131001;300,3,1101042;400,,0,5,0
1008,1,1,0;1;7000|1;50;200|50;80;100,-1,2,5,1131001;300,3,1101042;500,,0,5,0
1009,1,1,0;1;7000|1;50;200|50;80;100,-1,2,5,1131001;300,3,1101042;500,,5,10,1
2001,2,1,0;100;10000,1,2,3,1131002;300,5,,,0,5,0
2002,2,1,0;100;10000,1,2,4,1131002;300,5,,,0,5,0
2003,2,1,0;100;10000,1,2,5,1131002;300,5,,,0,5,0
2004,2,1,0;100;10000,1,2,5,1131002;300,5,,941212;1000,3,5,1
2005,2,1,0;100;10000,1,2,5,1131002;300,5,,941212;1200,3,5,1
2006,2,1,0;100;10000,1,2,5,1131002;300,5,,941212;1400,3,5,1
2007,2,1,0;100;10000,1,2,5,1131002;300,5,,941212;1600,3,5,1
2008,2,1,0;100;10000,1,2,5,1131002;300,5,,941212;1800,3,5,1
2009,2,1,0;100;10000,1,2,5,1131002;300,5,,941212;2000,3,5,1
