id,name_key,sound_file_name,audition_name,exchange_id,show_time,show_endtime
int,string,string,string,int,string,string
1,system_voice_pack_01,g123_normal,march_start|level_up,0,,
4,system_voice_pack_04,g123_Aria,march_start|level_up,37,,
5,system_voice_pack_05,g123_Maria,march_start|level_up,0,2020-06-25-0-0-0,2020-07-02-0-0-0
6,system_voice_pack_06,g123_Sifir,march_start|level_up,0,2020-07-02-0-0-0,2020-07-09-0-0-0
7,system_voice_pack_07,g123_Yuni,march_start|level_up,0,2020-08-20-0-0-0,2020-08-27-0-0-0
8,system_voice_pack_08,g123_Himari,march_start|level_up,0,2020-08-21-0-0-0,2020-08-27-0-0-0
9,system_voice_pack_09,g123_Hezz,march_start|level_up,38,2020-08-20-09-0-0,2029-09-10-00-00
10,system_voice_pack_10,g123_nui,march_start|level_up,0,2020-08-27-0-0-0,2020-09-10-00-00
11,system_voice_pack_11,g123_ange,march_start|level_up,0,2020-08-29-0-0-0,2020-09-10-00-00
2,system_voice_pack_02,g123_MinamiTanaka,march_start|level_up,35,,
12,system_voice_pack_12,g123_Nimitz,march_start|level_up,39,,
13,system_voice_pack_13,g123_Tywin,march_start|level_up,40,,
14,system_voice_pack_14,g123_Bradley,march_start|level_up,41,,
3,system_voice_pack_03,g123_SumireUesaka,march_start|level_up,36,,
15,system_voice_pack_15,g123_blackwidow,march_start|level_up,42,,
16,system_voice_pack_16,g123_Katyusha,march_start|level_up,44,,
17,system_voice_pack_17,g123_Edward,march_start|level_up,45,,
18,system_voice_pack_18,g123_Yewon,march_start|level_up,46,2021-2-25-0-0-0,2021-3-10-00-00
19,system_voice_pack_19,g123_Amalia,march_start|level_up,47,,
20,system_voice_pack_20,g123_Bezier,march_start|level_up,48,,
21,system_voice_pack_21,g123_Kuruzo,march_start|level_up,49,,
22,system_voice_pack_22,g123_Tsuru,march_start|level_up,50,,
23,Gila Voice Pack,g123_Gila,march_start|level_up,51,,
24,Violet Voice Pack,g123_Violet,march_start|level_up,52,,
25,system_voice_pack_25,g123_Dante,march_start|level_up,53,,
26,system_voice_pack_26,g123_Akatora,march_start|level_up,54,,
27,system_voice_pack_27,g123_Bellevue,march_start|level_up,55,,
28,system_voice_pack_28,g123_LeeYewon,march_start|level_up,56,,
29,system_voice_pack_29,g123_KateCurry,march_start|level_up,57,,
30,system_voice_pack_30,g123_Sauvage,march_start|level_up,58,,
31,system_voice_pack_31,g123_Katrina,march_start|level_up,59,,
32,system_voice_pack_32,g123_ArthurHarris,march_start|level_up,60,,
33,system_voice_pack_33,g123_Rockfield,march_start|level_up,61,,
34,system_voice_pack_34,g123_Teresa,march_start|level_up,62,,
35,system_voice_pack_35,g123_Hartman,march_start|level_up,63,,
36,system_voice_pack_36,g123_LiHongyu,march_start|level_up,64,,
37,system_voice_pack_37,g123_Wade,march_start|level_up,65,,
38,system_voice_pack_38,g123_Chloe,march_start|level_up,66,,
39,system_voice_pack_39,g123_TianMu,march_start|level_up,67,,
40,system_voice_pack_40,g123_DrGero,march_start|level_up,68,,
41,system_voice_pack_41,g123_Nadia,march_start|level_up,69,,
42,system_voice_pack_42,g123_LadyZizak,march_start|level_up,70,,
43,system_voice_pack_43,g123_Merida,march_start|level_up,71,,
44,system_voice_pack_44,g123_ONeill,march_start|level_up,72,,
45,system_voice_pack_45,g123_Ricardo,march_start|level_up,73,,
46,system_voice_pack_46,g123_Hammer,march_start|level_up,74,,
47,system_voice_pack_47,g123_Simon,march_start|level_up,75,,
49,system_voice_pack_49,g123_Sid,march_start|level_up,77,,
50,system_voice_pack_50,g123_Ganso,march_start|level_up,78,,
51,system_voice_pack_51,g123_Rambo,march_start|level_up,79,,
52,system_voice_pack_52,g123_Alex,march_start|level_up,80,,
53,system_voice_pack_53,g123_Sam,march_start|level_up,81,,
54,system_voice_pack_54,g123_Bob,march_start|level_up,82,,
