id,mission_name,order,condition,condition_id,condition_num,reward_id,icon,discription,tip_text,guide_group,previous_quest,reward_multiple,extra_reward,extra_reward_share,key_name,guide_group_v1,switch_monster_v2_show,switch_not_show
int,string,int,int,int,double,int,string,string,string,int,string,int,int,int,int,int,int,string
101101,105744,1005,101,1701,1.0,4112001,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},11,,0,0,0,1,,0,
101102,Create {1} Lv.{2} {0},1010,101,1702,1.0,4112002,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,2,,0,
101103,Create {1} Lv.{2} {0},1015,101,1703,1.0,4112003,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,3,,0,
101104,Create {1} Lv.{2} {0},4035,101,1704,1.0,4112004,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,4,,0,
101105,Create {1} Lv.{2} {0},5040,101,1705,1.0,4112005,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,5,,0,
101106,Create {1} Lv.{2} {0},6040,101,1706,1.0,4112006,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,6,,0,
101107,Create {1} Lv.{2} {0},7045,101,1707,1.0,4112007,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,7,,0,
101108,Create {1} Lv.{2} {0},8040,101,1708,1.0,4112008,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,8,,0,
101109,Create {1} Lv.{2} {0},9040,101,1709,1.0,4112009,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,9,,0,
101110,Create {1} Lv.{2} {0},10040,101,1710,1.0,4112010,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,10,,0,
101111,Create {1} Lv.{2} {0},11040,101,1711,1.0,4112011,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,11,,0,
101112,Create {1} Lv.{2} {0},12040,101,1712,1.0,4112012,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,12,,0,
101113,Create {1} Lv.{2} {0},13040,101,1713,1.0,4112013,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,13,,0,
101114,Create {1} Lv.{2} {0},14040,101,1714,1.0,4112014,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,14,,0,
101115,Create {1} Lv.{2} {0},15040,101,1715,1.0,4112015,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,15,,0,
101116,Create {1} Lv.{2} {0},16040,101,1716,1.0,4112016,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,16,,0,
101117,Create {1} Lv.{2} {0},17040,101,1717,1.0,4112017,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,17,,0,
101118,Create {1} Lv.{2} {0},18040,101,1718,1.0,4112018,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,18,,0,
101119,Create {1} Lv.{2} {0},19040,101,1719,1.0,4112019,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,19,,0,
101120,Create {1} Lv.{2} {0},20040,101,1720,1.0,4112020,task_jianzao,Create {1} Lv.{2} {0},Create {1} Lv.{2} {0},6,,0,0,0,20,,0,
