id,mission_name,order,condition,condition_id,condition_num,reward_id,icon,discription,tip_text,guide_group,previous_quest,reward_multiple,extra_reward,extra_reward_share,key_name,guide_group_v1,switch_monster_v2_show,switch_not_show,level
int,string,int,int,int,double,int,string,string,string,int,string,int,int,int,int,int,int,string,int
1001,Unlock area No. {0}.,1001,103,0,17.0,4120001,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,1,,,,0
1002,Unlock area No. {0}.,1002,103,0,18.0,4120002,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,2,,,,0
1003,Unlock area No. {0}.,1003,103,0,19.0,4120003,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,3,,,,0
1004,Unlock area No. {0}.,1004,103,0,20.0,4120004,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,4,,,,0
1005,Unlock area No. {0}.,1005,103,0,21.0,4120005,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,5,,,,0
1006,Unlock area No. {0}.,5501,103,0,36.0,4120006,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,6,,,,0
1007,Unlock area No. {0}.,5502,103,0,37.0,4120007,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,7,,,,0
1008,Unlock area No. {0}.,5503,103,0,38.0,4120008,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,8,,,,0
1009,Unlock area No. {0}.,5711,103,0,39.0,4120009,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,9,,,,0
1010,Unlock area No. {0}.,5712,103,0,40.0,4120010,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,10,,,,0
1011,Unlock area No. {0}.,6501,103,0,41.0,4120011,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,11,,,,0
1012,Unlock area No. {0}.,6502,103,0,42.0,4120012,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,12,,,,0
1013,Unlock area No. {0}.,6503,103,0,43.0,4120013,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,13,,,,0
1014,Unlock area No. {0}.,7501,103,0,44.0,4120014,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,14,,,,0
1015,Unlock area No. {0}.,7502,103,0,45.0,4120015,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,15,,,,0
1016,Unlock area No. {0}.,8701,103,0,46.0,4120016,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,16,,,,0
1017,Unlock area No. {0}.,9701,103,0,47.0,4120017,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,17,,,,0
1018,Unlock area No. {0}.,9702,103,0,48.0,4120018,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,18,,,,0
1019,Unlock area No. {0}.,9703,103,0,49.0,4120019,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,19,,,,0
1020,Unlock area No. {0}.,9705,103,0,50.0,4120020,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,20,,,,0
1021,Unlock area No. {0}.,9706,103,0,51.0,4120021,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,21,,,,0
1022,Unlock area No. {0}.,10701,103,0,52.0,4120022,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,22,,,,0
1023,Unlock area No. {0}.,10702,103,0,53.0,4120023,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,23,,,,0
1024,Unlock area No. {0}.,10703,103,0,54.0,4120024,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,24,,,,0
1025,Unlock area No. {0}.,11223,103,0,55.0,4120025,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,25,,,,0
1026,Unlock area No. {0}.,11702,103,0,56.0,4120026,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,26,,,,0
1027,Unlock area No. {0}.,11703,103,0,57.0,4120027,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,27,,,,0
1028,Unlock area No. {0}.,11704,103,0,58.0,4120028,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,28,,,,0
1029,Unlock area No. {0}.,12212,103,0,59.0,4120029,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,29,,,,0
1030,Unlock area No. {0}.,12702,103,0,60.0,4120030,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,30,,,,0
1031,Unlock area No. {0}.,12703,103,0,61.0,4120031,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,31,,,,0
1032,Unlock area No. {0}.,12704,103,0,62.0,4120032,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,32,,,,0
1033,Unlock area No. {0}.,14701,103,0,63.0,4120033,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,33,,,,0
1034,Unlock area No. {0}.,14702,103,0,64.0,4120034,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,34,,,,0
1035,Unlock area No. {0}.,14703,103,0,65.0,4120035,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,35,,,,0
1036,Unlock area No. {0}.,14704,103,0,66.0,4120036,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,36,,,,0
1037,Unlock area No. {0}.,16701,103,0,67.0,4120037,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,37,,,,0
1038,Unlock area No. {0}.,16702,103,0,68.0,4120038,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,38,,,,0
1039,Unlock area No. {0}.,16703,103,0,69.0,4120039,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,39,,,,0
1040,Unlock area No. {0}.,16704,103,0,70.0,4120040,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,40,,,,0
1041,Unlock area No. {0}.,17701,103,0,71.0,4120041,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,41,,,,0
1042,Unlock area No. {0}.,17702,103,0,72.0,4120042,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,42,,,,0
1043,Unlock area No. {0}.,18701,103,0,73.0,4120043,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,43,,,,0
1044,Unlock area No. {0}.,18702,103,0,74.0,4120044,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,44,,,,0
1045,Unlock area No. {0}.,20701,103,0,75.0,4120045,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,45,,,,0
1046,Unlock area No. {0}.,20702,103,0,76.0,4120046,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,46,,,,0
1047,Unlock area No. {0}.,20703,103,0,77.0,4120047,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,47,,,,0
1048,Unlock area No. {0}.,20704,103,0,78.0,4120048,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,48,,,,0
1049,Unlock area No. {0}.,20705,103,0,79.0,4120049,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,49,,,,0
1050,Unlock area No. {0}.,21701,103,0,80.0,4120050,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,50,,,,0
1051,Unlock area No. {0}.,21702,103,0,81.0,4120051,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,51,,,,0
1052,Unlock area No. {0}.,22701,103,0,82.0,4120052,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,52,,,,0
1053,Unlock area No. {0}.,23701,103,0,83.0,4120053,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,53,,,,0
1054,Unlock area No. {0}.,23702,103,0,84.0,4120054,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,54,,,,0
1055,Unlock area No. {0}.,23703,103,0,85.0,4120055,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,55,,,,0
1056,Unlock area No. {0}.,24701,103,0,86.0,4120056,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,56,,,,0
1057,Unlock area No. {0}.,24701,103,0,87.0,4120057,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,57,,,,0
1058,Unlock area No. {0}.,25704,103,0,88.0,4120058,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,58,,,,0
1059,Unlock area No. {0}.,25705,103,0,89.0,4120059,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,59,,,,0
1060,Unlock area No. {0}.,26701,103,0,90.0,4120060,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,60,,,,0
1061,Unlock area No. {0}.,26702,103,0,91.0,4120061,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,61,,,,0
1062,Unlock area No. {0}.,27701,103,0,92.0,4120062,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,62,,,,0
1063,Unlock area No. {0}.,27702,103,0,93.0,4120063,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,63,,,,0
1064,Unlock area No. {0}.,27703,103,0,94.0,4120064,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,64,,,,0
1065,Unlock area No. {0}.,28701,103,0,95.0,4120065,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,65,,,,0
1066,Unlock area No. {0}.,28702,103,0,96.0,4120066,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,66,,,,0
1067,Unlock area No. {0}.,28703,103,0,97.0,4120067,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,67,,,,0
1068,Unlock area No. {0}.,28704,103,0,98.0,4120068,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,68,,,,0
1069,Unlock area No. {0}.,29701,103,0,99.0,4120069,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,69,,,,0
1070,Unlock area No. {0}.,29702,103,0,100.0,4120070,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,70,,,,0
1071,Unlock area No. {0}.,29703,103,0,101.0,4120071,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,71,,,,0
1072,Unlock area No. {0}.,32701,103,0,102.0,4120072,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,72,,,,0
1073,Unlock area No. {0}.,30702,103,0,103.0,4120073,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,73,,,,0
1074,Unlock area No. {0}.,30703,103,0,104.0,4120074,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,74,,,,0
1075,Unlock area No. {0}.,30704,103,0,105.0,4120075,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,75,,,,0
1076,Unlock area No. {0}.,30705,103,0,106.0,4120076,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,76,,,,0
1077,Unlock area No. {0}.,30706,103,0,107.0,4120077,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,77,,,,0
1078,Unlock area No. {0}.,32701,103,0,108.0,4120078,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,78,,,,0
1079,Unlock area No. {0}.,32702,103,0,109.0,4120079,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,79,,,,0
1080,Unlock area No. {0}.,32703,103,0,110.0,4120080,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,80,,,,0
1081,Unlock area No. {0}.,32704,103,0,111.0,4120081,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,81,,,,0
1082,Unlock area No. {0}.,32705,103,0,112.0,4120082,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,82,,,,0
1083,Unlock area No. {0}.,33701,103,0,113.0,4120083,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,83,,,,0
1084,Unlock area No. {0}.,33702,103,0,114.0,4120084,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,84,,,,0
1085,Unlock area No. {0}.,33703,103,0,115.0,4120085,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,85,,,,0
1086,Unlock area No. {0}.,33704,103,0,116.0,4120086,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,86,,,,0
1087,Unlock area No. {0}.,34701,103,0,117.0,4120087,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,87,,,,0
1088,Unlock area No. {0}.,34702,103,0,118.0,4120088,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,88,,,,0
1089,Unlock area No. {0}.,34703,103,0,119.0,4120089,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,89,,,,0
1090,Unlock area No. {0}.,35701,103,0,120.0,4120090,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,90,,,,0
1091,Unlock area No. {0}.,35702,103,0,121.0,4120091,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,91,,,,0
1092,Unlock area No. {0}.,35703,103,0,122.0,4120092,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,92,,,,0
1093,Unlock area No. {0}.,36701,103,0,123.0,4120093,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,93,,,,0
1094,Unlock area No. {0}.,36702,103,0,124.0,4120094,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,94,,,,0
1095,Unlock area No. {0}.,36703,103,0,125.0,4120095,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,95,,,,0
1096,Unlock area No. {0}.,36704,103,0,126.0,4120096,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,96,,,,0
1097,Unlock area No. {0}.,37701,103,0,127.0,4120097,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,97,,,,0
1098,Unlock area No. {0}.,37702,103,0,128.0,4120098,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,98,,,,0
1099,Unlock area No. {0}.,37703,103,0,129.0,4120099,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,99,,,,0
1100,Unlock area No. {0}.,37704,103,0,130.0,4120100,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,100,,,,0
1101,Unlock area No. {0}.,38701,103,0,131.0,4120101,task_dige,Unlock area No. {0}.,Unlock area No. {0}.,4,,0,0,0,101,,,,0
