id,name,type,icon,buff,buff_value,buff_value_king,random_value,diamond,duration
int,string,int,string,string,string,string,int,int,int
1,,1,throne_buff_001,920900,2000,2000,100,1000,14400
2,,1,throne_buff_002,960002,2000,2000,100,2000,28800
3,,1,throne_buff_003,920800,1000,1000,100,1000,14400
4,,2,throne_buff_004,930100,500,500,100,-1,-1
5,,2,throne_buff_005,930101,500,500,100,-1,-1
6,,2,throne_buff_006,930102,500,500,200,-1,-1
7,,2,throne_buff_007,930103,500,500,300,-1,-1
8,,2,throne_buff_008,930000,500,500,100,-1,-1
9,,2,throne_buff_009,930001,500,500,100,-1,-1
10,,2,throne_buff_010,930002,500,500,200,-1,-1
11,,2,throne_buff_011,930003,500,500,300,-1,-1
12,,2,throne_buff_012,910300,1000,1000,300,-1,-1
13,,2,throne_buff_013,960012,5,5,200,-1,-1
14,,2,throne_buff_014,930107,500,500,200,-1,-1
15,,2,throne_buff_015,930108,500,500,300,-1,-1
16,,2,throne_buff_016,930109,500,500,100,-1,-1
17,,2,throne_buff_017,930200,1000,1000,300,-1,-1
18,,2,throne_buff_018,930300,1000,1000,300,-1,-1
19,,2,throne_buff_019,930504,500,500,200,-1,-1
20,,2,throne_buff_020,930505,500,500,300,-1,-1
21,,2,throne_buff_021,930506,500,500,100,-1,-1
