id,type,npc_name,npc_nameplate_color,npc_content,next_id,hero_id,npc_pic,npc_colortext,plantform_opened,language_opened,dub_audio_name,waiting_time,linkage_audio,npc_spine
int,int,string,int,string,int,int,string,string,string,string,string,int,int,string
1,1,Sergeant,0,You'll be dealing with strong opponents in the Expedition. Defeat them to get your reward; or if you can't; well at least it will expose your weaknesses,2,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/You'll be dealing with strong opponents in the Expedition. Defeat them to get your reward; or if you can't; well at least it will expose your weaknesses,,,
3,1,Sergeant,0,Commander! Now that you've understood the importance of this Expedition... We should move on to the next mission. Good luck there!,0,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander! Now that you've understood the importance of this Expedition... We should move on to the next mission. Good luck there!,,,
4,3,Black Widow,0,Commander! Thank you for coming. I am code name; the Black Widow. I got ambushed here when I was working through my mission. Please let me join your team; I'll be defending and fighting for your honor!,0,101,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander! Thank you for coming. I am code name; the Black Widow. I got ambushed here when I was working through my mission. Please let me join your team; I'll be defending and fighting for your honor!,,,
5,3,Sergeant,0,Brilliant!! The Dark Force has learned their lesson. But they will definitely launch another attack; and we need to keep growing. Oh; the HQ has assigned us more Main Quests. Don't forget to check them out!,0,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Brilliant!! The Dark Force has learned their lesson. But they will definitely launch another attack; and we need to keep growing. Oh; the HQ has assigned us more Main Quests. Don't forget to check them out!,,,
6,3,Sergeant,0,Can't wait any longer to finish the training? You can use the Speed-up items here!,0,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Can't wait any longer to finish the training? You can use the Speed-up items here!,,,
7,3,Sergeant,0,Commander! We found some treasures hidden by the Dark Legion while building up the base! But it seems we need to complete tasks first. The Dark Legion was searching for treasures around the world. They may not have time to take them away when they flee; let's get them before they do!,0,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander! We found some treasures hidden by the Dark Legion while building up the base! But it seems we need to complete tasks first. The Dark Legion was searching for treasures around the world. They may not have time to take them away when they flee; let's get them before they do!,,,
8,3,Sergeant,0,Incredible; commander! You have completed all those tasks!! While we are awaiting further instructions from the HQ; I suggest we complete the Reward Quests everyday. Let's keep it up!,0,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Incredible; commander! You have completed all those tasks!! While we are awaiting further instructions from the HQ; I suggest we complete the Reward Quests everyday. Let's keep it up!,,,
9,3,Sergeant,0,Commander; the new area is under our control now; but we've found something new. Come and I'll show you.,10,,,,appiosglobal|googleplay|chrome,en|jp,sound/dub/Commander; the new area is under our control now; but we've found something new. Come and I'll show you.,,,
10,3,Sergeant,0,This is it. This rustic place looks ... different. Please note that Buildings and Units cannot be placed in this area.,0,,,,appiosglobal|googleplay|chrome,en|jp,sound/dub/This is it. This rustic place looks ... different. Please note that Buildings and Units cannot be placed in this area.,,,
