id,exp,key,reward,desc,icon
int,int,int,int,string,string
1,1500000,450000.0,900101,union_gift_001,alliance_union_gift_1
2,2250000,525000.0,900102,union_gift_002,alliance_union_gift_1
3,3150000,600000.0,900103,union_gift_003,alliance_union_gift_1
4,4200000,675000.0,900104,union_gift_004,alliance_union_gift_2
5,5400000,750000.0,900105,union_gift_005,alliance_union_gift_2
6,6750000,825000.0,900106,union_gift_006,alliance_union_gift_2
7,8250000,900000.0,900107,union_gift_007,alliance_union_gift_3
8,10500000,975000.0,900108,union_gift_008,alliance_union_gift_3
9,12600000,1050000.0,900109,union_gift_009,alliance_union_gift_3
10,15000000,1500000.0,900110,union_gift_010,alliance_union_gift_4
11,18000000,1650000.0,900111,union_gift_011,alliance_union_gift_4
12,22500000,1800000.0,900112,union_gift_012,alliance_union_gift_4
13,28500000,1950000.0,900113,union_gift_013,alliance_union_gift_5
14,36000000,2100000.0,900114,union_gift_014,alliance_union_gift_5
15,45000000,2250000.0,900115,union_gift_015,alliance_union_gift_5
16,57000000,2400000.0,900116,union_gift_016,alliance_union_gift_6
17,75000000,2550000.0,900117,union_gift_017,alliance_union_gift_6
18,97500000,2700000.0,900118,union_gift_018,alliance_union_gift_6
19,123000000,2850000.0,900119,union_gift_019,alliance_union_gift_7
20,150000000,3300000.0,900120,union_gift_020,alliance_union_gift_7
21,180000000,3600000.0,900121,union_gift_021,alliance_union_gift_7
22,217500000,3900000.0,900122,union_gift_022,alliance_union_gift_8
23,262500000,4200000.0,900123,union_gift_023,alliance_union_gift_8
24,315000000,4500000.0,900124,union_gift_024,alliance_union_gift_8
25,375000000,4800000.0,900125,union_gift_025,alliance_union_gift_9
26,450000000,5100000.0,900126,union_gift_026,alliance_union_gift_9
27,600000000,5400000.0,900127,union_gift_027,alliance_union_gift_9
28,975000000,5700000.0,900128,union_gift_028,alliance_union_gift_10
29,1500000000,6000000.0,900129,union_gift_029,alliance_union_gift_10
