id,buildingid,num,cost,rage,reward,livetime,reward_display
int,int,int,string,string,string,int,int
1,85101,3,5|5|5,19|39,280001|280002|280003,86400,280003
2,85101,3,5|5|5,19|39,280004|280005|280006,86400,280003
3,85101,3,5|5|5,19|39,280007|280008|280009,86400,280003
4,85101,3,5|5|5,19|39,280010|280011|280012,86400,280003
5,85101,3,5|5|5,19|39,280013|280014|280015,86400,280003
6,85101,3,5|5|5,19|39,280016|280017|280018,86400,280003
7,85101,3,5|5|5,19|39,280019|280020|280021,86400,280003
8,85101,3,5|5|5,19|39,280022|280023|280024,86400,280003
9,85101,3,5|5|5,19|39,280025|280026|280027,86400,280003
10,85101,3,5|5|5,19|39,280028|280029|280030,86400,280003
11,85101,3,5|5|5,19|39,280031|280032|280033,86400,280003
12,85101,3,5|5|5,19|39,280034|280035|280036,86400,280003
13,85101,3,5|5|5,19|39,280037|280038|280039,86400,280003
