id,path,switch,pic,size
int,string,string,string,string
1,zh_cn|EL_video_cn2;zh_tw|EL_video_cn2;jp|EL_video_jp2;en|EL_video_en2;ko|EL_video_ko2,Story,eternalLand.jpg,
2,zh_cn|csc_video_cn;zh_tw|csc_video_cn;jp|csc_video_jp;en|csc_video_en;ko|csc_video_ko,video_csc,csc32battle.jpg,
3,zh_cn|8yg_video_cn;zh_tw|8yg_video_cn;jp|8yg_video_cn;en|8yg_video_cn;ko|8yg_video_ko,video_8yg,eternalLand.jpg,
9,zh_cn|2022spring_video_cn;zh_tw|2022spring_video_en;jp|2022spring_video_jp;en|2022spring_video_en;ko|2022spring_video_ko,video_Chinanewyear,2022springcoming02.jpg,
10,zh_cn|TF2_notice1nn;zh_tw|TF2_notice1nn;jp|TF2_notice1nn;en|TF2_notice1nn;ko|TF2_notice1nn,,tf2notice1.jpg,
11,zh_cn|TF2_notice2nn;zh_tw|TF2_notice2nn;jp|TF2_notice2nn;en|TF2_notice2nn;ko|TF2_notice2nn,,tf2notice2.jpg,
12,zh_cn|TF2_notice3nn;zh_tw|TF2_notice3nn;jp|TF2_notice3nn;en|TF2_notice3nn;ko|TF2_notice3nn,,tf2notice3.jpg,
13,zh_cn|TF2_notice4nn;zh_tw|TF2_notice4nn;jp|TF2_notice4nn;en|TF2_notice4nn;ko|TF2_notice4nn,,tf2notice4.jpg,
14,zh_cn|TF2_notice5nn;zh_tw|TF2_notice5nn;jp|TF2_notice5nn;en|TF2_notice5nn;ko|TF2_notice5nn,,tf2notice5.jpg,
15,zh_cn|TF2_notice6nn;zh_tw|TF2_notice6nn;jp|TF2_notice6nn;en|TF2_notice6nn;ko|TF2_notice6nn,,tf2notice6.jpg,
16,zh_cn|TF2_notice7nn;zh_tw|TF2_notice7nn;jp|TF2_notice7nn;en|TF2_notice7nn;ko|TF2_notice7nn,,tf2notice7.jpg,
17,zh_cn|TF2_notice8nn;zh_tw|TF2_notice8nn;jp|TF2_notice8nn;en|TF2_notice8nn;ko|TF2_notice8nn,,tf2notice8.jpg,
18,zh_cn|TF2_notice9nn;zh_tw|TF2_notice9nn;jp|TF2_notice9nn;en|TF2_notice9nn;ko|TF2_notice9nn,,tf2notice9.jpg,
19,zh_cn|TF2_notice10nn;zh_tw|TF2_notice10nn;jp|TF2_notice10nn;en|TF2_notice10nn;ko|TF2_notice10nn,,tf2notice10.jpg,
4,zh_cn|TF2_video1_cn;zh_tw|TF2_video1_en;jp|TF2_video1_jp;en|TF2_video1_en;ko|TF2_video1_en,video_Transformers2,tf2_pv1.jpg,520|493
5,zh_cn|TF2_video2_cn;zh_tw|TF2_video2_en;jp|TF2_video2_jp;en|TF2_video2_en;ko|TF2_video2_en,video_Transformers2,tf2_pv2.jpg,520|493
6,zh_cn|TF2_video3_cn;zh_tw|TF2_video3_en;jp|TF2_video3_jp;en|TF2_video3_en;ko|TF2_video3_en,video_Transformers2,tf2_pv3.jpg,520|493
7,zh_cn|TF2_video4_cn;zh_tw|TF2_video4_en;jp|TF2_video4_jp;en|TF2_video4_en;ko|TF2_video4_en,video_Transformers2,tf2_pv4.jpg,520|493
8,zh_cn|TF2_video5_cn;zh_tw|TF2_video5_en;jp|TF2_video5_jp;en|TF2_video5_en;ko|TF2_video5_en,video_Transformers2,tf2_pv5.jpg,520|493
20,zh_cn|TF2_aerxi_cn;zh_tw|TF2_aerxi_en;jp|TF2_aerxi_jp;en|TF2_aerxi_en;ko|TF2_aerxi_en,video_Transformers2,tf2_aerxi.jpg,520|493
21,zh_cn|jp3_video_cn;zh_tw|jp3_video_en;jp|jp3_video_jp;en|jp3_video_en;ko|jp3_video_ko,,jp3_video_pic.jpg,586|528
